,https://roic.ai/company/GENN,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,316939000,- -,462847000,531657000,634607000,733330000,759751000,820238000,869701000,872623000,842272000,833256000,5619224000,5732430000,5373740000,4976650000,4565834000,3906223000
2,COGS,250688000,- -,347228000,404963000,486319000,596729000,626736000,676553000,715678000,749481000,750698000,734864000,3289820000,3369713000,3036868000,2786908000,2485010000,2256200000
3,Gross Profit,66251000,- -,115619000,126694000,148288000,136601000,133015000,143685000,154023000,123142000,91574000,98392000,2329404000,2362717000,2336872000,2189742000,2080824000,1650023000
4,Gross Profit Ratio,0.2090,- -,0.2498,0.2383,0.2337,0.1863,0.1751,0.1752,0.1771,0.1411,0.1087,0.1181,0.4145,0.4122,0.4349,0.4400,0.4557,0.4224
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,24514000,25090000,25516000,- -,24249000,26619000,45989000,326165000,332306000,317554000,279041000,531534000,541396000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,43784000,39872000,47916000,24514000,25090000,25516000,25730000,24249000,26619000,45989000,326165000,332306000,317554000,279041000,531534000,541396000
9,Other Expenses,27288000,- -,18799000,13897000,17687000,20978000,23308000,25047000,25229000,25400000,23771000,24322000,1697121000,1775913000,1927453000,1700776000,1498006000,1378404000
10,Operating Expenses,27288000,- -,62583000,53769000,65603000,45492000,48398000,50563000,50959000,49649000,50390000,70311000,2023286000,2108219000,2245007000,1979817000,2029540000,1919800000
11,COGS and Expenses,277976000,- -,409811000,458732000,551922000,642221000,675134000,727116000,766637000,799130000,801088000,805175000,5313106000,5477932000,5281875000,4766725000,4514550000,4176000000
12,Interest Income ,- -,- -,949000,1196000,1587000,680000,1146000,947000,714000,512000,335000,737000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,27629000,46286000,44110000,37261000,33013000,37021000,38994000,37760000,34258000,31977000,507809000,528544000,499382000,463738000,180392000,135439000
14,Depreciation and Amortization,8069000,- -,9991000,16701000,20467000,20978000,23308000,25047000,25229000,25400000,24622000,24234000,237763000,254459000,255786000,220896000,123159000,107833000
15,EBITDA,-7522000,- -,58510000,92528000,94678000,115500000,-59018000,63499000,-135527000,97195000,45491000,54056000,491901000,701555000,165759000,446980000,319924000,180699000
16,EBITDA ratio,-0.0237,- -,0.1264,0.1740,0.1492,0.1575,-0.0777,0.0774,-0.1558,0.1114,0.0540,0.0649,0.0875,0.1224,0.0308,0.0898,0.0701,0.0463
