,https://roic.ai/company/IHS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,967300000,1075460000,1325638000,1529869000,1840631000,2230794000,2184335000,- -,- -,1168087000,1231056000,1403149000,1579730000
2,COGS,410016000,457878000,558492000,624514000,748184000,879051000,819173000,- -,- -,766732000,810967000,838423000,907388000
3,Gross Profit,557284000,617582000,767146000,905355000,1092447000,1351743000,1365162000,- -,- -,401355000,420089000,564726000,672342000
4,Gross Profit Ratio,0.5761,0.5742,0.5787,0.5918,0.5935,0.6059,0.6250,- -,- -,0.3436,0.3412,0.4025,0.4256
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,332518000,358012000,453481000,534043000,680989000,828158000,795354000,- -,- -,128634000,498785000,193952000,241828000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",332518000,358012000,453481000,534043000,680989000,828158000,795354000,- -,- -,128634000,498785000,193952000,241828000
9,Other Expenses,454966000,- -,699689000,788539000,961438000,1099044000,1081138000,- -,- -,56130000,35039000,24472000,-14438000
10,Operating Expenses,787484000,358012000,1153170000,1322582000,1642427000,1927202000,1876492000,- -,- -,184764000,533824000,218424000,227390000
11,COGS and Expenses,410016000,815890000,1711662000,1947096000,2390611000,2806253000,2695665000,- -,- -,951496000,1344791000,1056847000,1134778000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,18701000,14732000,5101000,7798000
13,Interest Expense (Gain),2217000,2036000,11346000,20573000,44582000,55383000,70985000,- -,- -,188365000,211565000,212274000,216750000
14,Depreciation and Amortization,49146000,59474000,88039000,118243000,158737000,202145000,235501000,- -,- -,317304000,384507000,408662000,382882000
15,EBITDA,144746000,246818000,261495000,326548000,358111000,506725000,595532000,- -,- -,419647000,186098000,468771000,591780000
16,EBITDA ratio,0.1496,0.2295,0.1973,0.2134,0.1946,0.2272,0.2726,- -,- -,0.3593,0.1512,0.3341,0.3746
17,Operating Income,179816000,186743000,172468000,207287000,198204000,303592000,307843000,- -,- -,205932000,-157104000,331945000,388371000
18,Operating Income ratio,0.1859,0.1736,0.1301,0.1355,0.1077,0.1361,0.1409,- -,- -,0.1763,-0.1276,0.2366,0.2458
19,Total Other Income Expenses (Gains),-1129000,-1381000,-10484000,-19574000,-66370000,-109043000,-70052000,- -,- -,-291954000,-252870000,-484798000,-396512000
20,Income Before Tax,178687000,185362000,161984000,187713000,131834000,194549000,237791000,- -,- -,-86022000,-409974000,-152853000,-8141000
21,Income Before Tax Ratio,0.1847,0.1724,0.1222,0.1227,0.0716,0.0872,0.1089,- -,- -,-0.0736,-0.3330,-0.1089,-0.0052
22,Income Tax expense (Gain),-41580000,43993000,26695000,29564000,23059000,54648000,48853000,- -,- -,46748000,13518000,169829000,17980000
23,Net Income,134963000,141315000,135415000,158168000,131733000,194549000,240193000,- -,- -,-132770000,-423492000,-321994000,-25832000
24,Net Income ratio,0.1395,0.1314,0.1022,0.1034,0.0716,0.0872,0.1100,- -,- -,-0.1137,-0.3440,-0.2295,-0.0164
25,EPS,2.14,2.21,2.09,2.40,1.98,2.85,3.51,- -,- -,-0.40,-1.29,-0.98,-0.08
26,EPS Diluted,2.11,2.18,2.06,2.37,1.95,2.81,3.47,- -,- -,-0.40,-1.29,-0.98,-0.08
27,Weighted Average Shares Outstanding,63055000,63964000,64938000,65840000,66434000,68163000,68450000,- -,- -,328053869,328053869,328053869,328053869
28,Weighted Average Shares Outstanding Diluted,63940000,64719000,65716000,66735000,67442000,69120000,69289000,- -,- -,328053869,328053869,328053869,328053869
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1316360/000119312510007348/0001193125-10-007348-index.htm,https://www.sec.gov/Archives/edgar/data/1316360/000119312511008432/0001193125-11-008432-index.htm,https://www.sec.gov/Archives/edgar/data/1316360/000131636012000024/0001316360-12-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1316360/000131636013000019/0001316360-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1316360/000131636014000008/0001316360-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1316360/000131636015000007/0001316360-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1316360/000131636016000114/0001316360-16-000114-index.html,undefined,undefined,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,124201000,200735000,234685000,345008000,258367000,153156000,291580000,- -,- -,- -,898802000,585416000,916488000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
