,https://roic.ai/company/ACA,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,2140400000,1704000000,1462400000,1460400000,1736900000,1935600000,2036400000
2,COGS,1659700000,1355900000,1167700000,1188400000,1404500000,1553600000,1670200000
3,Gross Profit,480700000,348100000,294700000,272000000,332400000,382000000,366200000
4,Gross Profit Ratio,0.2246,0.2043,0.2015,0.1863,0.1914,0.1974,0.1798
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,173400000,147300000,163000000,153900000,179500000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",173400000,147300000,163000000,153900000,179500000,- -,256000000
9,Other Expenses,- -,- -,- -,- -,- -,223100000,- -
10,Operating Expenses,173400000,147300000,163000000,153900000,179500000,223100000,256000000
11,COGS and Expenses,1833100000,1503200000,1330700000,1342300000,1584000000,1776700000,1926200000
12,Interest Income ,500000,100000,100000,400000,1400000,400000,- -
13,Interest Expense (Gain),400000,- -,- -,900000,6800000,10600000,23400000
14,Depreciation and Amortization,67800000,65600000,65700000,67600000,85800000,114500000,144300000
15,EBITDA,287400000,262800000,195800000,163500000,239400000,263300000,251300000
16,EBITDA ratio,0.1343,0.1542,0.1339,0.1120,0.1378,0.1360,0.1234
17,Operating Income,217800000,200800000,131700000,94900000,152900000,151800000,107300000
18,Operating Income ratio,0.1018,0.1178,0.0901,0.0650,0.0880,0.0784,0.0527
19,Total Other Income Expenses (Gains),1400000,-3600000,-1600000,100000,-6100000,-13600000,-23700000
20,Income Before Tax,219200000,197200000,130100000,95000000,146800000,138200000,83600000
21,Income Before Tax Ratio,0.1024,0.1157,0.0890,0.0651,0.0845,0.0714,0.0411
22,Income Tax expense (Gain),84200000,74200000,40400000,19300000,33500000,31600000,14000000
23,Net Income,135000000,123000000,89700000,75700000,113300000,106600000,69600000
24,Net Income ratio,0.0631,0.0722,0.0613,0.0518,0.0652,0.0551,0.0342
25,EPS,2.77,2.52,1.84,1.55,2.34,2.20,1.45
26,EPS Diluted,2.77,2.52,1.84,1.54,2.32,2.18,1.44
27,Weighted Average Shares Outstanding,48800000,48800000,48800000,48800000,47900000,48000000,48000000
28,Weighted Average Shares Outstanding Diluted,48800000,48800000,48800000,48900000,48400000,48500000,48500000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1739445/000173944519000020/0001739445-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1739445/000173944520000026/0001739445-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1739445/000173944521000017/0001739445-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1739445/000173944522000012/0001739445-22-000012-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,14000000,6800000,99400000,240400000,95800000,72900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,14000000,6800000,99400000,240400000,95800000,72900000
34,Net Receivables,- -,132900000,165300000,291400000,200000000,260200000,310800000
35,Inventory,- -,263700000,246800000,252500000,283300000,276800000,324500000
36,Other Current Assets,- -,9300000,9900000,23700000,33500000,32100000,59700000
37,Total Current Assets,- -,419900000,428800000,667000000,757200000,664900000,767900000
38,PP&E,- -,538800000,583100000,803000000,816200000,913300000,1201900000
39,Goodwill,- -,469300000,494300000,615200000,621900000,794000000,934900000
40,Intangible Assets,- -,- -,- -,- -,- -,212900000,220300000
41,Intangible Assets,- -,469300000,494300000,615200000,621900000,1006900000,1155200000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,10500000,8800000,6900000,14300000,15400000,13200000
44,Other Non-Current Assets,- -,87800000,87500000,80100000,92900000,46200000,49900000
45,Total Non-Current Assets,- -,1106400000,1173700000,1505200000,1545300000,1981800000,2420200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1526300000,1602500000,2172200000,2302500000,2646700000,3188100000
48,Accounts Payable,- -,48900000,56000000,86200000,90000000,144100000,184700000
49,Short-Term Debt,- -,- -,100000,1800000,3700000,6300000,14800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,70900000,44700000,18600000
52,Other Current Liabilities,- -,119100000,118000000,146200000,119400000,115200000,145900000
53,Total Current Liabilities,- -,168000000,174100000,234200000,284000000,310300000,364000000
54,Long-Term Debt,- -,- -,400000,183700000,103600000,248200000,664700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,900000,11000000,58300000,66400000,112700000,134000000
57,Other Non-Current Liabilities,- -,15600000,9100000,11500000,58100000,83300000,72100000
58,Total Non-Current Liabilities,- -,16500000,20500000,253500000,228100000,444200000,870800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,184500000,194600000,487700000,512100000,754500000,1234800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,500000,500000,500000,500000
64,Retained Earnings,- -,- -,- -,19500000,122900000,219700000,279500000
65,Other Comprehensive Income/Loss,- -,-18400000,-19800000,-17700000,-19700000,-22100000,-19300000
66,Other Total Stockholders Equity,- -,1359800000,1427900000,1682200000,1686700000,1694100000,- -
67,Total Stockholders Equity,- -,1341800000,1407900000,1684500000,1790400000,1892200000,1953300000
68,Total Liabilities And Stockholders Equity,- -,1526300000,1602500000,2172200000,2302500000,2646700000,3188100000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1526300000,1602500000,2172200000,2302500000,2646700000,3188100000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1739445/000173944519000020/0001739445-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1739445/000173944520000026/0001739445-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1739445/000173944521000017/0001739445-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1739445/000173944522000012/0001739445-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,135000000,123000000,89700000,75700000,113300000,106600000,69600000
74,Depreciation and Amortization,67800000,65600000,65700000,67600000,85800000,114500000,- -
75,Deferred Income Tax,-2200000,23100000,10300000,22400000,17300000,9600000,11900000
76,Stock Based Compensation,14500000,10500000,9000000,9900000,14600000,20000000,18000000
77,Change in Working Capital,-8600000,253400000,2800000,178100000,40400000,-118600000,-50300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-5200000,56400000,24300000,-29900000,-22700000,32600000,-24600000
80,Accounts Payable,-26200000,-20500000,7100000,20600000,3500000,43500000,34700000
81,Other Working Capital,-1500000,251900000,254700000,432800000,473200000,354600000,-26100000
82,Other Non-Cash Items,86700000,-247800000,-15500000,-235200000,87400000,127800000,117300000
83,Cash Provided by Operating Activities,293200000,227800000,162000000,118500000,358800000,259900000,166500000
84,CAPEX,-88800000,-84800000,-82400000,-44800000,-85400000,-82100000,-85100000
85,Acquisitions Net,-46200000,- -,-47500000,-329900000,-32900000,-455700000,-505200000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-84600000,-79800000,-78900000,-34600000,-76500000,-72500000,-65100000
89,Cash Used for Investing Activites,-130800000,-79800000,-126400000,-364500000,-109400000,-528200000,-570300000
90,Debt Repayment,-200000,-500000,-100000,-300000,-81200000,-104900000,-83200000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-3500000,-11000000,-11800000,-19500000
93,Dividends Paid,- -,- -,- -,- -,-9900000,-9800000,-9800000
94,Other Financing Activites,-194100000,-143700000,-42700000,342400000,-6300000,250200000,493400000
95,Cash Used/Provided by Financing Activities,-194300000,-144200000,-42800000,338600000,-108400000,123700000,380900000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-31900000,3800000,-7200000,92600000,141000000,-144600000,-22900000
98,Cash at the End of Period,10200000,14000000,6800000,99400000,240400000,95800000,72900000
99,Cash at the Beginning of Period,42100000,10200000,14000000,6800000,99400000,240400000,95800000
100,Free Cash Flow,204400000,143000000,79600000,73700000,273400000,177800000,81400000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1739445/000173944519000020/0001739445-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1739445/000173944520000026/0001739445-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1739445/000173944521000017/0001739445-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1739445/000173944522000012/0001739445-22-000012-index.htm
102,false,,,,,,,
