,https://roic.ai/company/ALTO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,14558474,12135578,14451103,1696856,4018437,657543,824637,87599012,226356000,461513000,703926000,316560000,328332000,901188000,816044000,908437000,1107412000,1191176000,1624758000,1632255000,1515371000,1424881000,897023000,1207892000
2,COGS,12129819,9338271,10368412,- -,- -,- -,- -,84444183,201527000,428614000,737331000,338607000,329143000,881789000,835568000,875507000,998927000,1183766000,1572926000,1626324000,1530535000,1434819000,844164000,1140108000
3,Gross Profit,2428655,2797307,4082691,- -,- -,- -,824637,3154829,24829000,32899000,-33405000,-22047000,-811000,19399000,-19524000,32930000,108485000,7410000,51832000,5931000,-15164000,-9938000,52859000,67784000
4,Gross Profit Ratio,0.1668,0.2305,0.2825,- -,- -,- -,1.0000,0.0360,0.1097,0.0713,-0.0475,-0.0696,-0.0025,0.0215,-0.0239,0.0362,0.0980,0.0062,0.0319,0.0036,-0.0100,-0.0070,0.0589,0.0561
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,3221649,2838218,- -,2276196,3332818,1851617,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,1351360,1048681,1180102,692116,1175100,478562,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4573009,3886899,1180102,2968312,4507918,2330179,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29185000
9,Other Expenses,- -,- -,2782775,- -,- -,- -,2623361,12638350,24641000,30822000,31796000,21458000,12956000,15427000,12141000,14021000,17108000,23412000,28323000,31516000,36373000,35453000,31980000,- -
10,Operating Expenses,4573009,3886899,3962877,- -,- -,- -,2623361,12638350,24641000,30822000,31796000,21458000,12956000,15427000,12141000,14021000,17108000,23412000,28323000,31516000,36373000,35453000,31980000,-29185000
11,COGS and Expenses,16702828,13225170,14331289,3617299,7278566,2731339,2623361,97082533,226168000,459436000,769127000,360065000,342099000,897216000,847709000,889528000,1016035000,1207178000,1601249000,1657840000,1566908000,1470272000,876144000,1110923000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,1045,163215,- -,- -,12271000,- -,6261000,14813000,13049000,15671000,9438000,12594000,22406000,12938000,17132000,20206000,17943000,-3587000
14,Depreciation and Amortization,143308,201289,282051,408751,488934,318837,295366,786525,5067000,22239000,26635000,34876000,9110000,12648000,12205000,12136000,13186000,23632000,35441000,38651000,40849000,47909000,30268000,- -
15,EBITDA,-1852522,-745207,537078,-483683,-56901,-1307201,-1200929,-8967779,4925000,7839000,-107641000,-273277000,89263000,30535000,6197000,27026000,59050000,7406000,58285000,16304000,-2854000,-20854000,33078000,43964000
16,EBITDA ratio,-0.1272,-0.0614,0.0372,-0.2850,-0.0142,-1.9880,-1.4563,-0.1024,0.0218,0.0170,-0.1529,-0.8633,0.2719,0.0339,0.0076,0.0297,0.0533,0.0062,0.0359,0.0100,-0.0019,-0.0146,0.0369,0.0364
17,Operating Income,-2144354,-1089592,119814,-1920443,-3260129,-2073796,-1798724,-9483521,188000,2077000,-193148000,-295893000,-13767000,3972000,-31665000,18909000,91377000,-17972000,23509000,-25585000,-51537000,-74683000,9853000,40070000
18,Operating Income ratio,-0.1473,-0.0898,0.0083,-1.1318,-0.8113,-3.1539,-2.1812,-0.1083,0.0008,0.0045,-0.2744,-0.9347,-0.0419,0.0044,-0.0388,0.0208,0.0825,-0.0151,0.0145,-0.0157,-0.0340,-0.0524,0.0110,0.0332
19,Total Other Income Expenses (Gains),242446,143096,135213,118059,305620,222104,301384,-433998,3426000,-6801000,46601000,-1205000,89511000,-7995000,-11690000,-20071000,-50238000,-10935000,-22964000,-12810000,-16961000,-26619000,-27152000,7481000
20,Income Before Tax,-1901908,-946496,255027,-1802384,-2954509,-1851692,-1497340,-9917519,3614000,-4724000,-146547000,-297098000,- -,-4023000,-43355000,-1162000,41139000,-28907000,545000,-38395000,-68498000,-101302000,-17299000,47551000
21,Income Before Tax Ratio,-0.1306,-0.0780,0.0176,-1.0622,-0.7352,-2.8161,-1.8158,-0.1132,0.0160,-0.0102,-0.2082,-0.9385,- -,-0.0045,-0.0531,-0.0013,0.0371,-0.0243,0.0003,-0.0235,-0.0452,-0.0711,-0.0193,0.0394
