,https://roic.ai/company/VCNX,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,316000,90000,724000,523000,50000,900000
2,COGS,115000,160000,1033000,199000,2000,- -
3,Gross Profit,201000,-70000,-309000,324000,48000,- -
4,Gross Profit Ratio,0.6361,-0.7778,-0.4268,0.6195,0.9600,- -
5,Research and Development Exp.,16028000,16551000,22353000,25670000,21549000,17160000
6,General and Administrative Exp.,4432000,4483000,4619000,6669000,7405000,6230000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4432000,4483000,4619000,6669000,7405000,6230000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,20460000,21034000,26972000,32339000,28954000,23390000
11,COGS and Expenses,20575000,21194000,28005000,32538000,28956000,23390000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2990000,1358000,392000,- -,489000,809000
14,Depreciation and Amortization,178000,206000,223000,249000,307000,169000
15,EBITDA,-10775000,-17158000,-28903000,-31614000,-28055000,-21402000
16,EBITDA ratio,-34.0981,-190.6444,-39.9213,-60.4474,-561.1000,-23.7800
17,Operating Income,-20259000,-21104000,-27281000,-32015000,-28331000,-22490000
18,Operating Income ratio,-64.1108,-234.4889,-37.6809,-61.2141,-566.6200,-24.9889
19,Total Other Income Expenses (Gains),6316000,2345000,-2237000,152000,-520000,110000
20,Income Before Tax,-13943000,-18759000,-29518000,-31863000,-28851000,-22380000
21,Income Before Tax Ratio,-44.1234,-208.4333,-40.7707,-60.9235,-577.0200,-24.8667
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,-13943000,-18722000,-29518000,-31863000,-28851000,-22380000
24,Net Income ratio,-44.1234,-208.0222,-40.7707,-60.9235,-577.0200,-24.8667
25,EPS,-3.30,-1.72,-5.65,-2.47,-1.54,-1.19
26,EPS Diluted,-3.30,-1.72,-5.65,-2.47,-1.54,-1.19
27,Weighted Average Shares Outstanding,7939522,7939522,5223635,12880746,18786768,18786768
28,Weighted Average Shares Outstanding Diluted,7939522,7939522,5223635,12880746,18786768,18786768
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1205922/000156459019007458/0001564590-19-007458-index.html,https://www.sec.gov/Archives/edgar/data/1205922/000156459020009251/0001564590-20-009251-index.html,https://www.sec.gov/Archives/edgar/data/1205922/000156459021016874/0001564590-21-016874-index.htm,https://www.sec.gov/Archives/edgar/data/1205922/000156459022012778/0001564590-22-012778-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,1661000,4180000,5618000,2776000,10596000,8589000
32,Short-Term Investments,- -,- -,14106000,- -,- -,- -
33,Cash and Short-Term Investments,1661000,4180000,19724000,2776000,10596000,8589000
34,Net Receivables,104000,117000,639000,898000,157000,- -
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,347000,677000,1061000,336000,533000,816000
37,Total Current Assets,2112000,4974000,21424000,4010000,11286000,9405000
38,PP&E,730000,601000,604000,594000,416000,438000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,730000,601000,604000,594000,416000,438000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,2842000,5575000,22028000,4604000,11702000,9843000
48,Accounts Payable,2456000,1910000,2322000,3208000,3169000,1061000
49,Short-Term Debt,- -,- -,- -,- -,8074000,215000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,298000,- -,- -,- -,- -
52,Other Current Liabilities,1984000,1957000,4364000,3670000,1937000,980000
53,Total Current Liabilities,4440000,4165000,6686000,6878000,13180000,2256000
