,https://roic.ai/company/JBLU,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,104618000,321000000,635191000,998351000,1265972000,1701000000,2363000000,2842000000,3388000000,3286000000,3779000000,4504000000,4982000000,5441000000,5817000000,6416000000,6632000000,7015000000,7658000000,8094000000,2957000000,6037000000
2,COGS,- -,- -,- -,381472000,586854000,837570000,1215000000,1689000000,2032000000,1151000000,755000000,933000000,2044000000,3853000000,4189000000,4389000000,4187000000,4195000000,4815000000,5582000000,5884000000,4082000000,5687000000
3,Gross Profit,- -,- -,- -,253719000,411497000,428402000,486000000,674000000,810000000,2237000000,2531000000,2846000000,2460000000,1129000000,1252000000,1428000000,2229000000,2437000000,2200000000,2076000000,2210000000,-1125000000,350000000
4,Gross Profit Ratio,- -,- -,- -,0.3994,0.4122,0.3384,0.2857,0.2852,0.2850,0.6603,0.7702,0.7531,0.5462,0.2266,0.2301,0.2455,0.3474,0.3675,0.3136,0.2711,0.2730,-0.3805,0.0580
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,447000,11112000,- -,84262000,197345000,252578000,298000000,419000000,484000000,694000000,776000000,891000000,947000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,887000,16978000,28000000,44345000,53587000,63198000,81000000,104000000,121000000,151000000,151000000,179000000,199000000,204000000,223000000,231000000,264000000,259000000,267000000,294000000,290000000,110000000,183000000
8,"Selling, General and Administrative Exp.",1334000,28090000,28000000,128607000,250932000,315776000,379000000,523000000,605000000,845000000,927000000,1070000000,1146000000,204000000,223000000,231000000,264000000,259000000,267000000,294000000,290000000,110000000,183000000
9,Other Expenses,12882000,97716000,266000000,486323000,707240000,998650000,1460000000,1974000000,2372000000,627000000,647000000,735000000,992000000,549000000,601000000,682000000,749000000,866000000,933000000,1059000000,1106000000,77000000,250000000
10,Operating Expenses,14216000,125806000,294000000,614930000,958172000,1314426000,1839000000,2497000000,2977000000,1472000000,1574000000,1805000000,2138000000,753000000,824000000,913000000,1013000000,1125000000,1200000000,1353000000,1396000000,187000000,433000000
11,COGS and Expenses,14216000,125806000,294000000,996402000,1545026000,2151996000,3054000000,4186000000,5009000000,2623000000,2329000000,2738000000,4182000000,4606000000,5013000000,5302000000,5200000000,5320000000,6015000000,6935000000,7280000000,4269000000,6120000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,10000000,4000000,- -,1000000,-1000000,1000000,1000000,7000000,6000000,13000000,18000000,- -,17000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,232000000,190000000,176000000,174000000,168000000,149000000,134000000,120000000,103000000,85000000,82000000,65000000,179000000,192000000
14,Depreciation and Amortization,111000,3995000,10000000,26922000,50865000,77420000,117000000,154000000,180000000,210000000,234000000,230000000,247000000,269000000,306000000,325000000,345000000,393000000,446000000,491000000,525000000,535000000,540000000
15,EBITDA,-14105000,-17335000,46000000,121946000,226304000,154242000,93000000,163000000,221000000,366000000,523000000,567000000,566000000,646000000,734000000,1082000000,1562000000,1712000000,1452000000,792000000,1358000000,-1179000000,469000000
16,EBITDA ratio,-Infinity,-0.1657,0.1433,0.1920,0.2267,0.1218,0.0547,0.0690,0.0778,0.1080,0.1592,0.1500,0.1257,0.1297,0.1349,0.1860,0.2435,0.2581,0.2070,0.1034,0.1678,-0.3987,0.0777
17,Operating Income,-14216000,-21188000,27000000,104987000,168833000,112943000,48000000,127000000,169000000,109000000,279000000,333000000,322000000,376000000,428000000,515000000,1216000000,1312000000,1000000000,288000000,800000000,-1714000000,-80000000
18,Operating Income ratio,-Infinity,-0.2025,0.0841,0.1653,0.1691,0.0892,0.0282,0.0537,0.0595,0.0322,0.0849,0.0881,0.0715,0.0755,0.0787,0.0885,0.1895,0.1978,0.1426,0.0376,0.0988,-0.5796,-0.0133
19,Total Other Income Expenses (Gains),685000,-381000,15000000,-9963000,6606000,-36121000,-72000000,-118000000,-128000000,-185000000,-180000000,-172000000,-177000000,-167000000,-149000000,108000000,-119000000,-96000000,-79000000,-69000000,-32000000,-179000000,-183000000
20,Income Before Tax,-13531000,-21569000,42000000,95024000,175439000,76822000,-24000000,9000000,41000000,-76000000,99000000,161000000,145000000,209000000,279000000,623000000,1097000000,1216000000,921000000,219000000,768000000,-1893000000,-263000000
21,Income Before Tax Ratio,-Infinity,-0.2062,0.1308,0.1496,0.1757,0.0607,-0.0141,0.0038,0.0144,-0.0224,0.0301,0.0426,0.0322,0.0420,0.0513,0.1071,0.1710,0.1834,0.1313,0.0286,0.0949,-0.6402,-0.0436
22,Income Tax expense (Gain),- -,- -,-3000000,40116000,71541000,29355000,-4000000,10000000,23000000,- -,41000000,64000000,59000000,81000000,111000000,222000000,420000000,457000000,-226000000,31000000,199000000,-539000000,-81000000
23,Net Income,-13764000,-21330000,39000000,54908000,103898000,47467000,-20000000,-1000000,18000000,-76000000,58000000,97000000,86000000,128000000,168000000,401000000,677000000,759000000,1147000000,188000000,569000000,-1354000000,-182000000
24,Net Income ratio,-Infinity,-0.2039,0.1215,0.0864,0.1041,0.0375,-0.0118,-0.0004,0.0063,-0.0224,0.0177,0.0257,0.0191,0.0257,0.0309,0.0689,0.1055,0.1144,0.1635,0.0245,0.0703,-0.4579,-0.0301
25,EPS,-10.91,-7.90,2.93,0.49,0.71,0.31,-0.13,-0.01,0.10,-0.34,0.22,0.36,0.31,0.45,0.59,1.36,2.15,2.32,3.42,0.60,1.92,-4.91,-0.66
26,EPS Diluted,-10.91,-7.90,0.34,0.37,0.65,0.29,-0.13,-0.01,0.10,-0.34,0.20,0.31,0.28,0.40,0.52,1.19,1.98,2.22,3.41,0.60,1.91,-4.91,-0.66
27,Weighted Average Shares Outstanding,1261980,2700000,13310580,143456427,145651402,154783696,153846154,163636364,180000000,228390000,260486000,275364000,278689000,282317000,282755000,294732000,315101000,326500000,328654971,312900000,296600000,277500000,319600000
