,https://roic.ai/company/LUNA,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7725000,15727000,17591843,22586906,16453888,23545642,33682115,36898320,34571887,34538394,35613724,32349003,22046218,21259990,44020358,59210996,46237274,42917245,70515715,82681000,87513000
2,COGS,4646000,13027000,10492476,13865770,12961894,16362001,21365965,22857562,21815354,21594675,22383222,20170930,14064704,13423370,27519695,37476235,28108449,23479345,35333333,40493000,35957000
3,Gross Profit,3079000,2700000,7099367,8721136,3491994,7183641,12316150,14040758,12756533,12943719,13230502,12178073,7981514,7836620,16500663,21734761,18128825,19437900,35182382,42188000,51556000
4,Gross Profit Ratio,0.3986,0.1717,0.4036,0.3861,0.2122,0.3051,0.3657,0.3805,0.3690,0.3748,0.3715,0.3765,0.3620,0.3686,0.3748,0.3671,0.3921,0.4529,0.4989,0.5103,0.5891
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,3646590,2874666,1694643,2674730,2558417,2721229,2087874,4268988,5532130,3469193,3766160,7496012,6713000,10190000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,9669728,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,9669728,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43956000
9,Other Expenses,4531000,4491000,- -,4189629,6003644,17150195,20570479,17688065,16345578,13297705,11788866,10804156,10970775,10253847,18481270,18139966,14770986,14794205,24371349,27644000,- -
10,Operating Expenses,4531000,4491000,- -,4189629,6003644,17150195,20570479,21334655,28889972,14992348,14463596,13362573,13692004,12341721,22750258,23672096,18240179,18560365,31867361,34357000,54146000
11,COGS and Expenses,9177000,17518000,10492476,18055399,18965538,33512196,41936444,44192217,50705326,36587023,36846818,33533503,27756708,25765091,50269953,61148331,46348628,42039710,67200694,74850000,90103000
12,Interest Income ,- -,- -,- -,- -,- -,515818,371991,- -,13783,- -,- -,25843,- -,- -,- -,- -,652,26,- -,24000,- -
13,Interest Expense (Gain),- -,- -,86800,90304,41251,- -,- -,189501,517482,474408,376524,286529,189151,87426,211331,304634,202850,108062,10193,47000,-479000
14,Depreciation and Amortization,- -,- -,- -,381052,540145,1141115,1780877,1933566,1853188,1331809,1462511,1092027,935477,607693,2457032,3713879,2526609,1218559,2503291,2970000,4628000
15,EBITDA,-652000,-1567000,2104956,4655772,-1969913,-8283787,-6068739,-4162576,-17473911,-813813,456982,15588,-1132159,5552698,4514784,1724387,17048611,12378680,6201679,6656000,1080000
16,EBITDA ratio,-0.0844,-0.0996,0.1197,0.2061,-0.1197,-0.3518,-0.1802,-0.1128,-0.5054,-0.0236,0.0128,0.0005,-0.0514,0.2612,0.1026,0.0291,0.3687,0.2884,0.0879,0.0805,0.0123
17,Operating Income,-1452000,-1791000,7099367,4531507,-2511650,-9966554,-8254329,-7293897,-17444037,-2048629,-1233094,-1184500,-5710490,-4505101,-6249595,-1937335,-111354,877535,3315021,4983000,-2590000
18,Operating Income ratio,-0.1880,-0.1139,0.4036,0.2006,-0.1526,-0.4233,-0.2451,-0.1977,-0.5046,-0.0593,-0.0346,-0.0366,-0.2590,-0.2119,-0.1420,-0.0327,-0.0024,0.0204,0.0470,0.0603,-0.0296
19,Total Other Income Expenses (Gains),800000,-428000,-5081211,-347091,-39659,541652,404713,1008254,-2400544,-571401,-148959,-178468,139524,15223,-230370,-356791,-223004,408093,373174,92000,-479000
20,Income Before Tax,-652000,-2219000,2018156,4184416,-2551309,-9424902,-7849616,-6285643,-19844581,-2620030,-1382053,-1362968,-5570966,-4489878,-6479965,-2294126,-334358,1285628,3688195,5075000,-3069000
21,Income Before Tax Ratio,-0.0844,-0.1411,0.1147,0.1853,-0.1551,-0.4003,-0.2330,-0.1704,-0.5740,-0.0759,-0.0388,-0.0421,-0.2527,-0.2112,-0.1472,-0.0387,-0.0072,0.0300,0.0523,0.0614,-0.0351
22,Income Tax expense (Gain),582000,- -,885882,128234,-557252,12829,- -,- -,600000,- -,10307,21417,-1453637,-1137228,-470605,75366,-295753,47818,-1654350,348000,-4451000
23,Net Income,-1234000,-1567000,1132274,4056182,-1994057,-9437731,-7849616,-6285643,-20444581,-2620030,-1392360,-1384385,-803150,5994807,2317026,-2369492,14614905,11004241,5342545,3291000,1382000
24,Net Income ratio,-0.1597,-0.0996,0.0644,0.1796,-0.1212,-0.4008,-0.2330,-0.1704,-0.5914,-0.0759,-0.0391,-0.0428,-0.0364,0.2820,0.0526,-0.0400,0.3161,0.2564,0.0758,0.0398,0.0158
25,EPS,-0.41,-0.54,0.40,1.40,-0.53,-1.14,-0.77,-0.57,-1.80,-0.23,-0.11,-0.11,-0.06,0.40,0.10,-0.09,0.52,0.39,0.18,0.11,0.04
26,EPS Diluted,-0.41,-0.54,0.39,1.14,-0.53,-1.14,-0.77,-0.57,-1.80,-0.23,-0.11,-0.11,-0.06,0.40,0.10,-0.09,0.52,0.33,0.16,0.10,0.04
27,Weighted Average Shares Outstanding,3031509,2878460,2843349,2903022,3735811,8283074,10219711,10974010,11205575,13009326,13647555,13930267,14336135,14880697,23026494,27547217,27579988,27596401,28689000,30670000,31494563
28,Weighted Average Shares Outstanding Diluted,3031509,2878460,2905849,3561788,3735811,8283074,10219711,10974010,11205575,13009326,13647555,13930267,16621927,14880697,23026494,27547217,27579988,32452228,31841000,32579000,33500801
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1239819/000119312507070633/0001193125-07-070633-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000119312508060148/0001193125-08-060148-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000119312509054032/0001193125-09-054032-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000119312510068762/0001193125-10-068762-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000119312511084936/0001193125-11-084936-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000119312512139796/0001193125-12-139796-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000119312513134461/0001193125-13-134461-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981914000013/0001239819-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981915000023/0001239819-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981916000112/0001239819-16-000112-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981917000022/0001239819-17-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981918000008/0001239819-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981919000029/0001239819-19-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981920000032/0001239819-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981921000027/0001239819-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981922000034/0001239819-22-000034-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,122000,1293000,- -,609636,12514839,17866753,12046945,15518960,5228802,7216580,8939127,6340461,7778541,14116969,17464040,12802458,36981533,42460267,25005917,15366000,17128000
