,https://roic.ai/company/ABBV,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,14214196000,15638000000,17443951000,18380000000,18790000000,19960000000,22859000000,25638000000,28216000000,32753000000,33266000000,45804000000,56197000000
2,COGS,4056390000,4293000000,4639393000,4508000000,4581000000,4426000000,4500000000,5833000000,7040000000,7718000000,7439000000,15387000000,17446000000
3,Gross Profit,10157806000,11345000000,12804558000,13872000000,14209000000,15534000000,18359000000,19805000000,21176000000,25035000000,25827000000,30417000000,38751000000
4,Gross Profit Ratio,0.7146,0.7255,0.7340,0.7547,0.7562,0.7783,0.8031,0.7725,0.7505,0.7644,0.7764,0.6641,0.6896
5,Research and Development Exp.,1707440000,2808000000,2617506000,3066000000,3193000000,3649000000,4435000000,4566000000,5309000000,10753000000,6792000000,6557000000,7084000000
6,General and Administrative Exp.,3348572000,3820000000,5893820000,4989000000,5352000000,7724000000,6387000000,5855000000,6275000000,7399000000,6942000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3348572000,3820000000,5893820000,4989000000,5352000000,7724000000,6387000000,5855000000,6275000000,7399000000,6942000000,- -,12349000000
9,Other Expenses,- -,- -,- -,- -,- -,750000000,- -,- -,- -,500000000,-890000000,11299000000,432000000
10,Operating Expenses,5056012000,6628000000,8511326000,8055000000,8545000000,12123000000,10822000000,10421000000,11584000000,18652000000,12844000000,17856000000,19865000000
11,COGS and Expenses,9112402000,10921000000,13150719000,12563000000,13126000000,16549000000,15322000000,16254000000,18624000000,26370000000,20283000000,33243000000,37311000000
12,Interest Income ,- -,28000000,- -,20000000,21000000,38000000,33000000,82000000,146000000,204000000,275000000,174000000,39000000
13,Interest Expense (Gain),- -,- -,- -,104000000,299000000,429000000,719000000,1047000000,1150000000,1348000000,1784000000,2454000000,2423000000
14,Depreciation and Amortization,697492000,1184000000,1272194000,1150000000,897000000,786000000,836000000,1189000000,1501000000,1765000000,2017000000,6471000000,8521000000
