,https://roic.ai/company/NTIP,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2400000,1831000,394000,1147000,1046000,592000,218000,- -,- -,- -,232000,349000,811000,33037000,7398000,8698000,8017000,12309000,16565000,65088000,16451000,22106000,3037000,4403000,36029000
2,COGS,100000,1489000,1081000,480000,607000,903000,51000,- -,- -,- -,12000,18000,76000,9595000,2106000,2602000,2359000,3510000,5506000,25794000,4970000,8072000,882000,1653000,13647000
3,Gross Profit,2300000,342000,-687000,667000,439000,-311000,167000,- -,- -,- -,220000,331000,735000,23442000,5292000,6096000,5658000,8799000,11059000,39294000,11481000,14034000,2155000,2750000,22382000
4,Gross Profit Ratio,0.9583,0.1868,-1.7437,0.5815,0.4197,-0.5253,0.7661,- -,- -,- -,0.9483,0.9484,0.9063,0.7096,0.7153,0.7009,0.7058,0.7148,0.6676,0.6037,0.6979,0.6349,0.7096,0.6246,0.6212
5,Research and Development Exp.,800000,664000,1428000,1436000,2209000,1599000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,3832000,4588000,4647000,4919000,- -,- -,- -,- -,- -,- -,2060000,3314000,4173000,3759000,2763000,3125000,3526000,5477000,5881000,5261000,4577000,4224000,4871000,3763000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2500000,3832000,4588000,4647000,4919000,4060000,1208000,1956000,1756000,2027000,3395000,2060000,3314000,4173000,3759000,2763000,3125000,3526000,5477000,5881000,5261000,4577000,4224000,4871000,3763000
9,Other Expenses,1000000,469000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1008000,1650000,1655000,813000,206000,290000,285000,292000,12680000
