,https://roic.ai/company/WINR,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,38000,861410,1551923
2,COGS,- -,- -,- -,422540,1014310
3,Gross Profit,- -,- -,- -,438870,537613
4,Gross Profit Ratio,- -,- -,- -,0.5095,0.3464
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,670,530560,4353190,3170990,4975983
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",670,530560,4353190,3170990,4975983
9,Other Expenses,- -,4,-1,2,- -
10,Operating Expenses,670,530564,4353189,3170992,4975983
11,COGS and Expenses,670,530560,3983980,3499770,5990293
12,Interest Income ,- -,521702,403984,3034,29
13,Interest Expense (Gain),- -,521700,23268,-29440,1399598
14,Depreciation and Amortization,- -,- -,90980,268540,525222
15,EBITDA,-670,512840,-3451022,-2381140,-4172035
16,EBITDA ratio,-Infinity,Infinity,-90.8164,-2.7642,-2.6883
17,Operating Income,-670,-530564,-4315194,-2732121,-4797499
18,Operating Income ratio,-Infinity,-Infinity,-113.5577,-3.1717,-3.0913
19,Total Other Income Expenses (Gains),- -,521704,749924,66341,-1397329
20,Income Before Tax,-670,-8860,-3565270,-2665780,-6194828
21,Income Before Tax Ratio,-Infinity,-Infinity,-93.8229,-3.0947,-3.9917
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-670,-8860,-3565270,-2620240,-6096855
24,Net Income ratio,-Infinity,-Infinity,-93.8229,-3.0418,-3.9286
25,EPS,-0.00,-0.03,-8.00,-2.72,-4.91
26,EPS Diluted,-0.00,-0.03,-8.00,-2.72,-4.91
27,Weighted Average Shares Outstanding,1750000,256348,445811,965370,1242981
28,Weighted Average Shares Outstanding Diluted,1750000,256348,445811,965370,1242981
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1708410/000161577418006822/0001615774-18-006822-index.html,https://www.sec.gov/Archives/edgar/data/1708410/000149315219013511/0001493152-19-013511-index.html,https://www.sec.gov/Archives/edgar/data/1708410/000149315220016997/0001493152-20-016997-index.htm,https://www.sec.gov/Archives/edgar/data/1708410/000149315221021581/0001493152-21-021581-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,30000,458060,1540160,160210,414257
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,30000,458060,1540160,160210,414257
34,Net Receivables,- -,- -,- -,127650,160101
35,Inventory,- -,- -,- -,15790,206974
36,Other Current Assets,25000,3170,- -,5590,52643
37,Total Current Assets,55000,461230,1540160,309240,833975
38,PP&E,- -,- -,217380,723720,2107318
39,Goodwill,- -,- -,4456250,5155140,5180141
40,Intangible Assets,- -,- -,1528440,2141370,1635227
41,Intangible Assets,- -,- -,5984690,7296510,6815368
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,52895650,12310,262300,450751
45,Total Non-Current Assets,- -,52895650,6214380,8282530,9373437
