,https://roic.ai/company/GTII,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1380,43591,4491,- -,- -,- -,- -,33401,- -,- -,- -,- -,- -,- -,50000,48060,1130,- -,- -,- -,- -,8500
2,COGS,-317245,-2932916,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000,66470,11990,- -,- -,- -,- -,- -
3,Gross Profit,318625,2976507,4491,- -,- -,- -,- -,33401,- -,- -,- -,- -,- -,- -,-100000,-18410,-10860,- -,- -,- -,- -,8500
4,Gross Profit Ratio,230.8877,68.2826,1.0000,- -,- -,- -,- -,1.0000,- -,- -,- -,- -,- -,- -,-2.0000,-0.3831,-9.6106,- -,- -,- -,- -,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,10340532,858274,- -,- -,- -,- -,- -,- -,- -,59187811,27019614,1585542,4670386,357923,224773,189470,7965294,1620740,2779336,1861764,65856
7,Selling and Marketing Exp.,- -,411360,9148,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,10751892,867422,- -,- -,- -,- -,- -,- -,- -,59187811,27019614,1585542,4670386,357923,224773,189470,7965294,1620740,2779336,1861764,65856
9,Other Expenses,913440,2933966,- -,- -,- -,- -,- -,1028353,5036524,4136423,32356,34056,32762,30695,7131,2823,2458,31317,1317,362,- -,2507503
10,Operating Expenses,913440,13685858,867422,- -,- -,- -,- -,1028353,5036524,4136423,59220167,27053670,1618304,4701081,365054,227596,191928,7996611,1622057,2779698,1861764,2573359
11,COGS and Expenses,596195,10752942,867422,430372,13954,842072,57039,1028353,5660000,4140000,61460000,27050000,1550000,5210000,350000,294070,203920,7966990,1622060,3220700,1861760,2573359
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,848,9,- -,- -,- -,- -,8132,- -,- -,303,16,- -,- -,- -
13,Interest Expense (Gain),- -,4492,4508,7809,7290,7291,7291,11756,14299,7362,13686,59124,134815,562887,79867,103582,105504,107341,103437,103418,106834,200726
14,Depreciation and Amortization,318155,2933966,196715,20300,- -,- -,- -,- -,1462,26094,32356,34056,32762,30694,108381,2824,2457,1317,1317,362,- -,267
15,EBITDA,-277895,-7775385,-384216,-285813,-13954,-842072,-57039,-994952,-5660000,-4100000,-61430000,-27020000,-1520000,-5180000,-171752,-243194,-200329,-7965670,-1620740,-3220340,-1322006,-2577493
16,EBITDA ratio,-201.3732,-178.3713,-85.5524,-Infinity,-Infinity,-Infinity,-Infinity,-29.7881,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.4350,-5.0602,-177.2823,-Infinity,-Infinity,-Infinity,-Infinity,-303.2345
17,Operating Income,-594815,13643317,862931,430372,13954,842072,57039,994952,4916524,4133456,61460167,27053670,-1550000,5214619,458187,246012,202789,7966988,-1622060,-2779698,-1861764,-2564859
18,Operating Income ratio,-431.0254,312.9847,192.1467,Infinity,Infinity,Infinity,Infinity,29.7881,Infinity,Infinity,Infinity,Infinity,-Infinity,Infinity,9.1637,5.1189,179.4593,Infinity,-Infinity,-Infinity,-Infinity,-301.7481
