,https://roic.ai/company/CRYO,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,38500,149000,4995,21364,11529,120956,338910,593938,1865364,1103417,321647,557903,20590
2,COGS,- -,- -,1410,658,5118,- -,99245,294006,554514,296992,31876,43837,13573
3,Gross Profit,38500,149000,3585,20706,6411,120956,239665,299932,1310850,806425,289771,514066,7017
4,Gross Profit Ratio,1.0000,1.0000,0.7177,0.9692,0.5561,1.0000,0.7072,0.5050,0.7027,0.7308,0.9009,0.9214,0.3408
5,Research and Development Exp.,- -,- -,176836,304273,257905,399702,282519,114543,318987,520992,381304,19176,447212
6,General and Administrative Exp.,- -,- -,- -,- -,1870028,1611276,1008460,1364265,1818715,1455021,825748,968288,1759174
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,57383,70164,30621,70630,33754,26395,6059
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,1870028,1611276,1065843,1434429,1849336,1525651,859502,994683,1765233
9,Other Expenses,24671,186324,1117598,2070137,- -,- -,45947,45294,39609,32303,4117,89284,-123
10,Operating Expenses,24671,186324,1294434,2374410,2127933,2010978,1394309,1594266,2207932,2078946,1244923,1103143,2212322
11,COGS and Expenses,24671,186324,1295844,2375068,2133051,2010978,1493554,1888272,2762446,2375938,1276799,1458439,2225895
12,Interest Income ,- -,- -,774,2,- -,- -,- -,- -,- -,- -,160,29,7
13,Interest Expense (Gain),- -,- -,4718,10557,278222,198127,224836,604025,90308,99914,130168,78454,103837
14,Depreciation and Amortization,2008,12288,14788,35271,42539,40821,40864,39395,37480,26981,32002,168000,68581
15,EBITDA,15837,-22436,-1270989,-2318431,-2078983,-1849201,-1113780,-1237716,-1094219,-1363617,-920047,-932831,-2707168
16,EBITDA ratio,0.4114,-0.1506,-254.4523,-108.5205,-180.3264,-15.2882,-3.2864,-2.0839,-0.5866,-1.2358,-2.8604,-1.6720,-131.4797
17,Operating Income,- -,- -,-1290849,-2353704,-2121522,-1890022,-1154644,-1294334,-1020082,-1240218,-951035,-900536,-2747798
18,Operating Income ratio,- -,- -,-258.4282,-110.1715,-184.0161,-15.6257,-3.4069,-2.1792,-0.5469,-1.1240,-2.9568,-1.6141,-133.4530
