,https://roic.ai/company/PYPL,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,5662000000,6727000000,8025000000,9248000000,10842000000,13094000000,15451000000,17772000000,21454000000,25371000000
2,COGS,1883000000,2337000000,2816000000,3419000000,4434000000,5430000000,8337000000,9785000000,11453000000,11375000000
3,Gross Profit,3779000000,4390000000,5209000000,5829000000,6408000000,7664000000,7114000000,7987000000,10001000000,13996000000
4,Gross Profit Ratio,0.6674,0.6526,0.6491,0.6303,0.5910,0.5853,0.4604,0.4494,0.4662,0.5517
5,Research and Development Exp.,677000000,727000000,890000000,947000000,834000000,953000000,1071000000,2085000000,- -,- -
6,General and Administrative Exp.,1159000000,1328000000,1537000000,1780000000,2295000000,2519000000,1451000000,3796000000,4712000000,7227000000
7,Selling and Marketing Exp.,662000000,791000000,998000000,985000000,969000000,1128000000,1313000000,1401000000,1861000000,2445000000
8,"Selling, General and Administrative Exp.",1821000000,2119000000,2535000000,2765000000,3264000000,3647000000,2764000000,5197000000,6573000000,9672000000
9,Other Expenses,382000000,453000000,516000000,608000000,724000000,805000000,776000000,-2085000000,- -,- -
10,Operating Expenses,2880000000,3299000000,3941000000,4320000000,4822000000,5405000000,4611000000,5197000000,6573000000,9672000000
11,COGS and Expenses,4763000000,5636000000,6757000000,7739000000,9256000000,10835000000,12948000000,14982000000,18026000000,21047000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,168000000,197000000,88000000,57000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,77000000,115000000,209000000,232000000
14,Depreciation and Amortization,382000000,453000000,516000000,608000000,724000000,805000000,776000000,912000000,1189000000,1265000000
15,EBITDA,1273000000,1537000000,1777000000,2096000000,2355000000,3005000000,3229000000,4025000000,6463000000,5596000000
16,EBITDA ratio,0.2248,0.2285,0.2214,0.2266,0.2172,0.2295,0.2090,0.2265,0.3012,0.2206
17,Operating Income,880000000,1091000000,1268000000,1461000000,1586000000,2127000000,2194000000,2719000000,3289000000,4262000000
18,Operating Income ratio,0.1554,0.1622,0.1580,0.1580,0.1463,0.1624,0.1420,0.1530,0.1533,0.1680
19,Total Other Income Expenses (Gains),11000000,-7000000,-7000000,27000000,45000000,73000000,182000000,279000000,1776000000,-163000000
20,Income Before Tax,891000000,1084000000,1261000000,1488000000,1631000000,2200000000,2376000000,2998000000,5065000000,4099000000
21,Income Before Tax Ratio,0.1574,0.1611,0.1571,0.1609,0.1504,0.1680,0.1538,0.1687,0.2361,0.1616
22,Income Tax expense (Gain),113000000,129000000,842000000,260000000,230000000,405000000,319000000,539000000,863000000,-70000000
