,https://roic.ai/company/PQEFF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,363325177,431932384,451837071,- -,204735,- -,- -,59335,290809,2000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,356645701,423461201,449270727,- -,1399239,1592471,323514,1712473,2805555,2091352
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,6679476,8471183,2566344,- -,-1194504,-1592471,-323514,-1653138,-2514746,-91352
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.0184,0.0196,0.0057,- -,-5.8344,-Infinity,-Infinity,-27.8611,-8.6474,-0.0457
5,Research and Development Exp.,- -,- -,- -,- -,58454,280188,46252,- -,- -,- -,- -,- -,- -,120000,112625,- -,- -
6,General and Administrative Exp.,- -,- -,- -,50727,105461,208386,87543,7218675,12475845,3177587,2271507,6249011,2122677,13488283,11430807,6183745,4218624
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,572815,969918,124669,749105,434614,553066,172757,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,50727,105461,208386,87543,7791490,13445763,3302256,3020612,6683625,2675743,13661040,11430807,6183745,4218624
9,Other Expenses,- -,- -,- -,- -,-0,- -,- -,1734952,2428092,1403054,14430,1212674,- -,- -,- -,- -,45810
10,Operating Expenses,- -,- -,- -,50727,163915,488574,133794,9526442,15873855,4705310,3035042,7896299,2675743,13781040,11543432,6183745,4264434
11,COGS and Expenses,- -,- -,- -,50727,163915,488574,133794,366172143,439335056,453976037,3035042,9295538,4268214,14104554,13255905,8989300,6355786
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83067,29317,3800
13,Interest Expense (Gain),- -,- -,- -,- -,116,- -,- -,500247,464189,915834,294607,1501460,1106808,365440,1225435,2671611,4727580
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,107379,404700,822929,14430,1212674,1165830,51181,- -,103888,45810
15,EBITDA,- -,- -,- -,-50727,-163915,-488574,-133794,-5475681,-10265831,-7125083,-3020612,14788664,-3102384,-14053373,-14562451,-9603568,-4700853
16,EBITDA ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-0.0151,-0.0238,-0.0158,-Infinity,72.2332,-Infinity,-Infinity,-245.4277,-33.0236,-2.3504
17,Operating Income,- -,- -,- -,-50727,-163915,-488574,-133794,-2846966,-7580314,-2918876,-3035042,-12091826,-5375022,-14915986,-13196570,-8698491,-4355786
18,Operating Income ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-0.0078,-0.0175,-0.0065,-Infinity,-59.0609,-Infinity,-Infinity,-222.4079,-29.9114,-2.1779
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,48972,-3445563,-3690226,-738410,6316807,24183652,-2366587,-35743,-2591316,-3680576,-5118457
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,-6292529,-11270540,-3657286,3281765,12091826,-7741609,-14951729,-15787886,-12379067,-9474243
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,-0.0173,-0.0261,-0.0081,Infinity,59.0609,-Infinity,-Infinity,-266.0805,-42.5677,-4.7371
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,- -,-50727,-164030,-488574,-84823,-6083307,-11134720,-8863846,-469204,12074530,-7939643,-15112155,-15787886,-12379067,-9474243
24,Net Income ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-0.0167,-0.0258,-0.0196,-Infinity,58.9764,-Infinity,-Infinity,-266.0805,-42.5677,-4.7371
25,EPS,- -,- -,- -,-2.96,-5.16,-32.40,-3.53,-5.70,-9.00,-6.00,-0.30,4.20,-0.66,0.24,-0.14,-0.06,-0.02
26,EPS Diluted,- -,- -,- -,-2.96,-5.16,-32.40,-3.53,-5.70,-9.00,-6.00,-0.30,4.20,-0.66,0.24,-0.14,-0.06,-0.02
27,Weighted Average Shares Outstanding,- -,- -,- -,18385,33333,14888,31088,1046087,1251199,1444782,1727884,2835110,12096101,62519504,114166768,201401437,419251881
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,18385,33333,14888,31088,1046087,1251199,1444782,1727884,2835110,12096101,62519504,114166768,201401437,419251881
29,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1561180/000121390019026294/0001213900-19-026294-index.htm,https://www.sec.gov/Archives/edgar/data/1561180/000121390020042837/0001213900-20-042837-index.htm,https://www.sec.gov/Archives/edgar/data/1561180/000121390021065280/0001213900-21-065280-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,198919,110409,39394,62774,2736126,1756404,938648,861639,6129,55420,2640001,50719,62404,1012929
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,198919,110409,39394,62774,2736126,1756404,938648,861639,6129,55420,2640001,50719,62404,1012929
34,Net Receivables,- -,- -,- -,965,33811,6433,81213,8936864,7804118,8981441,91352,215113,306909,701269,229372,101989,540262
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,200000,300000,186080,- -,- -,193632,215830,26999,106976
36,Other Current Assets,- -,- -,- -,1707,1157,8617,8186,555226,77822,60408,344138,681829,351152,662888,1945482,2043510,2539120
37,Total Current Assets,- -,- -,- -,201592,145376,54443,152172,12228216,9838344,10280497,1483209,903071,713481,4197790,2441403,2234902,4199287
38,PP&E,- -,- -,- -,- -,- -,- -,- -,1976569,1976569,- -,11091388,28821755,27937888,34212178,70466970,70702756,76127608
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,960000,960000,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,2376454,5034135,5080656,735488,2242455,707671,707671,707671,707671,707671
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,2376454,5994135,6040656,735488,2242455,707671,707671,707671,707671,707671
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1209892,1049468,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,3501144,8891999,14472279,17134379,-731366,-1618757,-1062704,-760126,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,7854167,16862703,20512935,28961255,30332844,28236694,34906613,70414515,71410427,76835279
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,201592,145376,54443,152172,20082383,26701047,30793432,30444464,31235915,28950175,39104403,72855918,73645329,81034566
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,11384926,12347878,15524459,1211239,1454583,1121327,1102327,2081756,2406665,2105449
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,4267444,4608422,4550830,7526204,7662522,1159104,1285973,7246035,8993187,5693938
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133550,283976,283976,283976,283976,283976
52,Other Current Liabilities,- -,- -,- -,4786,69389,206523,49993,1210207,3157124,4833171,1182742,2339219,2399626,1900081,2098399,3506208,2380351
53,Total Current Liabilities,- -,- -,- -,4786,69389,206523,49993,16862577,20113424,24908460,9920185,11589874,4964033,4572357,11710166,15190036,10463714
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,2328694,4438111,8908700,13720630,9411202,1225776,848982,356292,1113036,1447430
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170000,170000,170000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,895199,1072613,720000,561000,572220,583664,2970497,3212603,2970497
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,2328694,5333310,9981313,14440630,10142202,1967996,1602646,3326789,4325639,4417927
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,456533,242106
61,Total Liabilities,- -,- -,- -,4786,69389,206523,49993,19191271,25446734,34889773,24360815,21732076,6932029,6175003,15036955,19515675,14881641
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60827494,77870606,136104245,144794003,166291517
64,Retained Earnings,- -,- -,- -,-50727,-235327,-734945,-804767,-7506620,-18641340,-27311398,-26842194,-38916724,-46856367,-61968522,-78285282,-90664349,-100138592
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-287440,-318394,-360307,-14430,-1178387,-2255514,-2306695,-2380345,-2484233,- -
66,Other Total Stockholders Equity,- -,- -,- -,247533,311314,582866,906946,7084663,18749358,23575364,32940273,48563260,10302533,19334011,2380345,2484233,- -
67,Total Stockholders Equity,- -,- -,- -,196806,75987,-152080,102179,-709397,-210376,-4096341,6083649,8468149,22018146,32929400,57818963,54129654,66152925
68,Total Liabilities And Stockholders Equity,- -,- -,- -,201592,145376,54443,152172,18481874,25236358,30793432,30444464,30200225,28950175,39104403,72855918,73645329,81034566
69,Minority Interest,- -,- -,- -,- -,-0,- -,0,1600509,1464689,- -,- -,1035690,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,201592,145376,54443,152172,20082383,26701047,30793432,30444464,31235915,28950175,39104403,72855918,73645329,81034566
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1561180/000121390019026294/0001213900-19-026294-index.htm,https://www.sec.gov/Archives/edgar/data/1561180/000121390020042837/0001213900-20-042837-index.htm,https://www.sec.gov/Archives/edgar/data/1561180/000121390021065280/0001213900-21-065280-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-50727,-164030,-488574,-84823,-6083307,-11134720,-8863846,-469204,12074530,-7939643,-15112155,-15787886,-12379067,-9474243
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,107379,404700,822929,14430,1212674,1165830,51181,- -,103888,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,2015457,4591005,697825,- -,3013965,15993,5451448,916240,887818,603244
77,Change in Working Capital,- -,- -,- -,186437,10369,-228067,-2177821,-4736540,-5640719,-4352883,6190987,-2249827,6436251,3875985,-8894196,-3686371,906017
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,961167,-154425,-1177323,-41833,-40721,-99808,-454104,225000,131183,-434473
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,- -,-193632,-22198,188831,-495610
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,2676945,941896,3236581,1023079,1792345,251241,1891383,3474380,324909,165273
81,Other Working Capital,- -,- -,- -,186437,196806,-152080,102179,-4634361,-10275080,-14627963,-8436976,-10686803,-4250552,-374567,-9268763,-12955134,- -
82,Other Non-Cash Items,- -,- -,- -,-182642,32875,330273,2029205,9594628,12536236,10007255,-8762297,-16709656,-1466280,-2510319,15894108,10611595,3341425
83,Cash Provided by Operating Activities,- -,- -,- -,-46932,-120787,-386367,-233439,897617,756502,-1688720,-3026084,-2658314,-1787849,-8243860,-7871734,-4462137,-4623557
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-2461055,-5652200,-4785710,-3947201,-432596,-68483,-6334212,-11029937,-2682750,-2408515
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,48972,- -,- -,-277500,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-68560,-1424596,-3636749,-1166276,-521987,-180000,-294790,-534296,-2010500,327910,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-19589,-2461055,-6252200,-5463210,-4469188,-612596,-363273,-6868508,-13040437,-2354840,-2408515
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-320927,-584313,-842174,-230000,-4155277,-26800,-4685836,-946611,-310696,-969176
91,Common Stock Issued,- -,- -,- -,328677,- -,269957,357982,- -,- -,407500,80000,526644,698328,15911409,12177514,3143374,3496949
92,Common Stock Repurchased,- -,- -,- -,-81144,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-1682,- -,40214,-80771,2312154,5200289,6768848,7568263,6044033,1528885,6471376,7091986,3995984,5454824
95,Cash Used/Provided by Financing Activities,- -,- -,- -,245851,- -,310170,277212,1991227,4615976,6334174,7418263,2415400,2200413,17696949,18322889,6828662,7982597
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,245851,-120787,-76197,24184,427789,-879722,-817756,-77009,-855510,49291,2584581,-2589282,11685,950525
98,Cash at the End of Period,- -,- -,- -,198919,110409,39394,62774,2636126,1756404,938648,861639,6129,55420,2640001,50719,62404,1012929
99,Cash at the Beginning of Period,- -,- -,- -,- -,231196,115591,38590,2208337,2636126,1756404,938648,861639,6129,55420,2640001,50719,62404
100,Free Cash Flow,- -,- -,- -,-46932,-120787,-386367,-233439,-1563438,-4895698,-6474430,-6973285,-3090910,-1856332,-14578072,-18901671,-7144887,-7032072
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1561180/000121390019026294/0001213900-19-026294-index.htm,https://www.sec.gov/Archives/edgar/data/1561180/000121390020042837/0001213900-20-042837-index.htm,https://www.sec.gov/Archives/edgar/data/1561180/000121390021065280/0001213900-21-065280-index.htm
102,false,,,,,,,,,,,,,,,,,
