,https://roic.ai/company/HMHC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,1295295000,1285641000,1378612000,1372316000,1416059000,1372685000,1407511000,1322417000,1390674000,1031292000,1050802000
2,COGS,920065000,831424000,846362000,824043000,824181000,802309000,790078000,725437000,844180000,644052000,518015000
3,Gross Profit,375230000,454217000,532250000,548273000,591878000,570376000,617433000,596980000,546494000,387240000,532787000
4,Gross Profit Ratio,0.2897,0.3533,0.3861,0.3995,0.4180,0.4155,0.4387,0.4514,0.3930,0.3755,0.5070
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,10040000,- -,681124000,699544000,654860000,649295000,662606000,- -,- -
7,Selling and Marketing Exp.,- -,533462000,580887000,612535000,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",638023000,533462000,590927000,612535000,681124000,699544000,654860000,649295000,662606000,478101000,445660000
9,Other Expenses,67372000,54815000,8928000,12170000,22038000,26750000,30748000,26933000,25310000,25585000,30257000
10,Operating Expenses,705395000,588277000,599855000,624705000,703162000,726294000,685608000,676228000,687916000,503686000,475917000
11,COGS and Expenses,1625460000,1419701000,1446217000,1448748000,1527343000,1528603000,1475686000,1401665000,1532096000,1147738000,993932000
12,Interest Income ,- -,- -,- -,- -,- -,- -,1338000,2550000,3157000,899000,77000
13,Interest Expense (Gain),244582000,123197000,21344000,18245000,32045000,38663000,42805000,45680000,48778000,65959000,34998000
14,Depreciation and Amortization,532996000,428422000,341979000,319777000,296609000,298169000,278518000,250466000,288641000,241886000,210682000
15,EBITDA,-1504945000,458537000,254484000,232773000,175145000,-13218000,167701000,207588000,127787000,-184397000,461944000
16,EBITDA ratio,-1.1619,0.3567,0.1846,0.1696,0.1237,-0.0096,0.1191,0.1570,0.0919,-0.1788,0.4396
17,Operating Income,-2037130000,-120687000,-86645000,-85411000,-116051000,-310773000,-113521000,-90525000,-163164000,-429089000,48182000
18,Operating Income ratio,-1.5727,-0.0939,-0.0628,-0.0622,-0.0820,-0.2264,-0.0807,-0.0685,-0.1173,-0.4161,0.0459
19,Total Other Income Expenses (Gains),-245393000,27605000,-22194000,-19838000,-37458000,-39277000,-40101000,-41335000,-46468000,-63153000,-43436000
20,Income Before Tax,-2282523000,-93082000,-108839000,-105249000,-153509000,-350050000,-153622000,-131860000,-209632000,-492242000,4746000
21,Income Before Tax Ratio,-1.7622,-0.0724,-0.0789,-0.0767,-0.1084,-0.2550,-0.1091,-0.0997,-0.1507,-0.4773,0.0045
22,Income Tax expense (Gain),-100153000,-5943000,2347000,6242000,-19640000,-65492000,-50435000,5597000,4201000,-12404000,2686000
23,Net Income,-2182370000,-87139000,-111186000,-111491000,-133869000,-284558000,-103187000,-94155000,-213833000,-479838000,213578000
24,Net Income ratio,-1.6848,-0.0678,-0.0807,-0.0812,-0.0945,-0.2073,-0.0733,-0.0712,-0.1538,-0.4653,0.2033
25,EPS,-15.59,-0.62,-0.79,-0.79,-0.98,-2.32,-0.84,-0.76,-1.72,-3.82,0.02
26,EPS Diluted,-15.59,-0.62,-0.79,-0.79,-0.98,-2.32,-0.84,-0.76,-1.72,-3.82,0.02
27,Weighted Average Shares Outstanding,139955578,139955578,139928650,140594689,136760107,122418474,122949064,123444943,124152984,125455487,127674513
28,Weighted Average Shares Outstanding Diluted,139955578,139955578,139928650,140594689,136760107,122418474,122949064,123444943,124152984,125455487,131652417
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1580156/000119312514118350/0001193125-14-118350-index.htm,https://www.sec.gov/Archives/edgar/data/1580156/000119312515064014/d846641d10k.htm,https://www.sec.gov/Archives/edgar/data/1580156/000119312516476833/0001193125-16-476833-index.html,https://www.sec.gov/Archives/edgar/data/1580156/000119312517052873/0001193125-17-052873-index.html,https://www.sec.gov/Archives/edgar/data/1580156/000119312518053025/0001193125-18-053025-index.html,https://www.sec.gov/Archives/edgar/data/1580156/000119312519055490/0001193125-19-055490-index.html,https://www.sec.gov/Archives/edgar/data/1580156/000156459020007003/0001564590-20-007003-index.html,https://www.sec.gov/Archives/edgar/data/1580156/000156459021008418/0001564590-21-008418-index.htm,https://www.sec.gov/Archives/edgar/data/1580156/000156459022006489/0001564590-22-006489-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,413610000,329078000,313628000,456581000,234257000,226102000,148979000,253365000,296353000,281200000,463131000
32,Short-Term Investments,- -,146041000,111721000,286764000,198146000,80841000,86449000,49833000,- -,- -,- -
33,Cash and Short-Term Investments,413610000,475119000,425349000,743345000,432403000,306943000,235428000,303198000,296353000,281200000,463131000
34,Net Receivables,256271000,229118000,318101000,255669000,256099000,216006000,201080000,203574000,184425000,152832000,135495000
35,Inventory,242162000,197613000,182194000,183961000,171446000,162415000,154644000,184209000,213059000,166963000,117469000
36,Other Current Assets,54458000,56589000,45972000,39124000,22877000,20356000,29947000,15297000,19257000,19931000,43339000
37,Total Current Assets,966501000,958439000,971616000,1222099000,882825000,705720000,621099000,706278000,713094000,620926000,759434000
38,PP&E,152212000,149227000,140848000,138362000,149680000,175202000,153906000,125925000,232635000,220052000,191017000
39,Goodwill,520088000,520088000,531786000,532921000,783073000,783073000,783073000,716073000,716977000,437977000,437977000
40,Intangible Assets,1274213000,1067052000,919994000,801969000,912955000,685649000,610663000,520892000,474225000,428584000,360290000
41,Intangible Assets,1794301000,1587140000,1451780000,1334890000,1696028000,1468722000,1393736000,1236965000,1191202000,866561000,798267000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,3705000,3540000,3458000,3593000,3259000,2520000,2415000,4997000
44,Other Non-Current Assets,350889000,334778000,346142000,312051000,404983000,378369000,391257000,422697000,373721000,311172000,220565000
45,Total Non-Current Assets,2297402000,2071145000,1938770000,1789008000,2254231000,2025751000,1942492000,1788846000,1800078000,1400200000,1214846000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3263903000,3029584000,2910386000,3011107000,3137056000,2731471000,2563591000,2495124000,2513172000,2021126000,1974280000
48,Accounts Payable,130128000,86416000,105012000,51266000,94483000,76181000,61502000,76313000,52128000,49104000,37449000
49,Short-Term Debt,43500000,2500000,2500000,67500000,8000000,8000000,8000000,8000000,27685000,28669000,7539000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,141763000,124216000,113042000,157016000,231172000,272828000,275111000,251944000,305285000,342605000,357864000
52,Other Current Liabilities,210266000,146222000,145061000,174849000,172953000,148141000,159616000,151435000,170052000,131443000,143159000
53,Total Current Liabilities,525657000,359354000,365615000,450631000,506608000,505150000,504229000,487692000,555150000,551821000,546011000
