,https://roic.ai/company/CODX,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,10000,- -,7662,39911,214974,74552758,97885603
2,COGS,- -,- -,302,9391,112431,16591346,11574944
3,Gross Profit,- -,- -,7360,30520,102543,57961412,86310659
4,Gross Profit Ratio,- -,- -,0.9606,0.7647,0.4770,0.7775,0.8818
5,Research and Development Exp.,806913,731474,1003167,1361154,1371433,3185290,14961916
6,General and Administrative Exp.,846825,796896,3095791,3570786,3497273,8278734,11550615
7,Selling and Marketing Exp.,281101,122105,426711,1165631,1061676,4665113,13397813
8,"Selling, General and Administrative Exp.",1127926,919001,3522502,4736417,4558949,12943847,24948428
9,Other Expenses,43140,- -,45758,50765,65902,138635,335363
10,Operating Expenses,1977979,1650475,4571427,6148336,5996284,16267772,40245707
11,COGS and Expenses,1977979,1687966,4571729,6157727,6108715,32859118,51820651
12,Interest Income ,- -,- -,3829,19804,36652,97215,45631
13,Interest Expense (Gain),75189,240720,310233,134947,106437,97215,45631
14,Depreciation and Amortization,43140,37491,45758,50765,65902,138635,335363
15,EBITDA,-1924839,-1650475,-6603241,-6086011,-6023218,42804915,46016789
16,EBITDA ratio,-192.4839,-Infinity,-861.8169,-152.4896,-28.0184,0.5742,0.4701
17,Operating Income,-1967979,-1687966,-4564067,-6117816,-5893741,41693640,46064952
18,Operating Income ratio,-196.7979,-Infinity,-595.6757,-153.2865,-27.4161,0.5593,0.4706
19,Total Other Income Expenses (Gains),-75189,-240720,-2395165,-153907,-301816,875425,-429157
20,Income Before Tax,-2043168,-1928686,-6959232,-6271723,-6195557,42569065,45635795
21,Income Before Tax Ratio,-204.3168,-Infinity,-908.2788,-157.1427,-28.8200,0.5710,0.4662
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,90536,8977231
23,Net Income,-2043168,-1928686,-6959232,-6271723,-6195557,42478529,36658564
24,Net Income ratio,-204.3168,-Infinity,-908.2788,-157.1427,-28.8200,0.5698,0.3745
25,EPS,-0.18,-0.17,-0.63,-0.50,-0.36,1.59,1.27
26,EPS Diluted,-0.18,-0.17,-0.63,-0.50,-0.36,1.52,1.23
27,Weighted Average Shares Outstanding,11060927,11060927,10960326,12484617,16756912,26720133,28874555
28,Weighted Average Shares Outstanding Diluted,11182184,11060927,10960326,12484617,16756912,28000341,29903686
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1692415/000147793218001468/0001477932-18-001468-index.htm,https://www.sec.gov/Archives/edgar/data/1692415/000149315219004300/0001493152-19-004300-index.htm,https://www.sec.gov/Archives/edgar/data/1692415/000149315220005305/0001493152-20-005305-index.htm,https://www.sec.gov/Archives/edgar/data/1692415/000149315221006810/0001493152-21-006810-index.htm,https://www.sec.gov/Archives/edgar/data/1692415/000149315222007662/0001493152-22-007662-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,33805,998737,3534454,950237,893138,42976713,88607234
32,Short-Term Investments,- -,- -,- -,- -,- -,4335446,1255266
33,Cash and Short-Term Investments,33805,998737,3534454,950237,893138,47312159,89862500
34,Net Receivables,2000,3183,- -,13420,131382,12136833,20914182
35,Inventory,- -,- -,9068,18153,197168,7995189,2004169
36,Other Current Assets,116120,206478,908352,70103,362566,916252,2338444
37,Total Current Assets,151925,1208398,4451874,1051913,1584254,68360433,115119295
38,PP&E,112679,87429,165567,156138,196832,949639,1933216
39,Goodwill,- -,- -,- -,- -,- -,- -,14706818
40,Intangible Assets,- -,- -,- -,- -,- -,- -,27195000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,41901818
42,Investments,- -,- -,44885,345121,434240,1927125,1004953
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,106326,- -,- -,- -,- -,- -,75000
45,Total Non-Current Assets,219005,87429,210452,501259,631072,2876764,44914987
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,370930,1295827,4662326,1553172,2215326,71237197,160034282
48,Accounts Payable,98857,29934,40819,148967,5959,598318,607506
49,Short-Term Debt,487935,2949072,- -,1908572,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,2213088
51,Deferred Revenue,- -,- -,10792,- -,1323,305307,150000
52,Other Current Liabilities,407922,866407,576645,294444,320788,3607063,11840044
53,Total Current Liabilities,994714,3845413,628256,2351983,328070,4510688,12597550
54,Long-Term Debt,523595,445000,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,183546,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,7228444
57,Other Non-Current Liabilities,- -,- -,- -,260000,150000,30000,5733190
58,Total Non-Current Liabilities,523595,445000,183546,260000,150000,30000,12961634
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1518309,4290413,811802,2611983,478070,4540688,25559184
62,Preferred Stock,- -,- -,- -,- -,26,- -,- -
63,Common Stock,9882,9882,12317,12923,17343,28558,33820
64,Retained Earnings,-3534526,-5463212,-12422444,-18694167,-24967814,17510715,54169279
65,Other Comprehensive Income/Loss,-65206,-80917,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,2442471,2539661,16260651,17622433,26687701,49157236,80271999
67,Total Stockholders Equity,-1147379,-2994586,3850524,-1058811,1737256,66696509,134475098
68,Total Liabilities And Stockholders Equity,370930,1295827,4662326,1553172,2215326,71237197,160034282
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,370930,1295827,4662326,1553172,2215326,71237197,160034282
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1692415/000147793218001468/0001477932-18-001468-index.htm,https://www.sec.gov/Archives/edgar/data/1692415/000149315219004300/0001493152-19-004300-index.htm,https://www.sec.gov/Archives/edgar/data/1692415/000149315220005305/0001493152-20-005305-index.htm,https://www.sec.gov/Archives/edgar/data/1692415/000149315221006810/0001493152-21-006810-index.htm,https://www.sec.gov/Archives/edgar/data/1692415/000149315222007662/0001493152-22-007662-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-2043168,-1928686,-6959232,-6271723,-6195557,42478529,36658564
74,Depreciation and Amortization,43140,37491,45758,50765,65902,138635,335363
75,Deferred Income Tax,- -,- -,- -,- -,- -,-547224,930081
76,Stock Based Compensation,45498,69565,2033958,1332388,1088386,2738041,5509404
77,Change in Working Capital,391478,-1794226,6460633,-5123688,-818281,-16819340,-2896448
78,Accounts Receivable,- -,- -,- -,-13420,-121462,- -,-8740851
79,Inventory,- -,- -,-9068,-9085,-179015,-7915241,5705361
80,Accounts Payable,- -,- -,- -,85947,-226664,3758634,-299937
81,Other Working Capital,-842789,-2637015,3823618,-1300070,1323,303984,-155307
82,Other Non-Cash Items,32681,2303589,-4792518,5932222,334459,176594,544460
83,Cash Provided by Operating Activities,-1530371,-1312267,-3211401,-4080036,-5525091,28165235,41081424
84,CAPEX,-118465,-12241,-129306,-41336,-113246,-774397,-669463
85,Acquisitions Net,- -,- -,- -,-339000,-322000,-714500,1687982
86,Purchases of Investments,- -,- -,-60000,- -,- -,-9310000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,4974554,3080180
88,Other Investing Activites,8195,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-110270,-12241,-189306,-380336,-435246,-5824343,4098699
90,Debt Repayment,- -,-84950,-41500,-153845,- -,- -,- -
91,Common Stock Issued,- -,- -,7071192,- -,5496002,19470005,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1460000,2374390,-1093268,2030000,407236,272678,450398
95,Cash Used/Provided by Financing Activities,1460000,2289440,5936424,1876155,5903238,19742683,450398
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-180641,964932,2535717,-2584217,-57099,42083575,45630521
98,Cash at the End of Period,33805,998737,3534454,950237,893138,42976713,88607234
99,Cash at the Beginning of Period,214446,33805,998737,3534454,950237,893138,42976713
100,Free Cash Flow,-1648836,-1324508,-3340707,-4121372,-5638337,27390838,40411961
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1692415/000147793218001468/0001477932-18-001468-index.htm,https://www.sec.gov/Archives/edgar/data/1692415/000149315219004300/0001493152-19-004300-index.htm,https://www.sec.gov/Archives/edgar/data/1692415/000149315220005305/0001493152-20-005305-index.htm,https://www.sec.gov/Archives/edgar/data/1692415/000149315221006810/0001493152-21-006810-index.htm,https://www.sec.gov/Archives/edgar/data/1692415/000149315222007662/0001493152-22-007662-index.htm
102,false,,,,,,,
