,https://roic.ai/company/DOW,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,48158000000,43730000000,60278000000,42951000000,38542000000,54968000000
2,COGS,37668000000,36350000000,47705000000,36657000000,33346000000,44191000000
3,Gross Profit,10490000000,7380000000,12573000000,6294000000,5196000000,10777000000
4,Gross Profit Ratio,0.2178,0.1688,0.2086,0.1465,0.1348,0.1961
5,Research and Development Exp.,1593000000,803000000,1536000000,765000000,768000000,857000000
6,General and Administrative Exp.,4066000000,1795000000,2846000000,1590000000,1471000000,1645000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4066000000,1795000000,2846000000,1590000000,1471000000,1645000000
9,Other Expenses,544000000,400000000,622000000,419000000,401000000,388000000
10,Operating Expenses,6203000000,2998000000,5004000000,2774000000,2640000000,2890000000
11,COGS and Expenses,43871000000,39348000000,52709000000,39431000000,35986000000,47081000000
12,Interest Income ,107000000,66000000,109000000,81000000,38000000,55000000
13,Interest Expense (Gain),858000000,914000000,1118000000,933000000,827000000,731000000
14,Depreciation and Amortization,2862000000,2546000000,3329000000,2938000000,2874000000,2842000000
15,EBITDA,8047000000,5449000000,10231000000,2982000000,5703000000,11624000000
16,EBITDA ratio,0.1671,0.1246,0.1697,0.0694,0.1480,0.2115
17,Operating Income,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),126000000,-4145000000,-1651000000,-4767000000,-485000000,258000000
20,Income Before Tax,4413000000,237000000,5918000000,-1247000000,2071000000,8145000000
21,Income Before Tax Ratio,0.0916,0.0054,0.0982,-0.0290,0.0537,0.1482
22,Income Tax expense (Gain),9000000,1524000000,1285000000,470000000,777000000,1740000000
23,Net Income,4318000000,465000000,4499000000,-1359000000,1225000000,6311000000
24,Net Income ratio,0.0897,0.0106,0.0746,-0.0316,0.0318,0.1148
25,EPS,5.30,0.62,6.00,-1.84,1.64,8.44
26,EPS Diluted,5.30,0.62,6.00,-1.84,1.64,8.38
27,Weighted Average Shares Outstanding,750000000,750000000,750000000,742500000,740500000,743600000
