,https://roic.ai/company/MTP,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,147000,157000,1375000,6923000,7598000,149000,312000,180000
2,COGS,- -,- -,70000,7351000,11111000,9359000,7843000,6068000
3,Gross Profit,147000,- -,1305000,-428000,-3513000,-9210000,-7531000,-5888000
4,Gross Profit Ratio,1.0000,- -,0.9491,-0.0618,-0.4624,-61.8121,-24.1378,-32.7111
5,Research and Development Exp.,2840000,3639000,5920000,6684000,10185000,9359000,- -,- -
6,General and Administrative Exp.,1806000,4405000,7929000,9222000,3148000,4394000,3841000,4952000
7,Selling and Marketing Exp.,- -,- -,374000,9523000,9417000,- -,323000,6000
8,"Selling, General and Administrative Exp.",1806000,4405000,8303000,18745000,12565000,4394000,4164000,4958000
9,Other Expenses,- -,- -,- -,-6684000,-10185000,-11148000,-377000,-175000
10,Operating Expenses,4646000,8044000,14223000,18745000,12565000,2605000,3787000,4783000
11,COGS and Expenses,4646000,8044000,14293000,26096000,23676000,11964000,11630000,10851000
12,Interest Income ,1000,8000,53000,164000,15000,2000,8000,1000
13,Interest Expense (Gain),248000,161000,5000,73000,109000,587000,97000,34000
14,Depreciation and Amortization,247000,322000,737000,4355000,2560000,1450000,1285000,1217000
15,EBITDA,-4388000,-7557000,-10490000,-24894000,-14660000,-15025000,-10488000,-22219000
16,EBITDA ratio,-29.8503,-48.1338,-7.6291,-3.5958,-1.9295,-100.8389,-33.6154,-123.4389
17,Operating Income,-4499000,-7887000,-12918000,-30586000,-17578000,-11815000,-11318000,-23040000
18,Operating Income ratio,-30.6054,-50.2357,-9.3949,-4.4180,-2.3135,-79.2953,-36.2756,-128.0000
19,Total Other Income Expenses (Gains),-384000,-153000,1686000,1264000,249000,-585000,395000,-430000
20,Income Before Tax,-4883000,-8040000,-11232000,-29322000,-17329000,-12400000,-10923000,-23470000
21,Income Before Tax Ratio,-33.2177,-51.2102,-8.1687,-4.2354,-2.2807,-83.2215,-35.0096,-130.3889
22,Income Tax expense (Gain),-799000,-658000,-1133000,-9160000,-1265000,-2032000,-1785000,-1281000
23,Net Income,-4084000,-7382000,-10099000,-20162000,-16064000,-15030000,-10085000,-22189000
24,Net Income ratio,-27.7823,-47.0191,-7.3447,-2.9123,-2.1142,-100.8725,-32.3237,-123.2722
25,EPS,-14.48,-80.79,-35.47,-55.18,-30.54,-24.63,-1100.00,-52.00
26,EPS Diluted,-14.48,-80.79,-35.47,-55.18,-30.54,-24.63,-1100.00,-52.00
27,Weighted Average Shares Outstanding,282092,91611,284717,366114,520836,620388,9165,428400
28,Weighted Average Shares Outstanding Diluted,282092,91611,284717,366114,520836,620388,9165,428400
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1643918/000121465917002415/0001214659-17-002415-index.htm,https://www.sec.gov/Archives/edgar/data/1643918/000121465918002960/0001214659-18-002960-index.htm,https://www.sec.gov/Archives/edgar/data/1643918/000121465919003052/0001214659-19-003052-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,2387000,30325000,16175000,17608000,13204000,2343000,10928000,7546000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2387000,30325000,16175000,17608000,13204000,2343000,10928000,7546000
34,Net Receivables,1708000,- -,3697000,3878000,- -,- -,- -,- -
35,Inventory,- -,- -,459000,817000,941000,- -,- -,- -
36,Other Current Assets,- -,1303000,- -,- -,4438000,3275000,2809000,1729000
37,Total Current Assets,4095000,31628000,20331000,22303000,18583000,5618000,13737000,9275000
38,PP&E,684000,1516000,1984000,2766000,2529000,1983000,2154000,542000
39,Goodwill,- -,2897000,12456000,14488000,13444000,2291000,2291000,- -
40,Intangible Assets,4000,14103000,28883000,16684000,14203000,10083000,10088000,- -
41,Intangible Assets,4000,17000000,41339000,31172000,27647000,12374000,12379000,- -
42,Investments,12000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,379000,425000,387000,448000,465000,469000,2625000,- -
45,Total Non-Current Assets,1079000,18941000,43710000,34386000,30641000,14826000,17158000,542000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5174000,50569000,64041000,56689000,49224000,20444000,30895000,9817000
48,Accounts Payable,522000,981000,2285000,3268000,2271000,286000,725000,337000
49,Short-Term Debt,185000,491000,442000,538000,361000,368000,412000,200000
50,Tax Payable,78000,274000,183000,670000,359000,347000,86000,31000
51,Deferred Revenue,212000,- -,1480000,1300000,- -,- -,- -,- -
52,Other Current Liabilities,1376000,1360000,4892000,4239000,5731000,1817000,4530000,2452000
53,Total Current Liabilities,2295000,2832000,9099000,9345000,8363000,2471000,5667000,2989000
54,Long-Term Debt,1044000,1488000,1508000,1620000,6185000,884000,5670000,60000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,2820000,6547000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1075000,- -,- -,- -,- -,165000,- -,50000
58,Total Non-Current Liabilities,2119000,4308000,8055000,1620000,6185000,1049000,5670000,110000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,85000,37000,138000,83000,68000,250000,1145000,153000
61,Total Liabilities,4414000,7140000,17154000,10965000,14548000,3520000,11337000,3099000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1001000,1002000,1002000,3000,3000,23000,63000
64,Retained Earnings,-20400000,-27782000,-39151000,-59110000,-74654000,-89720000,-99839000,-122432000
65,Other Comprehensive Income/Loss,-1158000,-1883000,-1784000,-2792000,-3846000,-4317000,-5397000,-1601000
66,Other Total Stockholders Equity,- -,72093000,86820000,106624000,113173000,110958000,124771000,130688000
67,Total Stockholders Equity,760000,43429000,46887000,45724000,34676000,16924000,19558000,6718000
68,Total Liabilities And Stockholders Equity,5174000,50569000,64041000,56689000,49224000,20444000,30895000,9817000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5174000,50569000,64041000,56689000,49224000,20444000,30895000,9817000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1643918/000121465917002415/0001214659-17-002415-index.htm,https://www.sec.gov/Archives/edgar/data/1643918/000121465918002960/0001214659-18-002960-index.htm,https://www.sec.gov/Archives/edgar/data/1643918/000121465919003052/0001214659-19-003052-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-4084000,-7382000,-10099000,-20162000,-16064000,-15030000,-10085000,-22189000
74,Depreciation and Amortization,247000,322000,737000,4355000,2560000,1450000,1285000,1217000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,170000,203000,520000,-36000,-34000,-404000
77,Change in Working Capital,-772000,1346000,-891000,-121000,-1437000,-1453000,1798000,-1558000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-62000,-237000,-202000,347000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,173000,259000,-2338000,2639000,1468000,1619000,547000,13633000
83,Cash Provided by Operating Activities,-4436000,-5455000,-12421000,-13086000,-12953000,-13450000,-6489000,-9301000
84,CAPEX,-50000,-1030000,-925000,-1366000,-1485000,-244000,-319000,-209000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-2549000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,2639000
88,Other Investing Activites,-3000,123000,-611000,145000,-763000,9286000,-948000,144000
