,https://roic.ai/company/SIM,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1040825000,1651952000,2178320750,2217050000,2508357600,2147131279,2208346022,1889858362,2112789531,2776632583,5664559770,12892554400,22671648205,24059074989,35185220000,19231529000,24576436000,29270498000,29523967000,24368940000,26828761000,24475821000,27515565000,28700450000,35678253000,34171201000,35869314000,55621967000
2,COGS,615094000,1014748500,1383198250,1415687200,1541017800,1193097722,1458948759,1268821745,1413724622,1824110618,3292196004,10311697605,18445492065,20458927596,29796163000,17716754000,20529666000,25624612000,25960164000,22410267000,25492298000,23096967000,22775593000,23994526000,30563315000,30067141000,29211724000,40124462000
3,Gross Profit,425731000,637203500,795122500,801362800,967339800,954033557,749397263,621036616,699064909,952521965,2372363766,2580856795,4226156140,3600147393,5389057000,1514775000,4046770000,3645886000,3563803000,1958673000,1336463000,1378854000,4739972000,4705924000,5114938000,4104060000,6657590000,15497505000
4,Gross Profit Ratio,0.4090,0.3857,0.3650,0.3615,0.3856,0.4443,0.3393,0.3286,0.3309,0.3430,0.4188,0.2002,0.1864,0.1496,0.1532,0.0788,0.1647,0.1246,0.1207,0.0804,0.0498,0.0563,0.1723,0.1640,0.1434,0.1201,0.1856,0.2786
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1228322000,1116659000,1193718000,1582489000,1277487000,1238943000,1080012000,1691945000,2019328000,2086573000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1228322000,1116659000,1193718000,1582489000,1277487000,1238943000,1080012000,1691945000,2019328000,2086573000
9,Other Expenses,341793500,410676500,540840750,536123000,638958600,605025039,489252798,13988172,443844139,462199491,568604988,1012288860,1303183195,1420381842,2273828000,2300982000,2961944000,1054152000,34481000,59161000,-60554000,927000,36198000,-6934000,-8647000,88459000,-546749000,30481000
10,Operating Expenses,341793500,410676500,540840750,536123000,638958600,605025039,489252798,13988172,443844139,462199491,568604988,1012288860,1303183195,1420381842,2273828000,2300982000,2961944000,1054152000,1262803000,1175820000,1133164000,1583416000,1313685000,1232009000,1071365000,1780404000,1472579000,2117054000
11,COGS and Expenses,956887500,1425425000,1924039000,1951810200,2179976400,1798122762,1948201557,1282809917,1857568762,2286310109,3860800992,11323986465,19748675260,21879309438,32069991000,20017736000,23491610000,26678764000,27222967000,23586087000,26625462000,24680383000,24089278000,25226535000,31634680000,31847545000,30684303000,42241516000
12,Interest Income ,- -,- -,- -,- -,31651200,- -,27122880,- -,- -,- -,5574135,- -,45252640,273327670,- -,78131000,- -,26135000,23594000,20398000,25139000,34027000,108151000,54238000,312821000,145995000,107826000,65286000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000000,207497000,23725000,23025000,28714000,22614000,40195000,40170000,54404000,16511000,55049000,53746000,87441000
