,https://roic.ai/company/SEDG,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,75351000,79035000,133217000,325078000,489843000,607045000,937237000,1425660000,1459271000,1963865000
2,COGS,- -,- -,76028000,74626000,111246000,243295000,337887000,392279000,618001000,946322000,997912000,1334547000
3,Gross Profit,- -,- -,-677000,4409000,21971000,81783000,151956000,214766000,319236000,479338000,461359000,629318000
4,Gross Profit Ratio,- -,- -,-0.0090,0.0558,0.1649,0.2516,0.3102,0.3538,0.3406,0.3362,0.3162,0.3204
5,Research and Development Exp.,- -,- -,13783000,15823000,18256000,22018000,33231000,54966000,82245000,121351000,163123000,219633000
6,General and Administrative Exp.,- -,- -,3074000,3262000,4294000,6535000,12133000,18682000,29264000,49361000,63119000,82196000
7,Selling and Marketing Exp.,- -,- -,9926000,12784000,17792000,24973000,34833000,50032000,68307000,87984000,95985000,119000000
8,"Selling, General and Administrative Exp.",- -,- -,13000000,16046000,22086000,31508000,46966000,68714000,97571000,137345000,159104000,201196000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,30696000,-3429000,- -
10,Operating Expenses,- -,- -,26783000,31869000,40342000,53526000,80197000,123680000,179816000,289392000,318798000,420829000
11,COGS and Expenses,- -,- -,102811000,106495000,151588000,296821000,418084000,515959000,797817000,1235714000,1316710000,1755376000
12,Interest Income ,- -,- -,- -,- -,- -,- -,1112000,4398000,5629000,4590000,4900000,2973000
13,Interest Expense (Gain),- -,- -,58000,1070000,1990000,895000,- -,- -,2536000,4805000,8515000,9279000
14,Depreciation and Amortization,- -,- -,1283000,1842000,1978000,2253000,3847000,7155000,12619000,26895000,31834000,39535000
15,EBITDA,- -,- -,-26406000,-25160000,-17190000,26224000,76077000,107399000,153065000,211895000,204015000,236038000
16,EBITDA ratio,- -,- -,-0.3504,-0.3183,-0.1290,0.0807,0.1553,0.1769,0.1633,0.1486,0.1398,0.1202
17,Operating Income,- -,- -,-27460000,-27460000,-18371000,28257000,71759000,91086000,139420000,189946000,142561000,207139000
18,Operating Income ratio,- -,- -,-0.3644,-0.3474,-0.1379,0.0869,0.1465,0.1500,0.1488,0.1332,0.0977,0.1055
19,Total Other Income Expenses (Gains),- -,- -,-287000,-612000,-2787000,-5181000,471000,9158000,-2297000,-11343000,21105000,-19915000
20,Income Before Tax,- -,- -,-27747000,-28072000,-21158000,23076000,72230000,100244000,137123000,178603000,163666000,187224000
21,Income Before Tax Ratio,- -,- -,-0.3682,-0.3552,-0.1588,0.0710,0.1475,0.1651,0.1463,0.1253,0.1122,0.0953
22,Income Tax expense (Gain),- -,- -,36000,108000,220000,1955000,-4379000,16072000,9077000,33646000,23344000,18054000
23,Net Income,- -,- -,-27783000,-28180000,-21378000,21121000,76609000,84172000,128833000,146549000,140322000,169170000
24,Net Income ratio,- -,- -,-0.3687,-0.3566,-0.1605,0.0650,0.1564,0.1387,0.1375,0.1028,0.0962,0.0861
25,EPS,- -,- -,-0.73,-0.95,-0.56,0.30,1.92,1.99,2.85,3.06,2.79,3.22
26,EPS Diluted,- -,- -,-0.73,-0.95,-0.56,0.27,1.73,1.85,2.69,2.90,2.66,3.02
27,Weighted Average Shares Outstanding,- -,- -,38065042,29703142,38065042,11902911,39987935,42297487,45204561,47891830,50294624,52522772
28,Weighted Average Shares Outstanding Diluted,- -,- -,39115042,31641743,39115042,15269448,44376075,45425307,47980002,50195661,52795475,55929000
29,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1419612/000117891315002692/0001178913-15-002692-index.htm,https://www.sec.gov/Archives/edgar/data/1419612/000117891316006268/0001178913-16-006268-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1419612/000117891319000721/0001178913-19-000721-index.htm,https://www.sec.gov/Archives/edgar/data/1419612/000117891320000672/0001178913-20-000672-index.htm,https://www.sec.gov/Archives/edgar/data/1419612/000117891321000696/0001178913-21-000696-index.htm,https://www.sec.gov/Archives/edgar/data/1419612/000117891322000760/0001178913-22-000760-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,800000,3500000,19400000,13142000,9754000,144750000,74032000,163163000,191633000,223901000,827146000,530089000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,59163000,77264000,124681000,96855000,203783000,167728000
33,Cash and Short-Term Investments,800000,3500000,19400000,13142000,9754000,144750000,133195000,240427000,316314000,320756000,1030929000,697817000
34,Net Receivables,- -,- -,- -,13376000,29501000,60491000,88112000,143247000,201863000,382300000,275323000,527380000
35,Inventory,- -,- -,- -,14785000,25499000,73950000,81550000,82992000,141519000,170798000,331696000,380143000
36,Other Current Assets,- -,- -,- -,2870000,4519000,11221000,6893000,10020000,18417000,58909000,81393000,105951000
37,Total Current Assets,- -,- -,- -,44173000,69273000,290412000,309750000,476686000,678113000,932763000,1719341000,1711291000
38,PP&E,- -,- -,- -,4339000,5351000,14717000,27831000,51182000,119329000,212821000,345008000,457516000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,34874000,129654000,140479000,129629000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,716000,1115000,38504000,74008000,67818000,58861000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,716000,1115000,73378000,203662000,208297000,188490000
42,Investments,- -,- -,- -,- -,- -,- -,52446000,103120000,74256000,119176000,147434000,482228000
43,Tax Assets,- -,- -,- -,- -,- -,- -,6296000,8340000,14699000,16298000,11676000,27572000
44,Other Non-Current Assets,- -,- -,- -,574000,374000,529000,399000,862000,4697000,9904000,5353000,24963000
45,Total Non-Current Assets,- -,- -,- -,4913000,5725000,15246000,87688000,164619000,286359000,561861000,717768000,1180769000
46,Other Assets,11800000,19600000,55900000,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11800000,19600000,55900000,49086000,74998000,305658000,397438000,641305000,964472000,1494624000,2437109000,2892060000
48,Accounts Payable,- -,- -,- -,16468000,36815000,80684000,48481000,69488000,107079000,157148000,162051000,252068000
49,Short-Term Debt,- -,- -,- -,6212000,16800000,- -,- -,- -,16639000,25263000,27888000,12876000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,3584000,1729000,1676000,3859000,2559000,14351000,70815000,24648000,17789000
52,Other Current Liabilities,- -,- -,- -,14550000,17599000,23232000,34931000,57707000,87649000,183488000,221512000,242448000
53,Total Current Liabilities,- -,- -,- -,40814000,72943000,105592000,87271000,129754000,225718000,436714000,436099000,525181000
54,Long-Term Debt,- -,- -,- -,6611000,3444000,- -,- -,- -,3510000,30386000,634717000,700955000
55,Deferred Revenue,- -,- -,- -,2895000,4252000,8289000,14684000,31453000,60670000,89982000,115372000,151556000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1499000,4461000,8593000,156000
57,Other Non-Current Liabilities,- -,- -,- -,8237000,13450000,24833000,39375000,82631000,102349000,121411000,156571000,204173000
58,Total Non-Current Liabilities,- -,- -,- -,17743000,21146000,33122000,54059000,114084000,168028000,246240000,915253000,1056840000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,39803000,72361000,92148000
61,Total Liabilities,- -,- -,- -,58557000,94089000,138714000,141330000,243838000,393746000,682954000,1351352000,1582021000
62,Preferred Stock,- -,- -,- -,105543000,116203000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,4000,4000,4000,5000,5000,5000,5000
64,Retained Earnings,- -,- -,- -,-119733000,-141111000,-119990000,-43381000,66172000,191133000,337682000,478004000,650058000
65,Other Comprehensive Income/Loss,- -,- -,- -,-26000,-61000,-222000,271000,-611000,-524000,-1809000,3857000,-27319000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,287152000,299214000,- -,371794000,475792000,603891000,- -
67,Total Stockholders Equity,- -,- -,- -,-9471000,-19091000,166944000,256108000,397467000,562408000,811670000,1085757000,1310039000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,49086000,74998000,305658000,397438000,641305000,956154000,1494624000,2437109000,2892060000
69,Minority Interest,11800000,19600000,55900000,- -,- -,- -,- -,- -,8318000,- -,- -,- -
70,Total Liabilities & Equity,11800000,19600000,55900000,49086000,74998000,305658000,397438000,641305000,964472000,1494624000,2437109000,2892060000
