,https://roic.ai/company/UAA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5300000,19732000,49550000,115419000,205181000,281053000,430689000,606561000,725244000,856411000,1063927000,1472684000,1834921000,2332051000,3084370000,3963313000,4825335000,4976553000,5193185000,5267132000,4474667000,5683466000
2,COGS,3000000,9348000,26329000,64757000,109748000,145203000,215089000,301517000,370296000,443386000,533420000,759848000,955624000,1195381000,1572164000,2057766000,2584724000,2737830000,2852714000,2796599000,2314572000,2821967000
3,Gross Profit,2300000,10384000,23221000,50662000,95433000,135850000,215600000,305044000,354948000,413025000,530507000,712836000,879297000,1136670000,1512206000,1905547000,2240611000,2238723000,2340471000,2470533000,2160095000,2861499000
4,Gross Profit Ratio,0.4340,0.5263,0.4686,0.4389,0.4651,0.4834,0.5006,0.5029,0.4894,0.4823,0.4986,0.4840,0.4792,0.4874,0.4903,0.4808,0.4643,0.4499,0.4507,0.4690,0.4827,0.5035
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1600000,7035000,18908000,40709000,70053000,99961000,158323000,218779000,278023000,327752000,418152000,550069000,670602000,871572000,1158251000,1497000000,1823140000,2086831000,2182339000,2233763000,2171934000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1600000,7035000,18908000,40709000,70053000,99961000,158323000,218779000,278023000,327752000,418152000,550069000,670602000,871572000,1158251000,1497000000,1823140000,2086831000,2182339000,2233763000,2171934000,2334691000
9,Other Expenses,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1600000,7035000,18908000,40709000,70053000,99961000,158323000,218779000,278023000,327752000,418152000,550069000,670602000,871572000,1158251000,1497000000,1823140000,2086831000,2182339000,2233763000,2171934000,2334691000
11,COGS and Expenses,4600000,16383000,45237000,105466000,179801000,245164000,373412000,520296000,648319000,771138000,951572000,1309917000,1626226000,2066953000,2730415000,3554766000,4407864000,4824661000,5035053000,5030362000,4486506000,5156658000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-100000,- -,- -,- -,- -,- -,- -,- -,- -,2344000,2258000,3841000,5183000,2933000,5335000,14628000,26434000,34538000,33568000,21240000,47259000,- -
14,Depreciation and Amortization,- -,- -,300000,1171000,3174000,6546000,9824000,14622000,21347000,28249000,31321000,36301000,43082000,50549000,72093000,100940000,144770000,173747000,181768000,186425000,164984000,141144000
15,EBITDA,500000,3008000,3066000,8910000,27270000,39520000,68911000,103665000,91247000,113011000,142498000,197004000,251704000,314475000,419638000,502253000,559486000,197976000,148482000,369828000,-287547000,533276000
16,EBITDA ratio,0.0943,0.1524,0.0619,0.0772,0.1329,0.1406,0.1600,0.1709,0.1258,0.1320,0.1339,0.1338,0.1372,0.1348,0.1361,0.1267,0.1159,0.0398,0.0286,0.0702,-0.0643,0.0938
17,Operating Income,700000,3349000,4313000,9953000,25380000,35889000,57277000,86265000,76925000,85273000,112355000,162767000,208695000,265098000,353955000,408547000,417471000,27843000,-25017000,236770000,-613438000,486290000
18,Operating Income ratio,0.1321,0.1697,0.0870,0.0862,0.1237,0.1277,0.1330,0.1422,0.1061,0.0996,0.1056,0.1105,0.1137,0.1137,0.1148,0.1031,0.0865,0.0056,-0.0048,0.0450,-0.1371,0.0856
19,Total Other Income Expenses (Gains),-100000,-305000,-894000,-2214000,-1284000,-2915000,1810000,2778000,-7025000,-2855000,-3436000,-5905000,-5256000,-4105000,-11745000,-21862000,-29189000,-38152000,-42771000,-26928000,120894000,-95413000
20,Income Before Tax,600000,3044000,3419000,7739000,24096000,32974000,59087000,89043000,69900000,82418000,108919000,156862000,203439000,260993000,342210000,386685000,388282000,-10309000,-67788000,209842000,-492544000,390877000
21,Income Before Tax Ratio,0.1132,0.1543,0.0690,0.0671,0.1174,0.1173,0.1372,0.1468,0.0964,0.0962,0.1024,0.1065,0.1109,0.1119,0.1109,0.0976,0.0805,-0.0021,-0.0131,0.0398,-0.1101,0.0688
22,Income Tax expense (Gain),- -,- -,- -,1991000,7774000,13255000,20108000,36485000,31671000,35633000,40442000,59943000,74661000,98663000,134168000,154112000,131303000,37951000,-20552000,70024000,49387000,32072000
23,Net Income,600000,3008000,2766000,5748000,16322000,19719000,38979000,52558000,38229000,46785000,68477000,96919000,128778000,162330000,208042000,232573000,256979000,-48260000,-46302000,92139000,-549177000,360060000
24,Net Income ratio,0.1132,0.1524,0.0558,0.0498,0.0795,0.0702,0.0905,0.0866,0.0527,0.0546,0.0644,0.0658,0.0702,0.0696,0.0675,0.0587,0.0533,-0.0097,-0.0089,0.0175,-0.1227,0.0634
25,EPS,0.01,0.02,0.01,0.02,0.05,0.05,0.10,0.14,0.10,0.12,0.17,0.23,0.31,0.39,0.49,0.54,0.46,-0.11,-0.10,0.20,-1.21,0.79
26,EPS Diluted,0.01,0.01,0.01,0.02,0.05,0.04,0.10,0.13,0.10,0.12,0.17,0.23,0.31,0.38,0.47,0.53,0.45,-0.11,-0.10,0.20,-1.21,0.79
27,Weighted Average Shares Outstanding,65000000,185280000,249600000,256848000,280992000,297592000,375864000,384168000,388552000,398784000,406384000,412560000,561372000,421392000,426454000,430996000,436330000,440729000,445815000,450964000,454089000,454089000
28,Weighted Average Shares Outstanding Diluted,65000000,195864000,263736000,273168000,294192000,317488000,396696000,399672000,399120000,405200000,410256000,420208000,561372000,431916000,438760000,441736000,444905000,440729000,445815000,454274000,454089000,454089000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1336917/000119312507041759/0001193125-07-041759-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312508035854/0001193125-08-035854-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312509033942/0001193125-09-033942-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312510040052/0001193125-10-040052-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312511044799/0001193125-11-044799-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312512078826/0001193125-12-078826-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691713000011/0001336917-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691714000008/0001336917-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691715000006/0001336917-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691716000064/0001336917-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691717000017/0001336917-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691718000009/0001336917-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691719000011/0001336917-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691720000010/0001336917-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691721000009/0001336917-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691722000010/0001336917-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,794000,667000,1085000,62977000,70655000,40588000,102042000,187297000,203870000,175384000,341841000,347489000,593175000,129852000,250470000,312483000,557403000,788072000,1517361000,1669453000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,794000,667000,1085000,62977000,70655000,40588000,102042000,187297000,203870000,175384000,341841000,347489000,593175000,129852000,250470000,312483000,557403000,788072000,1517361000,1669453000
34,Net Receivables,- -,- -,- -,24716000,40064000,53132000,76177000,93515000,81302000,79356000,102034000,134043000,175524000,209952000,279835000,433638000,622685000,609670000,652546000,708714000,527340000,569014000
35,Inventory,- -,- -,13905000,21849000,48055000,53607000,81031000,166082000,182232000,148488000,215355000,324409000,319286000,469006000,536714000,783031000,917491000,1158548000,1019496000,892258000,895974000,811410000
36,Other Current Assets,- -,- -,- -,3151000,7259000,12074000,17089000,22060000,30847000,32859000,34591000,55827000,66947000,102364000,139675000,152242000,174507000,256978000,364183000,313165000,282300000,286422000
37,Total Current Assets,- -,- -,- -,50383000,96463000,181790000,244952000,322245000,396423000,448000000,555850000,689663000,903598000,1128811000,1549399000,1498763000,1965153000,2337679000,2593628000,2702209000,3222975000,3336299000
38,PP&E,- -,- -,- -,4128000,14211000,20865000,29923000,52332000,73548000,72926000,76127000,159135000,180850000,223952000,305564000,538531000,804211000,885774000,826868000,1384079000,658678000,1055590000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122244000,123256000,585181000,563591000,555674000,546494000,550178000,502214000,495215000
