,https://roic.ai/company/SLDB,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,13620000
2,COGS,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,4192000,20116000,39905000,57965000,94737000,64881000,58739000
6,General and Administrative Exp.,2372000,5460000,14952000,17722000,24581000,21581000,27135000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2372000,5460000,14952000,17722000,24581000,21581000,27135000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,6564000,25576000,54857000,75687000,119318000,86462000,85874000
11,COGS and Expenses,6564000,25576000,54857000,75687000,119318000,86462000,85874000
12,Interest Income ,3000,369000,219000,619000,1580000,115000,64000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,56000,448000,1566000,2824000,3922000,2964000
15,EBITDA,-6564000,-25520000,-54409000,-74121000,-116494000,-80597000,-69224000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.0825
17,Operating Income,-6564000,-25576000,-54857000,-75687000,-119318000,-88406000,-72254000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.3050
19,Total Other Income Expenses (Gains),-100000,1803000,1679000,889000,2095000,116000,66000
20,Income Before Tax,-6664000,-23773000,-53178000,-74798000,-117223000,-88290000,-72188000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.3001
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -
23,Net Income,-6377000,-21539000,-52118000,-74798000,-117223000,-88290000,-72188000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.3001
25,EPS,-0.34,-1.62,-1.22,-2.25,-2.91,-1.70,-0.68
26,EPS Diluted,-0.34,-1.62,-1.22,-2.25,-2.91,-1.70,-0.68
27,Weighted Average Shares Outstanding,19233147,14052917,32228522,33262597,40289290,51937147,106770372
28,Weighted Average Shares Outstanding Diluted,19233147,14052917,32228522,33262597,40289290,51937147,106770372
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1707502/000119312518100742/0001193125-18-100742-index.htm,https://www.sec.gov/Archives/edgar/data/1707502/000156459019007462/0001564590-19-007462-index.htm,https://www.sec.gov/Archives/edgar/data/1707502/000156459020010247/0001564590-20-010247-index.htm,https://www.sec.gov/Archives/edgar/data/1707502/000156459021013153/0001564590-21-013153-index.htm,https://www.sec.gov/Archives/edgar/data/1707502/000156459022009963/0001564590-22-009963-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,28595000,7678000,52080000,86366000,76043000,154744000,119136000
32,Short-Term Investments,26792000,29980000,17014000,36098000,7481000,- -,88643000
33,Cash and Short-Term Investments,55387000,37658000,69094000,122464000,83524000,154744000,207779000
34,Net Receivables,- -,- -,- -,- -,- -,- -,110000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,309000,2314000,1564000,6175000,2778000,4157000,14723000
