,https://roic.ai/company/GRAB,2019,2020
0,INCOME STATEMENT, , 
1,Revenue,- -,- -
2,COGS,- -,- -
3,Gross Profit,- -,- -
4,Gross Profit Ratio,- -,- -
5,Research and Development Exp.,- -,- -
6,General and Administrative Exp.,- -,- -
7,Selling and Marketing Exp.,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -
9,Other Expenses,7836367000000,6960518000000
10,Operating Expenses,7836367000000,6960518000000
11,COGS and Expenses,7836367000000,6960518000000
12,Interest Income ,- -,- -
13,Interest Expense (Gain),- -,- -
14,Depreciation and Amortization,647000000,387000000
15,EBITDA,-99380602000000,-63305982000000
16,EBITDA ratio,-Infinity,-Infinity
17,Operating Income,-7836367000000,-6960518000000
18,Operating Income ratio,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),91544882000000,56345851000000
20,Income Before Tax,83708515000000,49385333000000
21,Income Before Tax Ratio,Infinity,Infinity
22,Income Tax expense (Gain),- -,- -
23,Net Income,83708515000000,49385333000000
24,Net Income ratio,Infinity,Infinity
25,EPS,-1.01,-0.70
26,EPS Diluted,-1.01,-0.70
27,Weighted Average Shares Outstanding,3949285223,3949285223
28,Weighted Average Shares Outstanding Diluted,3949285223,3949285223
29,SEC Link,- -,- -
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,1372000000,2004000000
32,Short-Term Investments,1243000000,1298000000
33,Cash and Short-Term Investments,2615000000,3302000000
34,Net Receivables,274000000,212000000
35,Inventory,5000000,3000000
36,Other Current Assets,246000000,238000000
37,Total Current Assets,3140000000,3755000000
38,PP&E,534000000,384000000
39,Goodwill,681000000,656000000
40,Intangible Assets,499000000,257000000
41,Intangible Assets,1180000000,913000000
42,Investments,165000000,386000000
43,Tax Assets,- -,- -
44,Other Non-Current Assets,5000000,4000000
45,Total Non-Current Assets,1884000000,1687000000
46,Other Assets,- -,- -
47,Total Assets,5024000000,5442000000
48,Accounts Payable,99000000,109000000
49,Short-Term Debt,161000000,140000000
50,Tax Payable,10000000,20000000
51,Deferred Revenue,- -,13000000
52,Other Current Liabilities,523000000,574000000
53,Total Current Liabilities,783000000,836000000
54,Long-Term Debt,184000000,111000000
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,6000000,1000000
57,Other Non-Current Liabilities,8275000000,10788000000
58,Total Non-Current Liabilities,8465000000,10900000000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,49000000,39000000
61,Total Liabilities,9248000000,11736000000
62,Preferred Stock,- -,- -
63,Common Stock,79000000,140000000
64,Retained Earnings,-7982000000,-10490000000
65,Other Comprehensive Income/Loss,3612000000,3951000000
66,Other Total Stockholders Equity,- -,- -
67,Total Stockholders Equity,-4291000000,-6399000000
68,Total Liabilities And Stockholders Equity,4957000000,5337000000
69,Minority Interest,67000000,105000000
70,Total Liabilities & Equity,5024000000,5442000000
71,SEC Link,- -,- -
72,CASH FLOW STATEMENT, , 
73,Net Income,83708515000000,49385333000000
74,Depreciation and Amortization,647000000,387000000
75,Deferred Income Tax,- -,- -
76,Stock Based Compensation,34000000,54000000
77,Change in Working Capital,108000000,75000000
78,Accounts Receivable,- -,- -
79,Inventory,2000000,2000000
80,Accounts Payable,- -,- -
81,Other Working Capital,- -,- -
82,Other Non-Cash Items,-83711416000000,-49386492000000
83,Cash Provided by Operating Activities,-2112000000,-643000000
84,CAPEX,-140000000,-40000000
85,Acquisitions Net,-32000000,-3000000
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,523000000,-293000000
89,Cash Used for Investing Activites,393000000,-318000000
90,Debt Repayment,-97000000,-136000000
91,Common Stock Issued,327000000,329000000
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,1721000000,1385000000
95,Cash Used/Provided by Financing Activities,1951000000,1578000000
96,Effect of Forex Changes on Cash,12000000,15000000
97,Net Change In Cash,244000000,632000000
98,Cash at the End of Period,1372000000,2004000000
99,Cash at the Beginning of Period,1128000000,1372000000
100,Free Cash Flow,-2252000000,-683000000
101,SEC Link,- -,- -
102,false,,
