,https://roic.ai/company/XSPA,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,20000,211000,718000,369000,1100000,1425000,22687000,18974000,48823000,50094000,48515000,8385000,29358
2,COGS,- -,31000,180000,155000,12512000,- -,25368000,19353000,12819000,39343000,39451000,37854000,11983000,15779
3,Gross Profit,- -,-11000,31000,563000,-12143000,1100000,-23943000,3334000,6155000,9480000,10643000,10661000,-3598000,13579
4,Gross Profit Ratio,- -,-0.5500,0.1469,0.7841,-32.9079,1.0000,-16.8021,0.1470,0.3244,0.1942,0.2125,0.2197,-0.4291,0.4625
5,Research and Development Exp.,3110000,1975000,2357000,2017000,1740000,1512000,889000,- -,681000,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1409000,1568000,2074000,2777000,- -,40365000,- -,- -,12861000,16577000,16240000,14319000,15940000,9849
7,Selling and Marketing Exp.,2769000,1752000,2095000,2193000,- -,- -,- -,- -,1248000,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4178000,3320000,4169000,4970000,- -,40365000,- -,- -,14109000,16577000,16240000,14319000,15940000,9849
9,Other Expenses,- -,- -,- -,- -,10885000,- -,20607000,13678000,13782000,7976000,9498000,6124000,5210000,17253
10,Operating Expenses,7288000,5295000,6526000,6987000,12625000,41877000,21496000,13678000,28572000,24553000,25738000,20443000,21150000,27102
11,COGS and Expenses,7288000,5326000,6706000,7142000,25137000,41877000,46864000,33031000,41391000,63896000,65189000,58297000,33133000,42881
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),157000,617000,4304000,1525000,- -,- -,- -,2594000,1698000,731000,1827000,2900000,1832000,12
14,Depreciation and Amortization,107000,113000,87000,61000,2501000,5220000,4023000,3516000,1845000,7976000,9498000,6124000,7225000,658000
15,EBITDA,-7181000,-5346000,-5516000,-5803000,-18285000,-47213000,-105654000,-5913000,-20463000,-20022000,-26158000,-12345000,-81424000,659909
16,EBITDA ratio,-Infinity,-267.3000,-26.1422,-8.0822,-49.5528,-42.9209,-74.1432,-0.2606,-1.0785,-0.4101,-0.5222,-0.2545,-9.7107,22.4780
17,Operating Income,-7288000,-5306000,-6495000,-6424000,-24768000,-40777000,-111196000,-10344000,-22417000,-15073000,-34725000,-15872000,-40104000,4191000
18,Operating Income ratio,-Infinity,-265.3000,-30.7820,-8.9471,-67.1220,-37.0700,-78.0323,-0.4559,-1.1815,-0.3087,-0.6932,-0.3272,-4.7828,142.7550
19,Total Other Income Expenses (Gains),-51000,-770000,-3412000,-965000,3982000,-971000,1974000,-1780000,-1586000,-928000,-1184000,-4804000,-52121000,-4189103
20,Income Before Tax,-7339000,-6076000,-9907000,-7389000,-20786000,-41748000,-109222000,-12124000,-24003000,-16001000,-35909000,-20676000,-92225000,1897
21,Income Before Tax Ratio,-Infinity,-303.8000,-46.9526,-10.2911,-56.3306,-37.9527,-76.6470,-0.5344,-1.2650,-0.3277,-0.7168,-0.4262,-10.9988,0.0646
22,Income Tax expense (Gain),-7000,73000,35000,90000,55000,- -,- -,-866000,- -,111000,-278000,-146000,7000,61
23,Net Income,-7332000,-6149000,-9942000,-7479000,-20841000,-52433000,-109677000,-11157000,-24006000,-28840000,-37205000,-21223000,-90488000,1836
24,Net Income ratio,-Infinity,-307.4500,-47.1185,-10.4164,-56.4797,-47.6664,-76.9663,-0.4918,-1.2652,-0.5907,-0.7427,-0.4375,-10.7917,0.0625
25,EPS,-7016.27,-5884.21,-1890.00,-702.00,-318.00,-378.00,-738.00,-65.40,-94.80,-77.40,-76.80,-12.99,-2.05,0.00
26,EPS Diluted,-7016.27,-5884.21,-1890.00,-702.00,-366.00,-378.00,-744.00,-65.40,-94.80,-77.64,-76.80,-12.99,-2.05,0.00
27,Weighted Average Shares Outstanding,1045,1045,5257,10621,65185,138669,149400,170295,252787,371449,484544,1634442,44567542,44567542
28,Weighted Average Shares Outstanding Diluted,1045,1045,5257,10621,69441,138801,150816,170295,252787,371449,484544,1634442,44567542,44567542
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1410428/000119312511085106/d10k.htm,https://www.sec.gov/Archives/edgar/data/1410428/000114420412018817/0001144204-12-018817-index.html,https://www.sec.gov/Archives/edgar/data/1410428/000114420413016671/0001144204-13-016671-index.html,https://www.sec.gov/Archives/edgar/data/1410428/000114420414014529/v369079_10k.htm,https://www.sec.gov/Archives/edgar/data/1410428/000114420415016329/v401376_10k.htm,https://www.sec.gov/Archives/edgar/data/1410428/000114420416087235/0001144204-16-087235-index.html,https://www.sec.gov/Archives/edgar/data/1410428/000114420417017688/0001144204-17-017688-index.html,https://www.sec.gov/Archives/edgar/data/1410428/000114420418017944/0001144204-18-017944-index.html,https://www.sec.gov/Archives/edgar/data/1410428/000114420419017496/0001144204-19-017496-index.html,https://www.sec.gov/Archives/edgar/data/1410428/000110465920048780/tm205324-1_10k.htm,https://www.sec.gov/Archives/edgar/data/1410428/000155837021003840/0001558370-21-003840-index.htm,https://www.sec.gov/Archives/edgar/data/1410428/000155837022004897/0001558370-22-004897-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6004000,744000,5407000,1190000,56960000,33586000,16023000,24951000,17910000,6368000,3403000,2184000,89801000,105506
32,Short-Term Investments,20000,2602000,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6024000,3346000,5427000,1190000,56960000,33586000,16023000,24951000,17910000,6368000,3403000,2184000,89801000,105506
34,Net Receivables,- -,- -,80000,341000,151000,- -,- -,246000,449000,800000,- -,- -,- -,615
35,Inventory,- -,- -,- -,- -,- -,- -,- -,379000,2943000,1159000,782000,647000,657000,1763
36,Other Current Assets,98000,172000,168000,187000,318000,1242000,2577000,2701000,2242000,7766000,1574000,1102000,1321000,1095
37,Total Current Assets,6122000,3518000,5675000,1718000,57429000,34828000,18600000,28277000,23544000,16093000,5759000,3933000,91779000,108979
38,PP&E,259000,179000,178000,144000,294000,230000,221000,- -,16467000,15797000,11795000,16318000,7195000,10996
39,Goodwill,- -,- -,- -,- -,65965000,65757000,- -,4863000,25166000,19630000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,34044000,22748000,17625000,16476000,15610000,11547000,9167000,6783000,870000,3730
41,Intangible Assets,- -,- -,- -,- -,100009000,88505000,17625000,21339000,40776000,31177000,9167000,6783000,870000,3730
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2482000,484000,1768000,- -
43,Tax Assets,50000,80000,27000,25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,12000,12000,9000,8000,54000,247000,989000,916000,2020000,2173000,1381000,1206000,1522000,3561
45,Total Non-Current Assets,321000,271000,214000,177000,100357000,88982000,18835000,22255000,59263000,49147000,24825000,24791000,11355000,18287
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6443000,3789000,5889000,1895000,157786000,123810000,37435000,50532000,82807000,65240000,30584000,28724000,103134000,127266
48,Accounts Payable,- -,- -,170000,- -,1444000,- -,- -,4278000,9555000,3362000,3825000,7069000,2440000,- -
49,Short-Term Debt,696000,2469000,1262000,- -,- -,- -,- -,3184000,- -,- -,8486000,3669000,6095000,2736
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,538000,676000,615000,719000,- -,551000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,143000,- -,- -,- -,886000,549
52,Other Current Liabilities,585000,2250000,837000,723000,398000,5488000,4732000,1752000,2075000,9135000,4347000,5482000,4056000,16542
53,Total Current Liabilities,1281000,4719000,2269000,723000,1842000,5488000,4732000,9214000,11773000,12497000,16658000,16220000,13477000,19827
54,Long-Term Debt,- -,- -,1911000,- -,- -,- -,- -,- -,6500000,6500000,- -,5762000,2355000,7504
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,16132000,15448000,1948000,2337000,7612000,4040000,1523000,802000,365000,404000,791000,9278000,6930000,- -
58,Total Non-Current Liabilities,16132000,15448000,3859000,2337000,7612000,4040000,1523000,802000,6865000,6904000,791000,15040000,9285000,7504
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9495000,9727000,- -
61,Total Liabilities,17413000,20167000,6128000,3060000,9454000,9528000,6255000,10016000,18638000,19401000,17449000,31260000,22762000,27331
62,Preferred Stock,24000,24000,- -,- -,- -,- -,- -,- -,5000,4000,14000,10000,- -,- -
63,Common Stock,22000,22000,54000,100000,819000,845000,934000,132000,183000,265000,352000,489000,941000,1013
64,Retained Earnings,-13976000,-20125000,-30067000,-37546000,-23595000,-76028000,-185705000,-196862000,-220868000,-249708000,-286913000,-308136000,-398624000,-395275
65,Other Comprehensive Income/Loss,-193000,-306000,-393000,-454000,-47000,-134000,-389000,- -,-13000,-74000,-251000,-283000,-220000,-312
66,Other Total Stockholders Equity,3153000,4007000,30167000,36735000,171155000,189599000,216340000,237246000,280221000,290396000,295904000,301681000,475709000,494509
67,Total Stockholders Equity,-10970000,-16378000,-239000,-1165000,148332000,114282000,31180000,40516000,59528000,40883000,9106000,-6239000,77806000,99935
68,Total Liabilities And Stockholders Equity,6443000,3789000,5889000,1895000,157786000,123810000,37435000,50532000,78166000,60284000,26555000,25021000,100568000,127266
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,4641000,4956000,4029000,3703000,2566000,- -
70,Total Liabilities & Equity,6443000,3789000,5889000,1895000,157786000,123810000,37435000,50532000,82807000,65240000,30584000,28724000,103134000,127266
