,https://roic.ai/company/ONVO,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,1197000,- -,379000,571000,1483000,4230000,4603000,3091000,2196000,- -
2,COGS,- -,- -,- -,- -,- -,956000,1030000,482000,328000,- -
3,Gross Profit,1197000,- -,379000,- -,- -,3274000,3573000,2609000,1868000,- -
4,Gross Profit Ratio,1.0000,- -,1.0000,- -,- -,0.7740,0.7762,0.8441,0.8506,- -
5,Research and Development Exp.,3436000,- -,7974000,12921000,18008000,19545000,17956000,14752000,5284000,1077000
6,General and Administrative Exp.,- -,- -,- -,17947000,22118000,22304000,20888000,15131000,17150000,15708000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7080000,- -,13054000,17947000,22118000,22304000,20888000,15131000,17150000,15708000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,909000,41000
10,Operating Expenses,10516000,- -,21028000,30868000,40126000,41849000,38844000,29883000,23343000,16826000
11,COGS and Expenses,10516000,- -,21028000,30868000,40126000,42805000,39874000,30365000,23671000,16826000
12,Interest Income ,5000,- -,18000,32000,88000,198000,478000,705000,594000,15000
13,Interest Expense (Gain),1088000,- -,13000,1000,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,195000,- -,387000,472000,815000,1149000,1267000,980000,1142000,41000
15,EBITDA,-42270000,- -,-25448000,-29609000,-37757000,-37275000,-33534000,-25652000,-17566000,-16766000
16,EBITDA ratio,-35.3133,- -,-67.1451,-51.8546,-25.4599,-8.8121,-7.2852,-8.2989,-7.9991,-Infinity
17,Operating Income,-9319000,- -,-20649000,-30297000,-38643000,-38575000,-35271000,-27274000,-21475000,-16826000
18,Operating Income ratio,-7.7853,- -,-54.4828,-53.0595,-26.0573,-9.1194,-7.6626,-8.8237,-9.7791,-Infinity
19,Total Other Income Expenses (Gains),-34234000,- -,-5199000,215000,71000,151000,470000,642000,2767000,2000
20,Income Before Tax,-43553000,- -,-25848000,-30082000,-38572000,-38424000,-34801000,-26632000,-18708000,-16824000
21,Income Before Tax Ratio,-36.3851,- -,-68.2005,-52.6830,-26.0094,-9.0837,-7.5605,-8.6160,-8.5191,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,3000,23000,2000,3000,2000,2000
23,Net Income,-43553000,- -,-25848000,-30082000,-38575000,-38447000,-34803000,-26635000,-18710000,-16826000
24,Net Income ratio,-36.3851,- -,-68.2005,-52.6830,-26.0115,-9.0891,-7.5609,-8.6170,-8.5200,-Infinity
25,EPS,-20.20,- -,-7.00,-7.60,-8.35,-7.80,-6.40,-4.60,-2.80,-2.44
26,EPS Diluted,-20.20,- -,-7.00,-7.60,-8.35,-7.80,-6.40,-4.60,-2.80,-2.44
27,Weighted Average Shares Outstanding,2157482,- -,3656980,3982504,4619599,4888151,5362198,5768995,6477807,6902000
28,Weighted Average Shares Outstanding Diluted,2157482,- -,3656980,3982504,4619599,4888151,5362198,5768995,6477807,6902000
29,SEC Link,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1497253/000156459015004951/0001564590-15-004951-index.html,https://www.sec.gov/Archives/edgar/data/1497253/000156459016020442/0001564590-16-020442-index.html,https://www.sec.gov/Archives/edgar/data/1497253/000156459017012240/0001564590-17-012240-index.html,https://www.sec.gov/Archives/edgar/data/1497253/000156459018014814/0001564590-18-014814-index.html,https://www.sec.gov/Archives/edgar/data/1497253/000156459019021444/0001564590-19-021444-index.html,https://www.sec.gov/Archives/edgar/data/1497253/000156459020027310/0001564590-20-027310-index.htm,https://www.sec.gov/Archives/edgar/data/1497253/000156459021032980/0001564590-21-032980-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,14817000,- -,48167000,50142000,62091000,62751000,43726000,36477000,27356000,37364000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,14817000,- -,48167000,50142000,62091000,62751000,43726000,36477000,27356000,37364000
34,Net Receivables,162000,- -,- -,- -,259000,647000,1028000,558000,111000,- -
35,Inventory,360000,- -,63000,66000,334000,550000,842000,490000,- -,- -
36,Other Current Assets,527000,- -,931000,1054000,968000,1144000,1164000,1049000,851000,1034000
37,Total Current Assets,15866000,- -,49161000,51262000,63652000,65092000,46760000,38574000,28318000,38398000
38,PP&E,714000,- -,857000,2042000,3711000,3840000,2788000,1832000,- -,381000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,169000,- -,168000,185000,213000,248000,279000,217000,123000,1138000
45,Total Non-Current Assets,883000,- -,1025000,2227000,3924000,4088000,3067000,2049000,123000,1519000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16749000,- -,50186000,53489000,67576000,69180000,49827000,40623000,28441000,39917000
48,Accounts Payable,425000,- -,326000,1387000,787000,1171000,464000,628000,720000,281000
49,Short-Term Debt,10000,- -,10000,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,13000,227000,1110000,582000,668000,525000,- -,- -
52,Other Current Liabilities,21600000,- -,1544000,3147000,2593000,4258000,3526000,2584000,1090000,440000
53,Total Current Liabilities,22035000,- -,1893000,4761000,4490000,6011000,4658000,3737000,1810000,721000
54,Long-Term Debt,17000,- -,5000,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,4000,32000,- -,58000,19000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,905000,749000,564000,588000,- -,- -
58,Total Non-Current Liabilities,17000,- -,9000,32000,905000,807000,583000,588000,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,27000,- -,15000,5000,- -,- -,- -,- -,- -,- -
61,Total Liabilities,22052000,- -,1902000,4793000,5395000,6818000,5241000,4325000,1810000,721000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,59000,- -,78000,82000,92000,104000,111000,124000,131000,9000
64,Retained Earnings,-50245000,- -,-92213000,-122295000,-160870000,-199317000,-234120000,-260755000,-279465000,-296291000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1002000,-1806000,-2916000,-4068000,-4581000,-415000,-1002000
66,Other Total Stockholders Equity,- -,- -,- -,171911000,224765000,264491000,282663000,301510000,306380000,336480000
67,Total Stockholders Equity,-5303000,- -,48284000,48696000,62181000,62362000,44586000,36298000,26631000,39196000
68,Total Liabilities And Stockholders Equity,16749000,- -,50186000,53489000,67576000,69180000,49827000,40623000,28441000,39917000
