,https://roic.ai/company/LTHM,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,264100000,347400000,442500000,388400000,288200000,420400000
2,COGS,175800000,198600000,236800000,273500000,251400000,332000000
3,Gross Profit,88300000,148800000,205700000,114900000,36800000,88400000
4,Gross Profit Ratio,0.3343,0.4283,0.4649,0.2958,0.1277,0.2103
5,Research and Development Exp.,3100000,3100000,3800000,3300000,3700000,3000000
6,General and Administrative Exp.,25200000,35500000,36800000,40500000,44600000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",25200000,35500000,36800000,40500000,44600000,49900000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,28300000,38600000,40600000,43800000,48300000,52900000
11,COGS and Expenses,204100000,237200000,277400000,317300000,299700000,384900000
12,Interest Income ,- -,- -,- -,- -,- -,300000
13,Interest Expense (Gain),- -,- -,- -,- -,3700000,- -
14,Depreciation and Amortization,14800000,15900000,17800000,20900000,25000000,- -
15,EBITDA,69300000,86000000,170900000,78700000,3300000,23900000
16,EBITDA ratio,0.2624,0.2476,0.3862,0.2026,0.0115,0.0569
17,Operating Income,60000000,110200000,165100000,71100000,-11500000,36000000
18,Operating Income ratio,0.2272,0.3172,0.3731,0.1831,-0.0399,0.0856
19,Total Other Income Expenses (Gains),-5500000,-40100000,-12000000,-13300000,-13900000,-12100000
20,Income Before Tax,54500000,70100000,153100000,57800000,-25400000,23900000
21,Income Before Tax Ratio,0.2064,0.2018,0.3460,0.1488,-0.0881,0.0569
22,Income Tax expense (Gain),7400000,27900000,27000000,7600000,-6500000,23300000
23,Net Income,47100000,42200000,126100000,50200000,-18900000,600000
24,Net Income ratio,0.1783,0.1215,0.2850,0.1292,-0.0656,0.0014
25,EPS,0.33,0.29,0.99,0.34,-0.13,0.00
26,EPS Diluted,0.33,0.29,0.99,0.34,-0.13,0.00
27,Weighted Average Shares Outstanding,143000000,143000000,127700000,146000000,146200000,154700000
28,Weighted Average Shares Outstanding Diluted,143000000,143000000,127700000,146400000,146200000,184300000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1742924/000174292419000013/0001742924-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1742924/000174292420000012/0001742924-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1742924/000174292421000016/0001742924-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1742924/000174292422000007/0001742924-22-000007-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,4000000,1200000,28300000,16800000,11600000,113000000
32,Short-Term Investments,- -,- -,- -,- -,23000000,- -
33,Cash and Short-Term Investments,4000000,1200000,28300000,16800000,34600000,113000000
34,Net Receivables,65900000,146300000,141400000,121800000,76300000,96400000
35,Inventory,54900000,49600000,71800000,113400000,105600000,134600000
36,Other Current Assets,1500000,9000000,59800000,20000000,33300000,55300000
37,Total Current Assets,126300000,206100000,301300000,272000000,249800000,399300000
38,PP&E,185100000,220700000,275700000,485700000,561400000,684200000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,2700000,2300000,- -,1100000,- -,- -
41,Intangible Assets,2700000,2300000,- -,1100000,- -,- -
42,Investments,- -,- -,- -,2200000,23800000,27200000
43,Tax Assets,3900000,2400000,3000000,8200000,13400000,900000
44,Other Non-Current Assets,54100000,64700000,80000000,90400000,88400000,90900000
45,Total Non-Current Assets,245800000,290100000,358700000,587600000,687000000,803200000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,372100000,496200000,660000000,859600000,936800000,1202500000
48,Accounts Payable,25500000,59700000,72000000,83100000,43900000,65400000
49,Short-Term Debt,- -,- -,- -,2100000,1400000,- -
50,Tax Payable,600000,3200000,1600000,900000,- -,- -
51,Deferred Revenue,2200000,1800000,- -,- -,13000000,- -
52,Other Current Liabilities,11400000,24500000,48400000,37300000,24000000,65900000
53,Total Current Liabilities,39100000,86000000,120400000,122500000,82300000,131300000
54,Long-Term Debt,- -,- -,34000000,154600000,236700000,240400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,6600000,8200000,2500000,6700000,- -,- -
57,Other Non-Current Liabilities,15700000,16600000,15200000,31800000,52000000,35400000
58,Total Non-Current Liabilities,22300000,24800000,51700000,193100000,288700000,275800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,17500000,16200000,- -
61,Total Liabilities,61400000,110800000,172100000,315600000,371000000,407100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,387300000,431000000,100000,100000,553000000,- -
64,Retained Earnings,- -,- -,25900000,76600000,57000000,- -
65,Other Comprehensive Income/Loss,-76600000,-45600000,-49200000,-48300000,-44400000,-42000000
66,Other Total Stockholders Equity,- -,- -,511100000,515600000,200000,- -
67,Total Stockholders Equity,310700000,385400000,487900000,544000000,565800000,795400000
68,Total Liabilities And Stockholders Equity,372100000,496200000,660000000,859600000,936800000,1202500000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,372100000,496200000,660000000,859600000,936800000,1202500000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1742924/000174292419000013/0001742924-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1742924/000174292420000012/0001742924-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1742924/000174292421000016/0001742924-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1742924/000174292422000007/0001742924-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,47100000,42200000,126100000,50200000,-18900000,600000
74,Depreciation and Amortization,14800000,15900000,17800000,20900000,25000000,- -
75,Deferred Income Tax,400000,-700000,-3100000,-900000,-7000000,- -
76,Stock Based Compensation,2100000,3400000,4400000,4300000,4000000,- -
77,Change in Working Capital,-19900000,32900000,60800000,-31400000,18000000,- -
78,Accounts Receivable,-8300000,-71300000,-20800000,51400000,15000000,- -
79,Inventory,-7900000,6900000,-24200000,-40600000,10000000,- -
80,Accounts Payable,1800000,32500000,13800000,10800000,-39800000,- -
81,Other Working Capital,87200000,120100000,180900000,149500000,167500000,- -
82,Other Non-Cash Items,6500000,-35400000,-114000000,15000000,-14800000,25800000
83,Cash Provided by Operating Activities,51000000,58300000,92000000,58100000,6300000,26400000
84,CAPEX,-25700000,-48900000,-73600000,-184300000,- -,- -
85,Acquisitions Net,- -,- -,- -,-800000,-15000000,- -
86,Purchases of Investments,- -,- -,- -,-400000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-31300000,-62500000,-78400000,-188800000,-116100000,-143300000
89,Cash Used for Investing Activites,-31300000,-62500000,-78400000,-190000000,-131100000,-143300000
90,Debt Repayment,-10700000,- -,- -,-111400000,- -,- -
