,https://roic.ai/company/JW-B,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,213400000,228500000,239500000,258900000,281700000,236900000,248200000,272900000,294300000,331100000,362700000,432000000,467100000,508400000,594815000,613790000,734396000,853971000,922962000,974048000,1044185000,1234936000,1673734000,1611390000,1699062000,1742551000,1782742000,1760778000,1775195000,1822440000,1727037000,1718530000,1796103000,1800069000,1831483000,1941501000
2,COGS,72900000,75000000,76500000,81100000,87400000,72500000,74000000,76000000,81600000,94200000,104200000,129100000,134800000,142900000,158217000,185598000,243196000,288925000,308905000,325061000,342314000,420952000,536852000,516420000,534001000,539043000,543396000,532232000,506879000,499683000,465917000,460756000,485220000,554722000,591024000,625335000
3,Gross Profit,140500000,153500000,163000000,177800000,194300000,164400000,174200000,196900000,212700000,236900000,258500000,302900000,332300000,365500000,436598000,428192000,491200000,565046000,614057000,648987000,701871000,813984000,1136882000,1094970000,1165061000,1203508000,1239346000,1228546000,1268316000,1322757000,1261120000,1257774000,1310883000,1245347000,1240459000,1316166000
4,Gross Profit Ratio,0.6584,0.6718,0.6806,0.6868,0.6897,0.6940,0.7019,0.7215,0.7227,0.7155,0.7127,0.7012,0.7114,0.7189,0.7340,0.6976,0.6688,0.6617,0.6653,0.6663,0.6722,0.6591,0.6792,0.6795,0.6857,0.6907,0.6952,0.6977,0.7145,0.7258,0.7302,0.7319,0.7298,0.6918,0.6773,0.6779
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,922177000,933148000,969456000,1005000000,994632000,988597000,994552000,963582000,997355000,1022660000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",111100000,115200000,127000000,142100000,162200000,138700000,147500000,162400000,170000000,187000000,198500000,233800000,250000000,261400000,294425000,301470000,373463000,432700000,474902000,496726000,535694000,632029000,874912000,839648000,872193000,910847000,922177000,933148000,969456000,1005000000,994632000,988597000,994552000,963582000,997355000,1022660000
9,Other Expenses,14100000,19200000,21500000,22900000,23400000,20000000,20100000,21500000,23800000,23000000,27000000,34300000,41400000,40500000,53169000,31298000,29974000,12085000,9776000,10880000,13498000,20676000,38980000,36844000,35158000,44513000,36750000,41982000,44679000,51214000,49764000,49669000,48230000,54658000,62436000,74685000
