,https://roic.ai/company/HGV,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,1224000000,1317000000,1475000000,1583000000,1711000000,1999000000,1838000000,894000000,2335000000
2,COGS,833000000,884000000,1001000000,1064000000,1154000000,1314000000,1260000000,742000000,1480000000
3,Gross Profit,391000000,433000000,474000000,519000000,557000000,685000000,578000000,152000000,855000000
4,Gross Profit Ratio,0.3194,0.3288,0.3214,0.3279,0.3255,0.3427,0.3145,0.1700,0.3662
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,126000000,102000000,131000000,172000000,191000000,215000000,212000000,143000000,231000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,221000000,- -
8,"Selling, General and Administrative Exp.",126000000,102000000,131000000,172000000,191000000,215000000,212000000,364000000,231000000
9,Other Expenses,16000000,18000000,22000000,24000000,29000000,36000000,51000000,-176000000,126000000
10,Operating Expenses,142000000,120000000,153000000,196000000,220000000,251000000,263000000,188000000,357000000
11,COGS and Expenses,975000000,1004000000,1154000000,1260000000,1374000000,1565000000,1523000000,930000000,1837000000
12,Interest Income ,112000000,- -,117000000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),48000000,36000000,29000000,29000000,27000000,30000000,43000000,43000000,105000000
14,Depreciation and Amortization,16000000,18000000,22000000,24000000,29000000,36000000,51000000,45000000,126000000
15,EBITDA,282000000,334000000,343000000,346000000,367000000,469000000,367000000,-192000000,500000000
16,EBITDA ratio,0.2304,0.2536,0.2325,0.2186,0.2145,0.2346,0.1997,-0.2148,0.2141
17,Operating Income,249000000,313000000,321000000,323000000,337000000,434000000,315000000,-36000000,177000000
18,Operating Income ratio,0.2034,0.2377,0.2176,0.2040,0.1970,0.2171,0.1714,-0.0403,0.0758
19,Total Other Income Expenses (Gains),-31000000,-33000000,-29000000,-30000000,-26000000,-31000000,-42000000,-244000000,92000000
20,Income Before Tax,218000000,280000000,292000000,293000000,311000000,403000000,273000000,-280000000,269000000
21,Income Before Tax Ratio,0.1781,0.2126,0.1980,0.1851,0.1818,0.2016,0.1485,-0.3132,0.1152
22,Income Tax expense (Gain),90000000,113000000,118000000,125000000,-16000000,105000000,57000000,-79000000,93000000
23,Net Income,128000000,167000000,174000000,168000000,327000000,298000000,216000000,-201000000,176000000
24,Net Income ratio,0.1046,0.1268,0.1180,0.1061,0.1911,0.1491,0.1175,-0.2248,0.0754
25,EPS,1.29,1.69,1.70,1.70,3.30,3.07,2.43,-2.36,1.77
26,EPS Diluted,1.29,1.69,1.70,1.70,3.28,3.05,2.42,-2.36,1.75
27,Weighted Average Shares Outstanding,99000000,99000000,99000000,99000000,99090909,97068404,88888889,85169492,100000000
28,Weighted Average Shares Outstanding Diluted,99000000,99000000,99000000,99000000,99695122,97704918,89256198,85169492,101000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1674168/000119312517067470/0001193125-17-067470-index.html,https://www.sec.gov/Archives/edgar/data/1674168/000156459018004106/0001564590-18-004106-index.html,https://www.sec.gov/Archives/edgar/data/1674168/000156459019005480/0001564590-19-005480-index.html,https://www.sec.gov/Archives/edgar/data/1674168/000156459020008097/0001564590-20-008097-index.html,https://www.sec.gov/Archives/edgar/data/1674168/000156459021009825/0001564590-21-009825-index.htm,https://www.sec.gov/Archives/edgar/data/1674168/000095017022002564/0000950170-22-002564-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,2000000,4000000,48000000,246000000,108000000,67000000,428000000,432000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,2000000,4000000,48000000,246000000,108000000,67000000,428000000,432000000
34,Net Receivables,- -,1011000000,1065000000,1148000000,1183000000,1273000000,1330000000,1093000000,2049000000
35,Inventory,- -,370000000,412000000,513000000,509000000,527000000,558000000,702000000,1240000000
36,Other Current Assets,- -,62000000,75000000,103000000,51000000,90000000,98000000,151000000,427000000
37,Total Current Assets,- -,1445000000,1556000000,1812000000,1989000000,1998000000,2053000000,2374000000,4148000000
38,PP&E,- -,47000000,51000000,256000000,238000000,559000000,838000000,553000000,826000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,1377000000
40,Intangible Assets,- -,80000000,74000000,70000000,72000000,81000000,89000000,81000000,1441000000
41,Intangible Assets,- -,80000000,74000000,70000000,72000000,81000000,89000000,81000000,2818000000
42,Investments,- -,- -,- -,- -,41000000,38000000,44000000,51000000,59000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,7000000
44,Other Non-Current Assets,- -,49000000,43000000,42000000,44000000,77000000,55000000,75000000,150000000
45,Total Non-Current Assets,- -,176000000,168000000,368000000,395000000,755000000,1026000000,760000000,3860000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1621000000,1724000000,2180000000,2384000000,2753000000,3079000000,3134000000,8008000000
48,Accounts Payable,- -,25000000,13000000,31000000,45000000,51000000,24000000,20000000,63000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,64000000,7000000,8000000,2000000,123000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,254000000,349000000
52,Other Current Liabilities,- -,112000000,151000000,154000000,242000000,217000000,215000000,-70000000,566000000
53,Total Current Liabilities,- -,137000000,164000000,185000000,287000000,268000000,239000000,204000000,978000000
54,Long-Term Debt,- -,1344000000,1136000000,1184000000,1065000000,1363000000,1575000000,1925000000,4328000000
55,Deferred Revenue,- -,197000000,199000000,209000000,213000000,196000000,301000000,379000000,- -
56,Deferred Tax Liabilities,- -,272000000,287000000,389000000,249000000,254000000,259000000,137000000,670000000
57,Other Non-Current Liabilities,- -,44000000,44000000,46000000,52000000,56000000,135000000,115000000,44000000
58,Total Non-Current Liabilities,- -,1857000000,1666000000,1828000000,1579000000,1869000000,2270000000,2556000000,5042000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,76000000,67000000,87000000
61,Total Liabilities,- -,1994000000,1830000000,2013000000,1866000000,2137000000,2509000000,2760000000,6020000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,28000000,355000000,441000000,390000000,181000000,357000000
65,Other Comprehensive Income/Loss,- -,-38000000,-44000000,-56000000,-65000000,-83000000,-110000000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,194000000,227000000,257000000,289000000,192000000,1630000000
67,Total Stockholders Equity,- -,-373000000,-106000000,167000000,518000000,616000000,570000000,374000000,1988000000
68,Total Liabilities And Stockholders Equity,- -,1621000000,1724000000,2180000000,2384000000,2753000000,3079000000,3134000000,8008000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1621000000,1724000000,2180000000,2384000000,2753000000,3079000000,3134000000,8008000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1674168/000119312517067470/0001193125-17-067470-index.html,https://www.sec.gov/Archives/edgar/data/1674168/000156459018004106/0001564590-18-004106-index.html,https://www.sec.gov/Archives/edgar/data/1674168/000156459019005480/0001564590-19-005480-index.html,https://www.sec.gov/Archives/edgar/data/1674168/000156459020008097/0001564590-20-008097-index.html,https://www.sec.gov/Archives/edgar/data/1674168/000156459021009825/0001564590-21-009825-index.htm,https://www.sec.gov/Archives/edgar/data/1674168/000095017022002564/0000950170-22-002564-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,128000000,167000000,174000000,168000000,327000000,298000000,216000000,-201000000,176000000
74,Depreciation and Amortization,16000000,18000000,22000000,24000000,29000000,36000000,51000000,45000000,126000000
75,Deferred Income Tax,33000000,37000000,20000000,23000000,-129000000,20000000,3000000,-123000000,58000000
76,Stock Based Compensation,- -,- -,- -,- -,15000000,16000000,22000000,15000000,48000000
77,Change in Working Capital,-5000000,- -,84000000,235000000,75000000,28000000,84000000,356000000,-375000000
78,Accounts Receivable,-73000000,-78000000,-94000000,-128000000,-91000000,-159000000,-131000000,163000000,-216000000
79,Inventory,17000000,51000000,-38000000,7000000,47000000,16000000,-4000000,-91000000,15000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-48000000
81,Other Working Capital,1308000000,1308000000,1392000000,1627000000,1702000000,1730000000,1814000000,2170000000,-174000000
82,Other Non-Cash Items,24000000,-9000000,-169000000,-292000000,39000000,-557000000,-231000000,-13000000,135000000
83,Cash Provided by Operating Activities,196000000,213000000,131000000,158000000,356000000,-159000000,145000000,79000000,168000000
84,CAPEX,-17000000,-17000000,-18000000,-34000000,-47000000,-63000000,-63000000,-31000000,-39000000
85,Acquisitions Net,- -,- -,- -,- -,-40000000,1000000,-2000000,-2000000,-1592000000
86,Purchases of Investments,- -,- -,- -,- -,-40000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-17000000,-11000000,-18000000,-34000000,-7000000,-63000000,-63000000,-31000000,-39000000
89,Cash Used for Investing Activites,-17000000,-11000000,-18000000,-34000000,-87000000,-62000000,-65000000,-33000000,-1631000000
90,Debt Repayment,-945000000,-503000000,-212000000,-110000000,-469000000,-893000000,-666000000,-640000000,-1513000000
