,https://roic.ai/company/KALA,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,45000,- -,- -,- -,6074000,6362000,11240000
2,COGS,- -,- -,- -,- -,2008000,3173000,4097000
3,Gross Profit,- -,- -,- -,- -,4066000,3189000,7143000
4,Gross Profit Ratio,- -,- -,- -,- -,0.6694,0.5013,0.6355
5,Research and Development Exp.,11382000,25029000,29008000,29290000,27275000,18352000,11515000
6,General and Administrative Exp.,4609000,7640000,10867000,35431000,65015000,81068000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4609000,7640000,10867000,35431000,65015000,81068000,105061000
9,Other Expenses,- -,- -,- -,- -,- -,- -,24909000
10,Operating Expenses,15991000,32669000,39875000,64721000,92290000,99420000,141485000
11,COGS and Expenses,15991000,32669000,39875000,64721000,94298000,102593000,145582000
12,Interest Income ,- -,147000,527000,1687000,2357000,493000,104000
13,Interest Expense (Gain),604000,767000,1019000,3314000,8480000,8589000,8380000
14,Depreciation and Amortization,330000,297000,287000,955000,843000,912000,975000
15,EBITDA,-15748000,-32225000,-39588000,-63766000,-85024000,-94826000,-133250000
16,EBITDA ratio,-349.9556,-Infinity,-Infinity,-Infinity,-13.9980,-14.9051,-11.8550
17,Operating Income,-15946000,-32669000,-39875000,-64721000,-88224000,-96231000,-130245000
18,Operating Income ratio,-354.3556,-Infinity,-Infinity,-Infinity,-14.5249,-15.1259,-11.5876
19,Total Other Income Expenses (Gains),-736000,-498000,-2336000,-2017000,-6123000,-8096000,-12360000
20,Income Before Tax,-16682000,-33167000,-42211000,-66738000,-94347000,-104327000,-142605000
21,Income Before Tax Ratio,-370.7111,-Infinity,-Infinity,-Infinity,-15.5329,-16.3985,-12.6873
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -
23,Net Income,-16682000,-33167000,-42211000,-66738000,-94347000,-104327000,-142605000
24,Net Income ratio,-370.7111,-Infinity,-Infinity,-Infinity,-15.5329,-16.3985,-12.6873
25,EPS,-0.97,-2.20,-6.11,-2.49,-2.76,-1.99,-4.17
26,EPS Diluted,-0.97,-2.20,-6.11,-2.49,-2.76,-1.99,-4.17
27,Weighted Average Shares Outstanding,17283399,15106343,6903239,26753906,34209756,52377526,34209756
28,Weighted Average Shares Outstanding Diluted,17283399,15106343,6903239,26753906,34209756,52377526,34209756
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1479419/000155837018002697/0001558370-18-002697-index.htm,https://www.sec.gov/Archives/edgar/data/1479419/000155837019001825/0001558370-19-001825-index.htm,https://www.sec.gov/Archives/edgar/data/1479419/000155837020000733/0001558370-20-000733-index.htm,https://www.sec.gov/Archives/edgar/data/1479419/000155837021001797/0001558370-21-001797-index.htm,https://www.sec.gov/Archives/edgar/data/1479419/000155837022004624/0001558370-22-004624-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,5759000,45472000,114565000,170898000,85449000,77264000,92136000
32,Short-Term Investments,- -,- -,- -,- -,- -,76276000,- -
33,Cash and Short-Term Investments,5759000,45472000,114565000,170898000,85449000,153540000,92136000
34,Net Receivables,- -,- -,- -,1026000,13098000,9854000,15345000
35,Inventory,- -,- -,- -,4095000,4648000,5229000,8639000
36,Other Current Assets,1842000,154000,648000,1009000,2289000,2756000,8246000
37,Total Current Assets,7601000,45626000,115213000,177028000,105484000,171379000,124366000
38,PP&E,738000,594000,786000,31732000,32479000,31019000,4021000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,109000,109000,134000,12206000,16360000,19208000,11040000
45,Total Non-Current Assets,847000,703000,920000,43938000,48839000,50227000,15061000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8448000,46329000,116133000,220966000,154323000,221606000,139427000
48,Accounts Payable,1404000,997000,1202000,5446000,2518000,1724000,4899000
49,Short-Term Debt,2000000,556000,6667000,463000,1327000,1530000,711000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2103000,3993000,6589000,11101000,20929000,18971000,31812000
53,Total Current Liabilities,5507000,5546000,14458000,17010000,24774000,22225000,37422000
54,Long-Term Debt,7795000,9098000,11987000,70226000,71184000,72243000,79477000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,51810000,119447000,9000,28752000,28673000,27143000,5724000
58,Total Non-Current Liabilities,59605000,128545000,11996000,98978000,99857000,99386000,85201000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,29215000,30000000,28673000,- -
61,Total Liabilities,65112000,134091000,26454000,115988000,124631000,121611000,85201000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,25000,34000,36000,59000,66000
64,Retained Earnings,-58970000,-92137000,-134371000,-201109000,-295456000,-399783000,-542388000
65,Other Comprehensive Income/Loss,-1019000,-1316000,-1540000,-1818000,-2516000,4000,- -
66,Other Total Stockholders Equity,3324000,5690000,225565000,307871000,327628000,499715000,559126000
67,Total Stockholders Equity,-56664000,-87762000,89679000,104978000,29692000,99995000,16804000
