,https://roic.ai/company/NI-PB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1908500000,1626100000,1451600000,1524200000,1559600000,1521000000,1535200000,1582400000,1677900000,1676400000,1722300000,1821600000,2586500000,2932800000,3144600000,6030700000,9458700000,6492300000,6246600000,6666200000,7899100000,7490000000,7939800000,8874200000,6649400000,6422000000,6019100000,5061200000,5657300000,6470600000,4651800000,4492500000,4874600000,5114500000,5208900000,4681700000,4899600000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,683100000,685100000,770700000,771100000,1021400000,1651100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3318000000,2974100000,2556400000,3204300000,3689400000,4360500000,3069800000,2843900000,3131000000,4114200000,2889500000,2695200000,2848300000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,993300000,1037200000,1050900000,1815400000,1911400000,1493500000,6030700000,- -,- -,6246600000,- -,7899100000,7490000000,- -,- -,3331400000,3447900000,3462700000,1856900000,1967900000,2110100000,1582000000,1648600000,1743600000,1000300000,2319400000,1986500000,2051300000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.5925,0.6022,0.5769,0.7019,0.6517,0.4749,1.0000,- -,- -,1.0000,- -,1.0000,1.0000,- -,- -,0.5010,0.5369,0.5753,0.3669,0.3479,0.3261,0.3401,0.3670,0.3577,0.1956,0.4453,0.4243,0.4187
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,638400000,648300000,658100000,1409700000,1494300000,1032000000,5462900000,8449800000,- -,5155200000,- -,6924100000,6598400000,- -,- -,2510300000,2539600000,2555400000,850200000,877900000,925800000,780500000,791400000,827500000,874400000,1014200000,1025100000,1036700000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,638400000,648300000,658100000,1409700000,1494300000,1032000000,5462900000,8449800000,- -,5155200000,- -,6924100000,6598400000,- -,- -,2510300000,2539600000,2555400000,850200000,877900000,925800000,780500000,791400000,827500000,874400000,1014200000,1025100000,1036700000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1321500000,1333400000,1428800000,2180800000,2515700000,2683100000,5462900000,8449800000,5316800000,5155200000,5597300000,6924100000,6598400000,7057900000,7968800000,5828300000,5513700000,5111800000,4054500000,4567300000,5286300000,3850300000,3635300000,3958500000,4988600000,3903700000,3720300000,3885000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8800000,- -,- -,6800000,6300000,4400000,- -,3600000,- -,800000,3400000,4600000,6600000,7700000,5500000,4000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,399000000,392600000,376400000,397800000,398400000,430200000,374300000,355900000,363500000,364900000,371000000,361900000,332400000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,374200000,671700000,- -,- -,- -,- -,- -,- -,- -,589000000,596300000,538200000,561900000,577300000,605500000,524400000,547100000,570300000,599600000,717400000,725900000,748400000
15,EBITDA,107100000,-14100000,65000000,122900000,137300000,125400000,133400000,136600000,156100000,261700000,283900000,287700000,295800000,294800000,250800000,661200000,1071100000,606400000,319900000,677200000,455900000,453000000,493500000,264400000,1371500000,1422400000,1377000000,1591300000,1769700000,1876100000,1326500000,1416600000,1376800000,733900000,1595000000,1053100000,1783500000
16,EBITDA ratio,0.0561,-0.0087,0.0448,0.0806,0.0880,0.0824,0.0869,0.0863,0.0930,0.1561,0.1648,0.1579,0.1144,0.1005,0.0798,0.1096,0.1132,0.0934,0.0512,0.1016,0.0577,0.0605,0.0622,0.0298,0.2063,0.2215,0.2288,0.3144,0.3128,0.2899,0.2852,0.3153,0.2824,0.1435,0.3062,0.2249,0.3640
17,Operating Income,1908500000,1626100000,1451600000,1524200000,1559600000,1521000000,1535200000,1582400000,1677900000,354900000,388900000,392800000,405700000,417100000,461500000,567800000,1008900000,1175500000,1091400000,1068900000,975000000,891600000,881900000,905400000,801900000,921300000,905100000,1042700000,1143400000,1262400000,799900000,858200000,910600000,124700000,890700000,550800000,1006900000
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2117,0.2258,0.2156,0.1569,0.1422,0.1468,0.0942,0.1067,0.1811,0.1747,0.1603,0.1234,0.1190,0.1111,0.1020,0.1206,0.1435,0.1504,0.2060,0.2021,0.1951,0.1720,0.1910,0.1868,0.0244,0.1710,0.1176,0.2055
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-93200000,-105000000,-105100000,-109900000,-122300000,-210700000,-290600000,-613600000,-515900000,-431500000,-397800000,-542000000,-407300000,-397800000,-350200000,-404900000,-485200000,-438000000,-416600000,-390600000,-421300000,-460000000,-348000000,-467500000,-355300000,-384100000,-582100000,-300300000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,261700000,283900000,287700000,295800000,294800000,250800000,277200000,395300000,659600000,659900000,671100000,433000000,484300000,484100000,555200000,397000000,436100000,467100000,626100000,752800000,841100000,339900000,510200000,443100000,-230600000,506600000,-31300000,706600000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1561,0.1648,0.1579,0.1144,0.1005,0.0798,0.0460,0.0418,0.1016,0.1056,0.1007,0.0548,0.0647,0.0610,0.0626,0.0597,0.0679,0.0776,0.1237,0.1331,0.1300,0.0731,0.1136,0.0909,-0.0451,0.0973,-0.0067,0.1442
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,97700000,108400000,111000000,105000000,100900000,90400000,130100000,183200000,233900000,234200000,240900000,149400000,170800000,172100000,185400000,165800000,141500000,163300000,215500000,261900000,310400000,141300000,182100000,314500000,-180000000,123500000,-17100000,117800000
23,Net Income,107100000,-14100000,65000000,122900000,137300000,125400000,133400000,136600000,156100000,164000000,175500000,176700000,190800000,193900000,160400000,156900000,216200000,372500000,85700000,436300000,306500000,282200000,321400000,79000000,217700000,292000000,299100000,416100000,532100000,530000000,286500000,331500000,128500000,-50600000,383100000,-17600000,584900000
24,Net Income ratio,0.0561,-0.0087,0.0448,0.0806,0.0880,0.0824,0.0869,0.0863,0.0930,0.0978,0.1019,0.0970,0.0738,0.0661,0.0510,0.0260,0.0229,0.0574,0.0137,0.0654,0.0388,0.0377,0.0405,0.0089,0.0327,0.0455,0.0497,0.0822,0.0941,0.0819,0.0616,0.0738,0.0264,-0.0099,0.0735,-0.0038,0.1194
25,EPS,0.26,-0.03,0.16,0.30,0.33,0.30,0.32,0.33,0.38,0.40,0.43,0.43,0.46,0.47,0.39,0.38,0.52,0.90,0.21,1.06,0.74,0.69,0.78,0.19,0.53,0.71,0.73,1.01,1.29,1.29,0.70,0.80,0.31,-0.12,0.93,-0.04,1.43
26,EPS Diluted,0.26,-0.03,0.16,0.30,0.33,0.30,0.32,0.33,0.38,0.40,0.43,0.43,0.46,0.47,0.39,0.38,0.52,0.90,0.21,1.06,0.74,0.69,0.78,0.19,0.53,0.71,0.73,1.01,1.29,1.29,0.70,0.80,0.31,-0.12,0.93,-0.04,1.43
27,Weighted Average Shares Outstanding,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993
28,Weighted Average Shares Outstanding Diluted,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993,411815993
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1111711/000111171120000013/0001111711-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1111711/000111171121000010/0001111711-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1111711/000111171122000007/0001111711-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54300000,27300000,30100000,69400000,175600000,95400000,20600000,16400000,9200000,11500000,36300000,26800000,25400000,15500000,26400000,29000000,112800000,139000000,116500000,84200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54300000,27300000,30100000,69400000,175600000,95400000,20600000,16400000,9200000,11500000,36300000,26800000,25400000,15500000,26400000,29000000,112800000,148000000,116500000,84200000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,885300000,940500000,889400000,1254600000,866300000,936000000,1142500000,906000000,1241000000,920600000,1089700000,1081500000,1133200000,681000000,852400000,944700000,1146900000,856000000,825400000,925200000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,510100000,100500000,100000000,623800000,703400000,766700000,850900000,587200000,563700000,586800000,540700000,546800000,647900000,571400000,494400000,471100000,422500000,250000000,401100000,498700000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,418800000,994600000,1266100000,1112900000,1037600000,656800000,1396800000,714000000,635000000,729300000,685700000,504100000,660000000,309300000,388900000,318500000,373200000,599000000,316400000,412700000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1868500000,2062900000,2285600000,3060700000,2782900000,2454900000,3410800000,2223600000,2448900000,2248200000,2352400000,2159200000,2466500000,1577200000,1762100000,1763300000,2055400000,1853000000,1659400000,1920800000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10068000000,9304900000,9384700000,9554300000,9694500000,10031800000,10388100000,10683900000,11097000000,11800100000,12915900000,14365100000,16017100000,12111500000,13068000000,14359500000,15542500000,16912000000,16619500000,17881800000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3677300000,3677300000,3677300000,3677300000,3666200000,3666200000,1690700000,1690700000,1690700000,1690700000,1485000000,1485900000,1485900000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319600000,308600000,297600000,286600000,275700000,264700000,253700000,242700000,231700000,220700000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3881800000,4231200000,4207500000,4173100000,4113000000,4099300000,4007900000,3996900000,3985900000,3974900000,3963900000,3941900000,3930900000,1944400000,1933400000,1922400000,1911400000,1485000000,1485900000,1485900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313700000,340600000,355600000,437700000,577700000,663000000,194600000,199900000,209600000,206100000,230200000,252000000,259700000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1078600000,1024800000,1110200000,1170400000,1566100000,1418800000,2225400000,2053600000,2066400000,2329500000,2174800000,1610000000,1788800000,1664800000,1728500000,1706900000,2088600000,-230200000,2023700000,2608700000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15028400000,14560900000,14702400000,14897800000,15373600000,15549900000,16621400000,17048100000,17489900000,18460100000,19492300000,20494700000,22399800000,15915300000,16929800000,18198400000,19748600000,18397000000,20381100000,22236100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16896900000,16623800000,16988000000,17958500000,18156500000,18004800000,20032200000,19271700000,19938800000,20708300000,21844700000,22653900000,24866300000,17492500000,18691900000,19961700000,21804000000,20250000000,22040500000,24156900000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,521600000,496600000,648400000,866700000,713100000,719900000,693300000,502100000,581800000,434800000,538900000,619000000,670600000,433400000,539400000,625600000,883800000,666000000,589000000,697800000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1786600000,526300000,618100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244100000,277100000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27300000,324900000,323700000,312400000,281100000,319900000,322900000,264100000,262600000,238900000,1485000000,243300000,237900000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3655800000,2112400000,2953800000,2976500000,3108100000,2672700000,3890100000,2620200000,2742700000,2887900000,2450300000,2278300000,2964400000,1901200000,2648700000,2290200000,2914100000,-192600000,920800000,1192400000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4177400000,2609000000,3602200000,3843200000,3821200000,3392600000,4583400000,3149600000,3649400000,3646400000,3301600000,3178400000,3954900000,2657500000,3452200000,3178400000,4036800000,3745000000,2279400000,2746200000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5018000000,5993400000,4835900000,5271200000,5146200000,5594400000,5943900000,5965100000,5936100000,6267100000,6712500000,7533500000,8004200000,5903000000,6058200000,7512200000,7105400000,7856000000,9219800000,9183400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8500000,300000,- -,- -,17100000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1958000000,1683200000,1744300000,1661800000,1615200000,1616800000,1595900000,2057800000,2243400000,2570900000,2978100000,3298700000,3678900000,2380100000,2541400000,1305300000,1341700000,- -,1470600000,1659400000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3236600000,3186400000,3226600000,3298200000,2739600000,3053000000,2708400000,2568900000,3645700000,3569200000,218000000,3232900000,3295000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6976000000,7676600000,6580200000,6933000000,6761400000,7211200000,7539800000,11268000000,11366200000,12064600000,12988800000,13588900000,14736100000,10991500000,11168500000,12463200000,12016300000,8074000000,13923300000,14137800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15435700000,17194400000,15097800000,16034200000,16083100000,16746800000,18259800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26988000000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34200000,- -,106600000,59700000,151700000,45500000,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12637100000,12126800000,12119800000,12944400000,13142900000,12928200000,15303400000,14417600000,15015600000,15711000000,16290400000,16767300000,18691000000,13649000000,14620700000,15641600000,16053100000,22659000000,16202700000,16884000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84900000,81100000,81100000,81100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,880000000,880000000,880000000,1546500000
