,https://roic.ai/company/AVAH,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,1253673000,1384065000,1495105000,- -
2,COGS,859351000,964814000,1040590000,- -
3,Gross Profit,394322000,419251000,454515000,- -
4,Gross Profit Ratio,0.3145,0.3029,0.3040,- -
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,321843000,340997000,354774000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",321843000,340997000,354774000,- -
9,Other Expenses,17869000,16639000,17937000,- -
10,Operating Expenses,339712000,357636000,372711000,- -
11,COGS and Expenses,1199063000,1322450000,1413301000,- -
12,Interest Income ,594000,207000,345000,- -
13,Interest Expense (Gain),75542000,92296000,82983000,- -
14,Depreciation and Amortization,11938000,27013000,30224000,- -
15,EBITDA,37821000,44279000,61473000,- -
16,EBITDA ratio,0.0302,0.0320,0.0411,- -
17,Operating Income,39033000,38954000,-3487000,- -
18,Operating Income ratio,0.0311,0.0281,-0.0023,- -
19,Total Other Income Expenses (Gains),-88692000,-113984000,-48247000,- -
20,Income Before Tax,-49659000,-75030000,-51734000,- -
21,Income Before Tax Ratio,-0.0396,-0.0542,-0.0346,- -
22,Income Tax expense (Gain),-2513000,1486000,5316000,- -
23,Net Income,-47146000,-76516000,-57050000,- -
24,Net Income ratio,-0.0376,-0.0553,-0.0382,- -
25,EPS,-0.26,-0.42,-0.32,- -
26,EPS Diluted,-0.26,-0.42,-0.32,- -
27,Weighted Average Shares Outstanding,180164184,180164184,180164184,- -
28,Weighted Average Shares Outstanding Diluted,180164184,180164184,180164184,- -
29,SEC Link,- -,- -,- -,undefined
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,3327000,137345000,- -
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,3327000,137345000,- -
34,Net Receivables,- -,164299000,180879000,- -
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,- -,18719000,22420000,- -
37,Total Current Assets,- -,186345000,340644000,- -
38,PP&E,- -,80466000,78867000,- -
39,Goodwill,- -,1226064000,1316385000,- -
40,Intangible Assets,- -,54299000,73572000,- -
41,Intangible Assets,- -,1280363000,1389957000,- -
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,913000,2931000,- -
44,Other Non-Current Assets,- -,30347000,31617000,- -
45,Total Non-Current Assets,- -,1392089000,1503372000,- -
46,Other Assets,- -,- -,- -,- -
47,Total Assets,- -,1578434000,1844016000,- -
48,Accounts Payable,- -,66418000,56668000,- -
49,Short-Term Debt,- -,12799000,14756000,- -
50,Tax Payable,- -,8180000,8180000,- -
51,Deferred Revenue,- -,- -,29444000,- -
52,Other Current Liabilities,- -,89326000,159545000,- -
53,Total Current Liabilities,- -,168543000,260413000,- -
54,Long-Term Debt,- -,72722000,40246000,- -
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1745000,27415000,- -
57,Other Non-Current Liabilities,- -,1065232000,1250908000,- -
58,Total Non-Current Liabilities,- -,1139699000,1318569000,- -
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,51994000,52130000,- -
61,Total Liabilities,- -,1308242000,1578982000,- -
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,1368000,1419000,- -
64,Retained Earnings,- -,-400582000,-457632000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,669406000,721247000,- -
67,Total Stockholders Equity,- -,270192000,265034000,- -
68,Total Liabilities And Stockholders Equity,- -,1578434000,1844016000,- -
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1578434000,1844016000,- -
71,SEC Link,undefined,- -,- -,undefined
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-47146000,-76516000,-57050000,- -
74,Depreciation and Amortization,11938000,27013000,30224000,- -
75,Deferred Income Tax,-3632000,-919000,-6425000,- -
76,Stock Based Compensation,2118000,1948000,3275000,- -
77,Change in Working Capital,34756000,12003000,62429000,- -
78,Accounts Receivable,-7955000,3337000,8563000,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,21507000,19292000,-6811000,- -
81,Other Working Capital,5799000,17802000,80231000,- -
82,Other Non-Cash Items,23562000,27757000,84165000,- -
83,Cash Provided by Operating Activities,21596000,-8714000,116618000,- -
84,CAPEX,-19579000,-16637000,-15237000,- -
85,Acquisitions Net,-209968000,-1187000,-178307000,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -
89,Cash Used for Investing Activites,-229547000,-17824000,-193544000,- -
90,Debt Repayment,-21761000,-591065000,-57961000,- -
91,Common Stock Issued,54421000,- -,50000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,171493000,612929000,218905000,- -
95,Cash Used/Provided by Financing Activities,204153000,21864000,210944000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-3798000,-4674000,134018000,- -
98,Cash at the End of Period,8001000,3327000,137345000,- -
99,Cash at the Beginning of Period,11799000,8001000,3327000,- -
100,Free Cash Flow,2017000,-25351000,101381000,- -
101,SEC Link,- -,- -,- -,undefined
102,false,,,,
