,https://roic.ai/company/NGVT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,939000000,980000000,1041000000,968000000,908300000,972400000,1133600000,1292900000,1216100000,1391500000
2,COGS,642000000,685000000,718000000,687000000,633900000,643400000,716800000,810900000,750600000,878700000
3,Gross Profit,297000000,295000000,323000000,281000000,274400000,329000000,416800000,482000000,465500000,512800000
4,Gross Profit Ratio,0.3163,0.3010,0.3103,0.2903,0.3021,0.3383,0.3677,0.3728,0.3828,0.3685
5,Research and Development Exp.,- -,- -,- -,- -,- -,19800000,21500000,19700000,22600000,26300000
6,General and Administrative Exp.,- -,- -,- -,114000000,114000000,106400000,132400000,163100000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,114000000,114000000,106400000,132400000,163100000,- -,179300000
9,Other Expenses,95000000,103000000,112000000,- -,- -,- -,- -,- -,149400000,- -
10,Operating Expenses,95000000,103000000,112000000,114000000,114000000,126200000,153900000,182800000,172000000,205600000
11,COGS and Expenses,737000000,788000000,830000000,801000000,747900000,769600000,870700000,993700000,922600000,1084300000
12,Interest Income ,- -,- -,- -,- -,1400000,2300000,3400000,7700000,4900000,4400000
13,Interest Expense (Gain),12000000,13000000,16000000,21000000,19300000,18100000,33200000,54600000,47100000,52100000
14,Depreciation and Amortization,32000000,33000000,33000000,35000000,38800000,40400000,57000000,85000000,100200000,109900000
15,EBITDA,230000000,231000000,248000000,189000000,135900000,214600000,299300000,367500000,382400000,324800000
16,EBITDA ratio,0.2449,0.2357,0.2382,0.1952,0.1496,0.2207,0.2640,0.2842,0.3144,0.2334
17,Operating Income,202000000,192000000,211000000,167000000,160400000,202800000,262900000,299200000,293500000,422200000
18,Operating Income ratio,0.2151,0.1959,0.2027,0.1725,0.1766,0.2086,0.2319,0.2314,0.2413,0.3034
19,Total Other Income Expenses (Gains),-13000000,-8000000,-8000000,-29000000,-73400000,-28000000,-41100000,-71300000,-58400000,-259400000
20,Income Before Tax,189000000,184000000,203000000,138000000,87000000,174800000,221800000,227900000,235100000,162800000
21,Income Before Tax Ratio,0.2013,0.1878,0.1950,0.1426,0.0958,0.1798,0.1957,0.1763,0.1933,0.1170
22,Income Tax expense (Gain),67000000,66000000,70000000,53000000,42600000,29600000,40000000,44200000,53700000,44700000
23,Net Income,119000000,119000000,129000000,80000000,35200000,126500000,169100000,183700000,181400000,118100000
24,Net Income ratio,0.1267,0.1214,0.1239,0.0826,0.0388,0.1301,0.1492,0.1421,0.1492,0.0849
25,EPS,2.83,2.83,3.07,2.12,0.83,3.00,4.02,4.39,4.51,2.98
26,EPS Diluted,2.83,2.83,3.07,2.12,0.83,2.97,3.97,4.35,4.48,2.98
27,Weighted Average Shares Outstanding,42072000,42072000,42072000,42072000,42100000,42100000,42000000,41800000,41300000,39537000
28,Weighted Average Shares Outstanding Diluted,42072000,42072000,42072000,42072000,42300000,42500000,42600000,42200000,41500000,39537000
