,https://roic.ai/company/UPS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,24788000000,27052000000,29771000000,30646000000,31272000000,33485000000,36582000000,42581000000,47547000000,49692000000,51486000000,45297000000,49545000000,53105000000,54127000000,55438000000,58232000000,58363000000,60906000000,65872000000,71861000000,74094000000,84628000000,97287000000
2,COGS,6240000000,6640000000,7540000000,7891000000,7768000000,8154000000,10677000000,12277000000,14743000000,10033000000,11878000000,8819000000,10743000000,13507000000,48534000000,44127000000,48726000000,46059000000,50816000000,53304000000,59372000000,60377000000,69344000000,76706000000
3,Gross Profit,18548000000,20412000000,22231000000,22755000000,23504000000,25331000000,25905000000,30304000000,32804000000,39659000000,39608000000,36478000000,38802000000,39598000000,5593000000,11311000000,9506000000,12304000000,10090000000,12568000000,12489000000,13717000000,15284000000,20581000000
4,Gross Profit Ratio,0.7483,0.7545,0.7467,0.7425,0.7516,0.7565,0.7081,0.7117,0.6899,0.7981,0.7693,0.8053,0.7832,0.7457,0.1033,0.2040,0.1632,0.2108,0.1657,0.1908,0.1738,0.1851,0.1806,0.2115
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,16546000000,17397000000,17944000000,19328000000,20916000000,22517000000,24421000000,37336000000,32412000000,30930000000,31136000000,27575000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,46707000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",14346000000,15285000000,16546000000,17397000000,17944000000,19328000000,20916000000,22517000000,24421000000,37336000000,32412000000,30930000000,31136000000,27575000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,46707000000
9,Other Expenses,1112000000,5993000000,8713000000,9287000000,10255000000,9703000000,10677000000,13921000000,16491000000,1745000000,1814000000,1747000000,1792000000,5943000000,4250000000,4277000000,4538000000,4636000000,4623000000,5039000000,5465000000,5919000000,7600000000,-38936000000
