,https://roic.ai/company/TCON,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,3598000,7904000,3449000,8755000,3000000,- -,- -,346000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,3598000,7904000,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,1.0000,1.0000,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,3777000,6076000,7652000,25680000,21566000,19355000,30460000,14530000,8198000,11146000
6,General and Administrative Exp.,1449000,1484000,2125000,5691000,7859000,7610000,7280000,7766000,8025000,17547000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1449000,1484000,2125000,5691000,7859000,7610000,7280000,7766000,8025000,17547000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,5226000,7560000,9777000,31371000,29425000,26965000,37740000,22296000,16223000,28693000
11,COGS and Expenses,5226000,7560000,9777000,31371000,29425000,26965000,37740000,22296000,16223000,28693000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,30000,667000,923000,- -,- -,231000,386000,545000,318000
14,Depreciation and Amortization,6000,7000,15000,51000,94000,48000,28000,16000,12000,-59000
15,EBITDA,-5220000,-7553000,-6127000,-23436000,-26914000,-19055000,-34700000,-22280000,-16211000,-28408000
16,EBITDA ratio,-Infinity,-Infinity,-1.7029,-2.9651,-7.8034,-2.1765,-11.5667,-Infinity,-Infinity,-82.1040
17,Operating Income,-5226000,-7560000,-6179000,-23467000,-25976000,-18210000,-34740000,-22296000,-16223000,-28347000
18,Operating Income ratio,-Infinity,-Infinity,-1.7173,-2.9690,-7.5315,-2.0800,-11.5800,-Infinity,-Infinity,-81.9277
19,Total Other Income Expenses (Gains),298000,-148000,-630000,-943000,-1032000,-893000,-219000,-378000,-552000,-320000
20,Income Before Tax,-4928000,-7708000,-6809000,-24410000,-27008000,-19103000,-34959000,-22674000,-16775000,-28667000
21,Income Before Tax Ratio,-Infinity,-Infinity,-1.8924,-3.0883,-7.8307,-2.1820,-11.6530,-Infinity,-Infinity,-82.8526
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-4928000,-7708000,-6809000,-24410000,-27008000,-19103000,-34959000,-22674000,-16775000,-28667000
24,Net Income ratio,-Infinity,-Infinity,-1.8924,-3.0883,-7.8307,-2.1820,-11.6530,-Infinity,-Infinity,-82.8526
25,EPS,-10.48,-16.70,-5.93,-22.00,-21.30,-11.40,-13.00,-7.47,-1.87,-1.66
26,EPS Diluted,-10.48,-16.70,-5.93,-22.00,-21.30,-11.40,-13.00,-7.47,-1.87,-1.66
27,Weighted Average Shares Outstanding,490937,458907,1197742,1111565,1267791,1680609,2694570,3034299,8984148,17252637
