,https://roic.ai/company/WIMI,2017,2018,2019,2020
0,INCOME STATEMENT, , , , 
1,Revenue,192029524,225271564,319181424,766013586
2,COGS,79180187,85414061,146167843,596578700
3,Gross Profit,112849337,139857503,173013581,169434886
4,Gross Profit Ratio,0.5877,0.6208,0.5421,0.2212
5,Research and Development Exp.,9696322,8020082,18355403,84957626
6,General and Administrative Exp.,24618898,29822426,39881854,234146918
7,Selling and Marketing Exp.,1235773,1212400,1924784,3746873
8,"Selling, General and Administrative Exp.",25854671,31034826,41806638,237893791
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,35550993,39054908,60162041,322851417
11,COGS and Expenses,114731180,124468969,206329884,919430117
12,Interest Income ,34499,24535,1231833,476234
13,Interest Expense (Gain),4228995,5171453,11140346,3818949
14,Depreciation and Amortization,12781971,13538853,13883919,14792025
15,EBITDA,90876948,116003694,130357817,-129652213
16,EBITDA ratio,0.4732,0.5150,0.4084,-0.1693
17,Operating Income,77298344,100802595,112851540,-153416531
18,Operating Income ratio,0.4025,0.4475,0.3536,-0.2003
19,Total Other Income Expenses (Gains),-3432362,-3509207,-7517988,11363289
20,Income Before Tax,73865982,97293388,105333552,-142053242
21,Income Before Tax Ratio,0.3847,0.4319,0.3300,-0.1854
22,Income Tax expense (Gain),528011,8075596,3129080,2904681
23,Net Income,73337971,89217792,102204472,-151167868
24,Net Income ratio,0.3819,0.3960,0.3202,-0.1973
25,EPS,1.24,1.51,1.75,-2.34
26,EPS Diluted,1.24,1.51,1.75,-2.34
27,Weighted Average Shares Outstanding,59055566,59055566,59305566,64719802
28,Weighted Average Shares Outstanding Diluted,59055566,59055566,59305566,64719802
29,SEC Link,- -,- -,- -,- -
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,12661634,151947942,129048978,355020149
32,Short-Term Investments,- -,- -,- -,32878252
33,Cash and Short-Term Investments,12661634,151947942,129048978,387898401
34,Net Receivables,35475371,46762067,36122170,172614623
35,Inventory,- -,- -,- -,4117807
36,Other Current Assets,3893030,14585421,12340292,51795011
37,Total Current Assets,52030035,213295430,177511440,616425842
38,PP&E,1960253,1263869,769468,2221060
39,Goodwill,350023470,351334021,352079834,396228760
40,Intangible Assets,52041498,40245145,27539298,41242091
41,Intangible Assets,402064968,391579166,379619132,437470851
42,Investments,550000,500000,4350000,114050000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,876346,844961,1248473,2253932
45,Total Non-Current Assets,405451567,394187996,385987073,555995843
46,Other Assets,- -,- -,- -,- -
47,Total Assets,457481602,607483426,563498513,1172421685
48,Accounts Payable,25319837,33033855,38695724,27355410
49,Short-Term Debt,14826000,- -,70987603,77777933
50,Tax Payable,2630599,10733539,9660882,11515624
51,Deferred Revenue,741940,586923,503576,10475681
52,Other Current Liabilities,98674107,12197460,11941228,16586248
53,Total Current Liabilities,139561884,45818238,122128131,132195272
54,Long-Term Debt,113174000,127755993,16038186,23325754
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,5675409,4132398,2617179,5984605
57,Other Non-Current Liabilities,108863920,110855328,- -,1864131
58,Total Non-Current Liabilities,227713329,242743719,18655365,31174490
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,1492222
61,Total Liabilities,367275213,288561957,140783496,163369762
62,Preferred Stock,- -,5910,5910,- -
63,Common Stock,65100,65100,65100,100634
64,Retained Earnings,45633201,129526973,229177894,76207925
65,Other Comprehensive Income/Loss,14073188,21156496,25299123,-11430663
66,Other Total Stockholders Equity,30434900,168166990,168166990,932368293
67,Total Stockholders Equity,90206389,318921469,422715017,997246189
68,Total Liabilities And Stockholders Equity,457481602,607483426,563498513,1160615951
69,Minority Interest,- -,- -,- -,11805734
70,Total Liabilities & Equity,457481602,607483426,563498513,1172421685
71,SEC Link,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,73337971,89217792,102204472,-151167868
74,Depreciation and Amortization,12781971,13538853,13883919,14792025
75,Deferred Income Tax,-1466826,-1543010,-1515220,-1582948
76,Stock Based Compensation,- -,- -,- -,191418458
77,Change in Working Capital,19531110,-6588736,16262998,-123726273
78,Accounts Receivable,-2179079,-11291877,9065001,-110619162
79,Inventory,- -,- -,- -,-1858884
80,Accounts Payable,17134885,7714017,5661871,-2099143
81,Other Working Capital,146060,-8542716,323430,9231864
82,Other Non-Cash Items,3873715,4827306,13119375,3305925
83,Cash Provided by Operating Activities,108057941,99452205,143955544,-66960681
84,CAPEX,-1964233,-46572,-195998,-484774
85,Acquisitions Net,-116511130,-98900784,-122433894,-95483696
86,Purchases of Investments,- -,- -,-3850000,-283257366
87,Sales/Maturities of Investments,111100,350000,- -,151096293
88,Other Investing Activites,- -,- -,- -,- -
89,Cash Used for Investing Activites,-118364263,-98597356,-126479892,-228129543
90,Debt Repayment,-33800000,-14826000,-129474000,-112412786
