,https://roic.ai/company/SLNG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4900000,5247683,5271453,4068224,4877778,5515310,6740337,8416610,8378905,55664545,65387154,52162909,38963744,51940000,54065000,65330000,57254000,49083000,37812000,47130000,7591000,47071000,41550000,- -
2,COGS,2000000,2298923,2566837,2155748,2265157,3969878,5701403,6782026,6411082,51164604,57000380,46114943,35307724,44785000,45942000,53515000,52259000,42493000,36796000,44702000,5677000,41197000,39052000,- -
3,Gross Profit,2900000,2948760,2704616,1912476,2612621,1545432,1038934,1634584,1967823,4499941,8386774,6047966,3656020,7155000,8123000,11815000,4995000,6590000,1016000,2428000,1914000,5874000,2498000,- -
4,Gross Profit Ratio,0.5918,0.5619,0.5131,0.4701,0.5356,0.2802,0.1541,0.1942,0.2349,0.0808,0.1283,0.1159,0.0938,0.1378,0.1502,0.1809,0.0872,0.1343,0.0269,0.0515,0.2521,0.1248,0.0601,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,881855,577000,103000,499000,807000,769000,962000,280000,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5807251,4742553,4833242,5780000,5146000,6173000,5566000,5782000,5242000,4194000,3335000,- -,10764000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2345124,2137753,2274898,2508000,2455000,2693000,2517000,2380000,2181000,2465000,410000,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8152375,6880306,7108140,8288000,7601000,8866000,8083000,8162000,7423000,6659000,3745000,- -,10764000,- -
9,Other Expenses,3400000,4452207,4058269,3329972,3603830,2467967,1880455,1900161,2049352,6212638,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11304000,39052000,- -
10,Operating Expenses,3400000,4452207,4058269,3329972,3603830,2467967,1880455,1900161,2049352,6212638,8152375,6880306,7989995,8865000,7704000,9365000,8890000,8931000,8385000,6939000,3745000,11304000,49816000,- -
11,COGS and Expenses,5400000,6751130,6625106,5485720,5868987,6437845,7581858,8682187,8460434,57377242,65152755,52995249,43297719,53650000,53646000,62880000,61149000,51424000,45181000,51641000,9422000,52501000,49816000,85860000
12,Interest Income ,100000,- -,72945,40662,40837,20084,2173,- -,16765,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),100000,- -,1963,68413,- -,- -,- -,- -,- -,175850,278981,133633,131016,183000,111000,28000,165000,172000,-69000,1078000,24000,1208000,916000,- -
14,Depreciation and Amortization,300000,299164,423161,354733,536456,419569,393252,516776,500164,926494,1098039,1033896,879552,772000,877000,871000,684000,894000,877000,841000,517000,9271000,9041000,- -
15,EBITDA,-100000,-1447419,-1608669,-1017923,-430304,-422547,-464264,320704,475358,1967475,3931749,2134838,-1773736,509000,4004000,6163000,-4212000,-1099000,-6208000,-3264000,-1725000,4880000,3457000,- -
