,https://roic.ai/company/CBAT,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,4720,40914,- -,101921583,143829016,145860899,245347569,211143971,214802914,218952724,205670946,185552560,123014080,13904414,10369444,58375399,24433304,22194348,37566152
2,COGS,- -,- -,- -,- -,3754,21599,- -,76234834,104196278,120254925,214441714,184387559,192139516,192648690,204197751,202159615,113454395,12954553,12099632,68570871,27731901,21571822,34852132
3,Gross Profit,- -,- -,- -,- -,966,19315,- -,25686749,39632738,25605974,30905855,26756412,22663398,26304034,1473195,-16607055,9559685,949861,-1730188,-10195472,-3298597,622526,2714020
4,Gross Profit Ratio,- -,- -,- -,- -,0.2047,0.4721,- -,0.2520,0.2756,0.1756,0.1260,0.1267,0.1055,0.1201,0.0072,-0.0895,0.0777,0.0683,-0.1669,-0.1747,-0.1350,0.0280,0.0722
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,541735,2935134,3957145,6252106,5643369,7398171,7287214,5759072,5367962,3981163,1001889,1879869,1738767,2481038,1905504,1678895
6,General and Administrative Exp.,- -,- -,- -,- -,7289,61474,14677,5027154,9071615,12371873,25150280,21989400,27137264,18130183,40008940,17490537,12357721,3329763,4737843,4328652,4497338,4411878,3745676
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,4023582,5054624,4695604,- -,6176294,8856674,8541782,8488889,7645217,4504410,135468,995290,3217016,2081138,1020929,701404
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,7289,61474,14677,9050736,14126239,17067477,25150280,28165694,35993938,26671965,48497829,25135754,16862131,3465231,5733133,7545668,6578476,5432807,4447080
9,Other Expenses,- -,- -,3485,3275,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9089943,-713922,-22971682,2779497,725375,162488,1046360,721737
10,Operating Expenses,- -,- -,3485,3275,7289,61474,14677,9592471,17061373,21024622,31402386,33809063,43392109,33959179,54256901,21413773,20129372,-18504562,10392499,10009810,9222002,8384671,6847712
11,COGS and Expenses,- -,- -,3485,3275,11043,83073,14677,85827305,121257651,141279547,245844100,218196622,235531625,226607869,258454652,223573388,133583767,17553418,22492131,78580681,36953903,29956493,41699844
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,523135,- -,- -,- -,679876,663632,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,2395137,2289616,5224800,11020808,9355983,8969570,9925884,11265990,11522580,16800404,- -,- -,- -,834391,1384904,1399095
14,Depreciation and Amortization,- -,- -,- -,- -,380,380,- -,3511079,5815706,8911704,13249392,12831899,18405220,18628181,18519317,19316828,8257676,508945,1117741,1592322,2466127,2753200,2700888
15,EBITDA,- -,- -,-3485,-3275,-5943,-41779,-14677,18807433,28862780,14424311,15284387,6943807,-8761942,5318821,-33628322,-79069707,62850471,21703386,-10861873,-19875019,1357341,-6629419,-3746785
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-1.2591,-1.0211,-Infinity,0.1845,0.2007,0.0989,0.0623,0.0329,-0.0408,0.0243,-0.1635,-0.4261,0.5109,1.5609,-1.0475,-0.3405,0.0556,-0.2987,-0.0997
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100679556,-10644219,-3649004,- -,- -,-13439060,-10088697,-8479503
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.5426,-0.0865,-0.2624,- -,- -,-0.5500,-0.4546,-0.2257
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,-3193061,-1813907,-4293545,-8489282,-8191424,-15408021,-15580099,-10629923,-9229559,-16060819,23012208,143073,-1262059,11481578,-764738,632735
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,12901217,20757458,287807,-8985813,-15244075,-36136732,-23235244,-63413629,-109909115,-26705038,19363204,-11979614,-21467341,-1957482,-10853435,-7846768
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,0.1266,0.1443,0.0020,-0.0366,-0.0722,-0.1682,-0.1061,-0.3083,-0.5923,-0.2171,1.3926,-1.1553,-0.3677,-0.0801,-0.4890,-0.2089
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,526840,592892,-195521,-1045213,-1252582,-3353849,1302120,2393766,6119964,16475,5320515,672580,- -,- -,- -,- -
23,Net Income,- -,- -,-3485,-3275,-6323,-42159,-14677,12374377,20164566,483328,-7940600,-13991493,-32782883,-24537364,-65807395,-116029079,37775916,15873926,-12652194,-21467341,-1943177,-10767523,-7846768
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-1.3396,-1.0304,-Infinity,0.1214,0.1402,0.0033,-0.0324,-0.0663,-0.1526,-0.1121,-0.3200,-0.6253,0.3071,1.1416,-1.2201,-0.3677,-0.0795,-0.4851,-0.2089
25,EPS,- -,- -,-0.02,-0.02,-0.03,-0.20,-0.07,1.60,2.05,0.05,-0.75,-1.25,-2.65,-1.95,-5.20,-9.19,2.99,1.24,-0.71,-0.92,-0.07,-0.28,-0.10
26,EPS Diluted,- -,- -,-0.02,-0.02,-0.05,-0.20,-0.07,1.60,2.05,0.05,-0.76,-1.25,-2.65,-1.95,-5.20,-9.19,2.99,1.23,-0.71,-0.92,-0.07,-0.28,-0.10
27,Weighted Average Shares Outstanding,- -,- -,180020,180020,206653,210520,221651,7657774,9775921,9795823,10462753,11392800,12370943,12589000,12619000,12619597,12619597,12718388,17786374,23237205,26596263,38965564,61992386
28,Weighted Average Shares Outstanding Diluted,- -,- -,180020,180020,206653,210520,248180,7657774,9782592,9888457,10462753,11392800,12370943,12589000,12619000,12619597,12619597,12881121,17786374,23237205,26596263,38965564,61992386
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1117171/000127528706006401/cb8173.htm,https://www.sec.gov/Archives/edgar/data/1117171/000114420407068207/0001144204-07-068207-index.html,https://www.sec.gov/Archives/edgar/data/1117171/000114420408069143/0001144204-08-069143-index.html,https://www.sec.gov/Archives/edgar/data/1117171/000120445909002346/0001204459-09-002346-index.html,https://www.sec.gov/Archives/edgar/data/1380713/000138071310000011/0001380713-10-000011-index.html,https://www.sec.gov/Archives/edgar/data/1380713/000152477711000182/0001524777-11-000182-index.html,https://www.sec.gov/Archives/edgar/data/1380713/000152477712000472/0001524777-12-000472-index.html,https://www.sec.gov/Archives/edgar/data/1117171/000106299314000200/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117171/000106299315000133/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117171/000106299316007059/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117171/000106299317000203/form10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1117171/000121390019006501/f10k2018_cbakenergy.htm,https://www.sec.gov/Archives/edgar/data/1117171/000121390020012125/f10k2019_cbakenergy.htm,https://www.sec.gov/Archives/edgar/data/1117171/000121390021021294/0001213900-21-021294-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,315,20,4119,108,16060,33055784,21099555,14196513,35706834,30678352,22588635,24858239,9271633,13998626,991519,6762745,1953295,1644535,449670,1612957,11681750
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235245
33,Cash and Short-Term Investments,- -,- -,315,20,4119,108,16060,33055784,21099555,14196513,35706834,30678352,22588635,24858239,9271633,13998626,991519,6762745,1953295,1644535,449670,1612957,11916995
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,44135655,64332171,63150872,82740288,83291698,86198239,88261267,77449591,63181396,8856816,7170534,8709922,63512380,27315924,12194177,29571274
35,Inventory,- -,- -,- -,- -,- -,- -,- -,21696226,47388936,59827232,67583060,65535384,64048366,67140968,65383829,57275187,2648098,3057575,16540252,9832405,9622361,8666714,5252845
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,20840399,14106759,6754137,10631398,40445884,21826782,16968455,17217787,13334170,190826,2580136,5140621,10254920,18981737,6015147,16429292
