,https://roic.ai/company/PMT-PB,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,35363000,90742000,208004000,253981000,210935000,104447000,93807000,158349000,187271000,220659000,106708000,81109000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,44054000,128614000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,1.2458,1.4174,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,3403000,5161000,7144000,7914000,20778000,20691000,17672000,14257000,15827000,20189000,18943000,4000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,3403000,5161000,7144000,7914000,8328000,7366000,7000000,6322000,6781000,6897000,3890000,4000000
9,Other Expenses,- -,10446000,25360000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,13849000,30521000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
11,COGS and Expenses,- -,13849000,30521000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,14574000,36148000,72441000,122862000,172348000,201345000,218064000,182659000,196707000,265298000,193331000,181873000
13,Interest Expense (Gain),- -,826000,16946000,31642000,65222000,85589000,124708000,149768000,151371000,175171000,297446000,270770000,304737000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,94330000,383731000,- -,- -
15,EBITDA,- -,27852000,89441000,218464000,279857000,265053000,198012000,211531000,275917000,427489000,871818000,350500000,349398000
16,EBITDA ratio,- -,0.7876,0.9857,1.0503,1.1019,1.2566,1.8958,2.2550,1.7425,2.2827,3.9510,3.2847,4.3078
17,Operating Income,- -,27026000,72495000,- -,- -,- -,- -,- -,- -,- -,- -,- -,45
18,Operating Income ratio,- -,0.7642,0.7989,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0000
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44660955
20,Income Before Tax,- -,27026000,72495000,186822000,214635000,179464000,73304000,61763000,124546000,157988000,190641000,79730000,44661000
21,Income Before Tax Ratio,- -,0.7642,0.7989,0.8982,0.8451,0.8508,0.7018,0.6584,0.7865,0.8436,0.8640,0.7472,0.5506
22,Income Tax expense (Gain),- -,2543000,8056000,48573000,14445000,-15080000,-16796000,-14047000,6797000,5190000,-35716000,27357000,-12193000
23,Net Income,- -,24483000,64439000,138249000,200190000,194544000,90100000,75810000,117749000,152798000,226357000,52373000,56854000
