,https://roic.ai/company/AKTS,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,16964,1207865,1443000,1790000,6618000
2,COGS,- -,- -,- -,- -,- -,- -,- -,1019490,1013000,2414000,10651000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,188375,430000,-624000,-4033000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.1560,0.2980,-0.3486,-0.6094
5,Research and Development Exp.,- -,- -,- -,- -,470987,1758701,4425778,13266975,19246000,20523000,24076000
6,General and Administrative Exp.,- -,- -,- -,26979,920031,2935299,6019285,8804103,8701000,10891000,13285000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,26979,920031,2935299,6019285,8804103,8701000,10891000,13285000
9,Other Expenses,- -,- -,- -,- -,- -,-254834,-469532,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,26979,1391018,4439166,9975531,22071078,27947000,31414000,37361000
11,COGS and Expenses,- -,- -,- -,26979,1223519,4439166,9975531,23090568,28960000,33828000,48012000
12,Interest Income ,- -,- -,- -,- -,175,1339,1936,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,9640,12556,110084,1262596,2497000,3188000,4883000
15,EBITDA,- -,- -,- -,-26979,-1215450,-3457770,-8998156,-20476031,-26751000,-32952000,-39273000
16,EBITDA ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-530.4266,-16.9523,-18.5385,-18.4089,-5.9343
17,Operating Income,- -,- -,- -,-26979,-1391018,-4694000,-9958567,-22277728,-27567000,-32038000,-41394000
18,Operating Income ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-587.0412,-18.4439,-19.1040,-17.8983,-6.2548
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,169245,-712167,850327,539101,-1681000,-4102000,-2762000
20,Income Before Tax,- -,- -,- -,-26979,-1221773,-5406167,-9108240,-21738627,-29248000,-36140000,-44156000
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-536.9158,-17.9976,-20.2689,-20.1899,-6.6721
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,- -,-26979,-1221773,-5406167,-9108240,-21738627,-29248000,-36140000,-44156000
24,Net Income ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-536.9158,-17.9976,-20.2689,-20.1899,-6.6721
25,EPS,- -,- -,- -,-0.00,-0.20,-0.40,-0.54,-1.04,-1.06,-1.07,-1.02
26,EPS Diluted,- -,- -,- -,-0.00,-0.20,-0.40,-0.54,-1.04,-1.06,-1.07,-1.02
27,Weighted Average Shares Outstanding,- -,- -,- -,12854020,6240780,13349482,16990536,20928235,27512426,33698502,43426602
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,12854020,6240780,13349482,16990536,20928235,27512426,33698502,43426602
29,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1584754/000161577415002261/0001615774-15-002261-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1584754/000161577417005214/0001615774-17-005214-index.html,https://www.sec.gov/Archives/edgar/data/1584754/000161577418008796/0001615774-18-008796-index.html,https://www.sec.gov/Archives/edgar/data/1584754/000121390019017977/0001213900-19-017977-index.htm,https://www.sec.gov/Archives/edgar/data/1584754/000121390020023254/0001213900-20-023254-index.htm,https://www.sec.gov/Archives/edgar/data/1584754/000121390021045465/0001213900-21-045465-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,9100,9521,4329496,4155444,9631520,14816717,30154000,44308000,88322000
