,https://roic.ai/company/KLXE,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,251200000,152200000,320500000,495300000,544000000,276800000
2,COGS,- -,282800000,181300000,269100000,370400000,470000000,314800000
3,Gross Profit,- -,-31600000,-29100000,51400000,124900000,74000000,-38000000
4,Gross Profit Ratio,- -,-0.1258,-0.1912,0.1604,0.2522,0.1360,-0.1373
5,Research and Development Exp.,- -,- -,300000,2000000,2400000,2700000,700000
6,General and Administrative Exp.,- -,- -,- -,- -,100400000,100000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,100400000,100000000,- -
9,Other Expenses,- -,78500000,60100000,73400000,- -,- -,88800000
10,Operating Expenses,- -,78500000,60400000,75400000,102800000,102700000,89500000
11,COGS and Expenses,- -,361300000,241700000,344500000,473200000,572700000,404300000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,7100000,29200000,30700000
14,Depreciation and Amortization,- -,46600000,36200000,33500000,41500000,64100000,61700000
15,EBITDA,- -,-703700000,-53300000,9500000,63600000,-11600000,-239400000
16,EBITDA ratio,- -,-2.8014,-0.3502,0.0296,0.1284,-0.0213,-0.8649
17,Operating Income,- -,-750300000,-89500000,-24000000,22100000,-75700000,-301100000
18,Operating Income ratio,- -,-2.9869,-0.5880,-0.0749,0.0446,-0.1392,-1.0878
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-7100000,-29200000,-30700000
20,Income Before Tax,- -,-750300000,-89500000,-24000000,15000000,-104900000,-331800000
21,Income Before Tax Ratio,- -,-2.9869,-0.5880,-0.0749,0.0303,-0.1928,-1.1987
22,Income Tax expense (Gain),- -,100000,100000,100000,600000,-8500000,400000
23,Net Income,- -,-750400000,-89600000,-24100000,14400000,-96400000,-332200000
24,Net Income ratio,- -,-2.9873,-0.5887,-0.0752,0.0291,-0.1772,-1.2001
25,EPS,- -,-187.60,-22.40,-5.85,3.60,-21.60,-50.86
26,EPS Diluted,- -,-187.60,-22.40,-5.85,3.55,-21.60,-50.86
27,Weighted Average Shares Outstanding,- -,4000000,4000000,4040000,4020000,4460000,6500000
28,Weighted Average Shares Outstanding Diluted,- -,4080000,4080000,4100000,4040000,4460000,6500000
