,https://roic.ai/company/SQ,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,203449000,552433000,850192000,1267118000,1708721000,2214253000,3298177000,4713500000,9497578000,17661203000
2,COGS,138898000,423648000,624118000,897088000,1132683000,1374947000,1994477000,2823815000,6764169000,13241380000
3,Gross Profit,64551000,128785000,226074000,370030000,576038000,839306000,1303700000,1889685000,2733409000,4419823000
4,Gross Profit Ratio,0.3173,0.2331,0.2659,0.2920,0.3371,0.3790,0.3953,0.4009,0.2878,0.2503
5,Research and Development Exp.,46568000,82864000,144637000,199638000,268537000,321888000,497479000,670606000,881826000,1399079000
6,General and Administrative Exp.,36184000,68942000,94220000,143466000,251993000,250553000,339245000,436250000,579203000,983326000
7,Selling and Marketing Exp.,56648000,64162000,112577000,145618000,173876000,253170000,411151000,624832000,1109670000,1617189000
8,"Selling, General and Administrative Exp.",92832000,133104000,206797000,289084000,425869000,503723000,750396000,1061082000,1688873000,2600515000
9,Other Expenses,10512000,15329000,25131000,55766000,52085000,67901000,92439000,131440000,181525000,187991000
10,Operating Expenses,149912000,231297000,376565000,544488000,746491000,893512000,1340314000,1863128000,2752224000,4187585000
11,COGS and Expenses,288810000,654945000,1000683000,1441576000,1879174000,2268459000,3334791000,4686943000,9516393000,17428965000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,56943000,33124000
14,Depreciation and Amortization,3579000,8272000,18586000,27626000,37745000,37279000,60961000,75598000,84212000,134757000
15,EBITDA,-81620000,-95708000,-134067000,-148445000,-131928000,-25385000,24834000,453811000,357122000,332801000
16,EBITDA ratio,-0.4012,-0.1732,-0.1577,-0.1172,-0.0772,-0.0115,0.0075,0.0963,0.0376,0.0188
17,Operating Income,-85361000,-104942000,-150491000,-174458000,-170453000,-54206000,-36614000,26557000,-18815000,161112000
18,Operating Income ratio,-0.4196,-0.1900,-0.1770,-0.1377,-0.0998,-0.0245,-0.0111,0.0056,-0.0020,0.0091
19,Total Other Income Expenses (Gains),162000,962000,-2162000,-1613000,780000,-8458000,487000,351656000,234782000,-3650000
20,Income Before Tax,-85199000,-103980000,-152653000,-176071000,-169673000,-62664000,-36127000,378213000,215967000,157462000
21,Income Before Tax Ratio,-0.4188,-0.1882,-0.1796,-0.1390,-0.0993,-0.0283,-0.0110,0.0802,0.0227,0.0089
22,Income Tax expense (Gain),- -,513000,1440000,3746000,1917000,149000,2326000,2767000,2862000,-1364000
23,Net Income,-85199000,-104493000,-154093000,-179817000,-171590000,-62813000,-38453000,375446000,213105000,166284000
24,Net Income ratio,-0.4188,-0.1892,-0.1812,-0.1419,-0.1004,-0.0284,-0.0117,0.0797,0.0224,0.0094
25,EPS,-0.31,-0.37,-0.56,-1.24,-0.50,-0.17,-0.09,0.88,0.48,0.36
26,EPS Diluted,-0.31,-0.37,-0.56,-1.24,-0.50,-0.17,-0.09,0.81,0.44,0.33
27,Weighted Average Shares Outstanding,277295000,284311000,277295000,170498000,341555000,379344000,405731000,424999000,443126000,458432000
28,Weighted Average Shares Outstanding Diluted,277295000,284311000,277295000,170498000,341555000,379344000,405731000,466076000,482167000,501779000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1512673/000162828017001754/0001628280-17-001754-index.html,https://www.sec.gov/Archives/edgar/data/1512673/000151267318000004/0001512673-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1512673/000151267319000003/0001512673-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1512673/000162828020002303/0001628280-20-002303-index.html,https://www.sec.gov/Archives/edgar/data/1512673/000151267321000008/0001512673-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1512673/000162828022003825/0001628280-22-003825-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,166176000,225300000,470775000,452030000,696474000,583173000,1047118000,3158058000,4443669000
32,Short-Term Investments,- -,- -,- -,- -,103475000,272618000,875008000,1168748000,2732944000,3700278000
33,Cash and Short-Term Investments,- -,166176000,225300000,470775000,555505000,969092000,1458181000,2215866000,5891002000,8143947000
34,Net Receivables,- -,69329000,156706000,193643000,341287000,650337000,433441000,689836000,1215461000,2099615000
35,Inventory,- -,1050000,2991000,11864000,13724000,16777000,28627000,47683000,61129000,77058000
36,Other Current Assets,- -,17247000,24870000,29281000,90909000,142088000,191656000,266416000,594037000,200308000
37,Total Current Assets,- -,253802000,409867000,705563000,1001425000,1778294000,2111905000,3219801000,7761629000,10520928000
38,PP&E,- -,51656000,63733000,87222000,88328000,91496000,142402000,262342000,690408000,731546000
39,Goodwill,- -,602000,40267000,56699000,57173000,58327000,261705000,266345000,316701000,519276000
40,Intangible Assets,- -,612000,10279000,26776000,19292000,14334000,77102000,69079000,137612000,257049000
41,Intangible Assets,- -,1214000,50546000,83475000,76465000,72661000,338807000,335424000,454313000,776325000
42,Investments,- -,- -,- -,- -,27366000,228667000,510022000,647303000,922718000,1757349000
43,Tax Assets,- -,- -,454000,188000,306000,519000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,11669000,17288000,18324000,17472000,15633000,177887000,86388000,40482000,139616000
45,Total Non-Current Assets,- -,64539000,132021000,189209000,209937000,408976000,1169118000,1331457000,2107921000,3404836000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,318341000,541888000,894772000,1211362000,2187270000,3281023000,4551258000,9869550000,13925764000
48,Accounts Payable,- -,4541000,5436000,31974000,63753000,131551000,90553000,137950000,286451000,336784000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,464094000,562015000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,6623000,5407000,5893000,31474000,38104000,44908000,48462000
52,Other Current Liabilities,- -,125200000,185670000,295605000,508304000,835383000,896514000,1518031000,3330651000,4487843000
53,Total Current Liabilities,- -,129741000,191106000,334202000,577464000,972827000,1018541000,1694085000,4126104000,5435104000
54,Long-Term Debt,- -,- -,30000000,- -,- -,358572000,899695000,938832000,2586924000,4954225000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,4977000,6227000,6896000,- -
56,Deferred Tax Liabilities,- -,- -,- -,299000,476000,644000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,26306000,47110000,52223000,57269000,68894000,237309000,197064000,468057000,222846000
58,Total Non-Current Liabilities,- -,26306000,77110000,52522000,57745000,428110000,1141981000,1142123000,3061877000,5177071000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,149000000,136105000,442409000,459044000
61,Total Liabilities,- -,156047000,268216000,386724000,635209000,1400937000,2160522000,2836208000,7187981000,10612175000
62,Preferred Stock,- -,366197000,514945000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-241539000,-395632000,-607649000,-779239000,-842735000,-885774000,-510328000,-297223000,-27965000
65,Other Comprehensive Income/Loss,- -,-10277000,-26547000,-45969000,-2000000,-1000000,-6000000,2000000,23000000,-16435000
66,Other Total Stockholders Equity,- -,414110000,695851000,1161666000,1357392000,1630068000,2012275000,2223378000,2955792000,- -
67,Total Stockholders Equity,- -,162294000,273672000,508048000,576153000,786333000,1120501000,1715050000,2681569000,3272855000
68,Total Liabilities And Stockholders Equity,- -,318341000,541888000,894772000,1211362000,2187270000,3281023000,4551258000,9869550000,13885030000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,40734000
70,Total Liabilities & Equity,- -,318341000,541888000,894772000,1211362000,2187270000,3281023000,4551258000,9869550000,13925764000
