,https://roic.ai/company/GPRO,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,234238000,526016000,985737000,1394205000,1619971000,1185481000,1179741000,1148337000,1194651000,891925000,1161084000
2,COGS,111683000,298530000,623953000,766970000,946757000,723561000,795211000,786903000,781862000,577411000,683979000
3,Gross Profit,122555000,227486000,361784000,627235000,673214000,461920000,384530000,361434000,412789000,314514000,477105000
4,Gross Profit Ratio,0.5232,0.4325,0.3670,0.4499,0.4156,0.3896,0.3259,0.3147,0.3455,0.3526,0.4109
5,Research and Development Exp.,8644000,36115000,73737000,151852000,241694000,358902000,229265000,167296000,142894000,131589000,141494000
6,General and Administrative Exp.,10757000,20899000,31573000,93971000,107833000,92910000,79647000,62703000,65296000,62915000,65701000
7,Selling and Marketing Exp.,64375000,116855000,157771000,194377000,268939000,368620000,236581000,222096000,206431000,151380000,156694000
8,"Selling, General and Administrative Exp.",75132000,137754000,189344000,288348000,376772000,461530000,316228000,284799000,271727000,214295000,222395000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,83776000,173869000,263081000,440200000,618466000,820432000,545493000,452095000,414621000,345884000,363889000
11,COGS and Expenses,195459000,472399000,887034000,1207170000,1565223000,1543993000,1340704000,1238998000,1196483000,923295000,1047868000
12,Interest Income ,44000,- -,2000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),32000,- -,6020000,- -,- -,- -,13660000,18683000,19229000,20257000,-22940000
14,Depreciation and Amortization,1517000,3975000,12034000,17945000,28981000,41640000,41478000,35063000,26268000,19065000,10962000
15,EBITDA,40340000,57185000,109383000,198920000,81566000,-333534000,-121249000,-53929000,26427000,-22635000,78122000
16,EBITDA ratio,0.1722,0.1087,0.1110,0.1427,0.0504,-0.2813,-0.1028,-0.0470,0.0221,-0.0254,0.0673
17,Operating Income,38779000,53617000,98703000,187035000,54748000,-372969000,-163460000,-93962000,-2333000,-36819000,113216000
18,Operating Income ratio,0.1656,0.1019,0.1001,0.1342,0.0338,-0.3146,-0.1386,-0.0818,-0.0020,-0.0413,0.0975
19,Total Other Income Expenses (Gains),12000,-407000,-7374000,-6060000,-2163000,-2205000,-12927000,-13713000,-16737000,-25138000,-23116000
20,Income Before Tax,38791000,53210000,91329000,180975000,52585000,-375174000,-176387000,-107675000,-19070000,-61957000,90100000
21,Income Before Tax Ratio,0.1656,0.1012,0.0927,0.1298,0.0325,-0.3165,-0.1495,-0.0938,-0.0160,-0.0695,0.0776
22,Income Tax expense (Gain),14179000,20948000,30751000,52887000,16454000,43829000,6486000,1359000,-4428000,4826000,-281071000
23,Net Income,24612000,32262000,60578000,128088000,36131000,-419003000,-182873000,-109034000,-14642000,-66783000,371171000
24,Net Income ratio,0.1051,0.0613,0.0615,0.0919,0.0223,-0.3534,-0.1550,-0.0949,-0.0123,-0.0749,0.3197
25,EPS,0.12,-0.71,0.54,1.07,0.27,-3.01,-1.32,-0.78,-0.10,-0.45,2.39
26,EPS Diluted,0.11,-0.71,0.47,0.92,0.25,-3.01,-1.32,-0.78,-0.10,-0.45,2.28
27,Weighted Average Shares Outstanding,111541000,112105000,111541000,104453000,134595000,139425000,138056000,139425000,144891000,149037000,155009000
28,Weighted Average Shares Outstanding Diluted,129464000,131306000,129464000,123630000,146486000,139425000,138056000,139425000,144891000,149037000,162746000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1500435/000150043515000007/0001500435-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043516000063/0001500435-16-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043517000013/0001500435-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043518000010/0001500435-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043519000013/0001500435-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043520000013/0001500435-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043521000020/0001500435-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043522000016/0001500435-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,36485000,101410000,319929000,279672000,192114000,202504000,152095000,150301000,325654000,401087000
32,Short-Term Investments,- -,- -,- -,102327000,194386000,25839000,44886000,45417000,14847000,- -,137830000
33,Cash and Short-Term Investments,- -,36485000,101410000,422256000,474058000,217953000,247390000,197512000,165148000,325654000,538917000
34,Net Receivables,- -,80197000,122669000,183992000,149941000,164553000,112935000,129216000,200634000,107244000,114221000
35,Inventory,- -,60412000,111994000,153026000,188232000,167192000,150551000,116458000,144236000,97914000,86409000
36,Other Current Assets,- -,21724000,21967000,63769000,21012000,38115000,62811000,30887000,25958000,25872000,42311000
37,Total Current Assets,- -,198818000,358040000,823043000,833243000,587813000,573687000,474073000,535976000,556684000,781858000
38,PP&E,- -,22440000,32111000,41556000,70050000,76509000,68587000,46567000,89660000,55271000,46323000
39,Goodwill,- -,4233000,14095000,14095000,57095000,146459000,146459000,146459000,146459000,146459000,146459000
40,Intangible Assets,- -,4216000,3270000,2937000,31027000,33530000,24499000,13065000,5247000,1214000,62000
41,Intangible Assets,- -,8449000,17365000,17032000,88122000,179989000,170958000,159524000,151706000,147673000,146521000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,554000,736000,8611000,41936000,106000,825000,945000,864000,966000,- -
44,Other Non-Current Assets,- -,16404000,31419000,27449000,69625000,78223000,36189000,17250000,14597000,10805000,285177000
45,Total Non-Current Assets,- -,47847000,81631000,94648000,269733000,334827000,276559000,224286000,256827000,214715000,478021000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,246665000,439671000,917691000,1102976000,922640000,850246000,698359000,792803000,771399000,1259879000
48,Accounts Payable,- -,53746000,126423000,126240000,89989000,205028000,138257000,148478000,160695000,111399000,171545000
49,Short-Term Debt,- -,15782000,60297000,- -,- -,- -,- -,- -,9099000,9369000,142029000
50,Tax Payable,- -,6139000,27468000,2732000,7536000,2756000,1247000,1948000,1166000,221000,- -
51,Deferred Revenue,- -,8752000,9097000,18925000,21619000,18769000,27944000,18234000,17530000,30496000,42505000
52,Other Current Liabilities,- -,50920000,104777000,113604000,183569000,206942000,204330000,132787000,139727000,111429000,118753000
53,Total Current Liabilities,- -,129200000,300594000,258769000,295177000,430739000,370531000,299499000,327051000,262693000,474832000
54,Long-Term Debt,- -,113613000,53315000,- -,- -,- -,130048000,138992000,148810000,218172000,197339000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
