,https://roic.ai/company/EVBG,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,30040000,42421000,58720000,76846000,104352000,147094000,200882000,271141000,368433000
2,COGS,8699000,12089000,19789000,23767000,31503000,46810000,63535000,83028000,114216000
3,Gross Profit,21341000,30332000,38931000,53079000,72849000,100284000,137347000,188113000,254217000
4,Gross Profit Ratio,0.7104,0.7150,0.6630,0.6907,0.6981,0.6818,0.6837,0.6938,0.6900
5,Research and Development Exp.,5697000,7365000,11521000,14765000,22241000,41305000,50024000,62512000,81647000
6,General and Administrative Exp.,4352000,7435000,12272000,14293000,22895000,31462000,46820000,74485000,87482000
7,Selling and Marketing Exp.,11695000,15818000,25925000,34847000,46998000,69608000,87731000,123330000,161337000
8,"Selling, General and Administrative Exp.",16047000,23253000,38197000,49140000,69893000,101070000,134551000,197815000,248819000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,21744000,30618000,49718000,63905000,92134000,142375000,184575000,260327000,330466000
11,COGS and Expenses,30443000,42707000,69507000,87672000,123637000,189185000,248110000,343355000,444682000
12,Interest Income ,3000,2000,1000,34000,475000,1842000,4499000,2007000,390000
13,Interest Expense (Gain),295000,350000,538000,506000,691000,6346000,7478000,24089000,35949000
14,Depreciation and Amortization,2455000,2512000,5976000,7742000,10207000,13693000,19671000,30759000,53168000
15,EBITDA,1979000,2150000,-4872000,-3062000,-8689000,-26680000,-24676000,-40815000,-18258000
16,EBITDA ratio,0.0659,0.0507,-0.0830,-0.0398,-0.0833,-0.1814,-0.1228,-0.1505,-0.0496
17,Operating Income,-403000,-286000,-10787000,-10826000,-19285000,-42091000,-47228000,-72214000,-76249000
18,Operating Income ratio,-0.0134,-0.0067,-0.1837,-0.1409,-0.1848,-0.2862,-0.2351,-0.2663,-0.2070
19,Total Other Income Expenses (Gains),-368000,-426000,-599000,-484000,-302000,-4628000,-4597000,-23449000,-31126000
20,Income Before Tax,-771000,-712000,-11386000,-11310000,-19587000,-46719000,-51825000,-95663000,-107375000
21,Income Before Tax Ratio,-0.0257,-0.0168,-0.1939,-0.1472,-0.1877,-0.3176,-0.2580,-0.3528,-0.2914
22,Income Tax expense (Gain),118000,-89000,-562000,-24000,47000,796000,425000,-2267000,-12579000
23,Net Income,-889000,-623000,-10824000,-11286000,-19634000,-47515000,-52250000,-93396000,-94796000
24,Net Income ratio,-0.0296,-0.0147,-0.1843,-0.1469,-0.1882,-0.3230,-0.2601,-0.3445,-0.2573
25,EPS,-0.04,-0.03,-0.53,-0.68,-0.70,-1.63,-1.58,-2.70,-2.50
26,EPS Diluted,-0.04,-0.03,-0.53,-0.68,-0.70,-1.63,-1.58,-2.70,-2.50
27,Weighted Average Shares Outstanding,20612376,20642027,20612376,16659561,27862375,29107267,33161656,34581144,37962793
28,Weighted Average Shares Outstanding Diluted,20612376,20642027,20612376,16659561,27862375,29107267,33161656,34581144,37962793
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1437352/000156459017005159/0001564590-17-005159-index.htm,https://www.sec.gov/Archives/edgar/data/1437352/000156459018005318/0001564590-18-005318-index.htm,https://www.sec.gov/Archives/edgar/data/1437352/000156459019005821/0001564590-19-005821-index.htm,https://www.sec.gov/Archives/edgar/data/1437352/000156459020007797/0001564590-20-007797-index.htm,https://www.sec.gov/Archives/edgar/data/1437352/000156459021009422/0001564590-21-009422-index.htm,https://www.sec.gov/Archives/edgar/data/1437352/000156459022007193/0001564590-22-007193-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,4412000,8578000,60765000,102754000,59978000,531575000,467171000,488035000
32,Short-Term Investments,- -,- -,- -,- -,42908000,45541000,- -,- -,- -
33,Cash and Short-Term Investments,- -,4412000,8578000,60765000,145662000,105519000,531575000,467171000,488035000
34,Net Receivables,- -,11252000,15699000,17812000,31699000,41107000,68642000,94376000,120995000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1770000,5343000,4306000,6100000,15889000,24913000,36905000,46089000
37,Total Current Assets,- -,17434000,29620000,82883000,183461000,162515000,625130000,598452000,655119000
38,PP&E,- -,2655000,3620000,2923000,2796000,4650000,6284000,7774000,12185000
39,Goodwill,- -,7839000,7839000,9676000,31328000,48382000,91421000,187411000,531163000
40,Intangible Assets,- -,12062000,12297000,12732000,18639000,36090000,81387000,130091000,242039000
41,Intangible Assets,- -,19901000,20136000,22408000,49967000,84472000,172808000,317502000,773202000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,83000,- -,- -,- -
44,Other Non-Current Assets,- -,76000,133000,108000,189000,10460000,33074000,37216000,38509000
45,Total Non-Current Assets,- -,22632000,23889000,25439000,52952000,99665000,212166000,362492000,823896000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,40066000,53509000,108322000,236413000,262180000,837296000,960944000,1479015000
48,Accounts Payable,- -,1745000,3521000,2434000,2446000,2719000,7808000,9698000,16002000
49,Short-Term Debt,- -,6863000,2848000,- -,- -,427000,- -,- -,8000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,27696000,39159000,51388000,70090000,92738000,129995000,165389000,223579000
52,Other Current Liabilities,- -,7066000,8091000,9961000,14426000,24163000,31563000,61141000,64741000
53,Total Current Liabilities,- -,43370000,53619000,63783000,86962000,120047000,169366000,236228000,304330000
54,Long-Term Debt,- -,- -,14122000,- -,89481000,94097000,430282000,441514000,665695000
55,Deferred Revenue,- -,1148000,1308000,1246000,2982000,2898000,3471000,4738000,14261000
56,Deferred Tax Liabilities,- -,776000,345000,494000,482000,1032000,2002000,10065000,16082000
57,Other Non-Current Liabilities,- -,99000,166000,447000,515000,1948000,11863000,16094000,15958000
58,Total Non-Current Liabilities,- -,2023000,15941000,2187000,93460000,99975000,447618000,472411000,711996000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,45393000,69560000,65970000,180422000,220022000,616984000,708639000,1016326000
62,Preferred Stock,- -,8000,8000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,12000,12000,27000,28000,30000,34000,35000,39000
64,Retained Earnings,- -,-67508000,-78332000,-89618000,-109252000,-147670000,-199920000,-293316000,-388112000
65,Other Comprehensive Income/Loss,- -,-42000,-13000,-303000,220000,-5068000,-5747000,2810000,-2902000
