,https://roic.ai/company/OPGN,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,2410607,4126378,3157720,4025685,3211007,2946307,3498614,4214441,4306031
2,COGS,1822586,951737,1547573,2289904,2133176,1848435,1631721,3848491,2848448
3,Gross Profit,588021,3174641,1610147,1735781,1077831,1097872,1866893,365950,1457583
4,Gross Profit Ratio,0.2439,0.7694,0.5099,0.4312,0.3357,0.3726,0.5336,0.0868,0.3385
5,Research and Development Exp.,4151936,4368302,6002941,8613236,6883293,5677243,5121168,9964720,10910679
6,General and Administrative Exp.,2762205,2312935,5834642,6602608,6692659,7069315,6252442,8801661,9935963
7,Selling and Marketing Exp.,3053394,2058085,4305444,5529274,2767670,1531556,1464721,3094092,3713263
8,"Selling, General and Administrative Exp.",5815599,4371020,10140086,12131882,9460329,8600871,7717163,11895753,13649226
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,3019162
10,Operating Expenses,9967535,8739322,16143027,20745118,16343622,14278114,12838331,21860473,27579067
11,COGS and Expenses,11790121,9691059,17690600,23035022,18476798,16126549,14470052,25708964,30427515
12,Interest Income ,1222,156,26657,- -,- -,5384,9859,105627,- -
13,Interest Expense (Gain),31598,111345,1801320,149314,320760,191195,187549,3399384,4799331
14,Depreciation and Amortization,661807,573918,624653,656047,669088,730884,921379,2334739,2714
15,EBITDA,-9441416,-4986207,-15055195,-18361392,-14429460,-12446019,-11337530,-20344318,-29959839
16,EBITDA ratio,-3.9166,-1.2084,-4.7677,-4.5611,-4.4937,-4.2243,-3.2406,-4.8273,-6.9576
17,Operating Income,-10330395,-5564681,-15059163,-19009337,-15265791,-13180242,-12271245,-22718479,-26121484
18,Operating Income ratio,-4.2854,-1.3486,-4.7690,-4.7220,-4.7542,-4.4735,-3.5075,-5.3906,-6.0663
19,Total Other Income Expenses (Gains),195574,-106789,-2422005,-157416,-153517,-187856,-175213,-3359962,-8640400
20,Income Before Tax,-10134821,-5671470,-17481168,-19166753,-15419308,-13368098,-12446458,-26078441,-34761884
21,Income Before Tax Ratio,-4.2043,-1.3744,-5.5360,-4.7611,-4.8020,-4.5372,-3.5575,-6.1879,-8.0728
22,Income Tax expense (Gain),- -,- -,-129095,- -,- -,- -,- -,132403,43828
23,Net Income,-10134821,-5671470,-17352073,-19166753,-15419308,-13368098,-12446458,-26210844,-34805712
