,https://roic.ai/company/SPSC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,25198000,30697000,37746000,44597000,57969000,77106000,104391000,127947000,158518000,193295000,220566000,248240000,279124000,312630000,385276000
2,COGS,6379000,9208000,11715000,12626000,15366000,22040000,31781000,39991000,50043000,64346000,73625000,81748000,92239000,99836000,131678000
3,Gross Profit,18819000,21489000,26031000,31971000,42603000,55066000,72610000,87956000,108475000,128949000,146941000,166492000,186885000,212794000,253598000
4,Gross Profit Ratio,0.7468,0.7000,0.6896,0.7169,0.7349,0.7142,0.6956,0.6874,0.6843,0.6671,0.6662,0.6707,0.6695,0.6807,0.6582
5,Research and Development Exp.,3546000,3640000,4305000,4349000,5838000,8166000,10870000,13494000,17954000,21981000,23183000,22087000,28305000,31024000,39038000
6,General and Administrative Exp.,5458000,6716000,6339000,7985000,11151000,13524000,17189000,20233000,24817000,28827000,37461000,41862000,44719000,50119000,61305000
7,Selling and Marketing Exp.,11636000,12543000,13506000,16601000,23836000,30037000,39621000,46990000,55374000,65886000,73295000,71719000,70140000,75955000,88044000
8,"Selling, General and Administrative Exp.",17094000,19259000,19845000,24586000,34987000,43561000,56810000,67223000,80191000,94713000,110756000,113581000,114859000,126074000,149349000
9,Other Expenses,- -,- -,- -,- -,643000,1767000,3158000,2856000,3307000,4738000,4574000,4093000,5315000,5538000,10126000
10,Operating Expenses,20640000,22899000,24150000,28935000,41468000,53494000,70838000,83573000,101452000,121432000,138513000,139761000,148479000,162636000,198513000
11,COGS and Expenses,27019000,32107000,35865000,41561000,56834000,75534000,102619000,123564000,151495000,185778000,212138000,221509000,240718000,262472000,330191000
12,Interest Income ,- -,- -,- -,158000,89000,46000,112000,187000,197000,601000,1032000,2329000,2947000,1103000,- -
13,Interest Expense (Gain),439000,419000,270000,74000,- -,27000,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1729000,1963000,1445000,1533000,2647000,4918000,8051000,8570000,9572000,11336000,11782000,12686000,16438000,18665000,24914000
15,EBITDA,28000,581000,2968000,4583000,3731000,6288000,9788000,12682000,16647000,20186000,20922000,41026000,58508000,71345000,78455000
16,EBITDA ratio,0.0011,0.0189,0.0786,0.1028,0.0644,0.0816,0.0938,0.0991,0.1050,0.1044,0.0949,0.1653,0.2096,0.2282,0.2036
17,Operating Income,-1821000,-1410000,1881000,3036000,1135000,1572000,1772000,4383000,7023000,7517000,8428000,26731000,38406000,50158000,55085000
18,Operating Income ratio,-0.0723,-0.0459,0.0498,0.0681,0.0196,0.0204,0.0170,0.0343,0.0443,0.0389,0.0382,0.1077,0.1376,0.1604,0.1430
19,Total Other Income Expenses (Gains),-319000,-391000,-628000,-60000,-51000,-229000,-35000,-271000,52000,1333000,712000,1609000,3664000,2522000,-1544000
20,Income Before Tax,-2140000,-1801000,1253000,2976000,1084000,1343000,1737000,4112000,7075000,8850000,9140000,28340000,42070000,52680000,53541000
21,Income Before Tax Ratio,-0.0849,-0.0587,0.0332,0.0667,0.0187,0.0174,0.0166,0.0321,0.0446,0.0458,0.0414,0.1142,0.1507,0.1685,0.1390
22,Income Tax expense (Gain),16000,94000,91000,92000,-12619000,121000,686000,1408000,2436000,3140000,11580000,4468000,8358000,7094000,8944000
23,Net Income,-2156000,-1895000,1162000,2884000,13703000,1222000,1051000,2704000,4639000,5710000,-2440000,23872000,33712000,45586000,44597000
24,Net Income ratio,-0.0856,-0.0617,0.0308,0.0647,0.2364,0.0158,0.0101,0.0211,0.0293,0.0295,-0.0111,0.0962,0.1208,0.1458,0.1158
25,EPS,-3.30,-2.90,1.76,0.18,0.57,0.04,0.04,0.09,0.14,0.17,-0.07,0.69,0.96,1.29,1.24
26,EPS Diluted,-3.30,-2.90,0.06,0.13,0.54,0.04,0.04,0.08,0.14,0.17,-0.07,0.68,0.94,1.26,1.20
27,Weighted Average Shares Outstanding,654000,654000,657999,16072000,23920000,26112000,30402000,32472000,33130000,33894000,34366000,34392000,35024000,35226000,35961000
28,Weighted Average Shares Outstanding Diluted,19050000,19050000,18536000,23192000,25488000,27820000,31862000,33628000,34064000,34482000,34712000,35212000,36002000,36285000,37015000
