,https://roic.ai/company/OHI,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5900000,20800000,37800000,61400000,73127000,90820000,108738000,122375000,275793000,257618000,137111000,86267000,90451000,105812000,135693000,159558000,193762000,197438000,258321000,292204000,350460000,418714000,504787000,743617000,900827000,908385000,881682000,928830000,892381000,1062809000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7998000,653000,- -,- -,- -,- -,- -,- -,- -,14933000,12316000,12260000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193762000,197438000,250323000,291551000,- -,- -,- -,- -,- -,- -,- -,913897000,880065000,1050549000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,0.9690,0.9978,- -,- -,- -,- -,- -,- -,- -,0.9839,0.9862,0.9885
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,500000,1800000,2700000,3600000,4008000,4636000,5365000,6120000,6425000,10383000,6285000,5943000,6213000,8587000,13744000,11086000,- -,- -,- -,19432000,21330000,21588000,25888000,38568000,45867000,47683000,63508000,57869000,59889000,64628000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",500000,1800000,2700000,3600000,4008000,4636000,5365000,6120000,6425000,10383000,6285000,5943000,6213000,8587000,13744000,11086000,11701000,32374000,15054000,19432000,21330000,21588000,25888000,38568000,45867000,47683000,63508000,57869000,59889000,64628000
9,Other Expenses,-1200000,-4600000,-9400000,-16600000,13693000,16910000,21542000,24211000,296503000,229334000,- -,- -,- -,- -,- -,- -,71739000,47459000,84623000,106776000,- -,- -,- -,- -,- -,302171000,287968000,301683000,367921000,419747000
10,Operating Expenses,-700000,-2800000,-6700000,-13000000,17701000,21546000,26907000,30331000,302928000,239717000,- -,- -,- -,- -,- -,- -,83440000,79833000,99677000,126208000,- -,- -,- -,- -,- -,349854000,351476000,359552000,427810000,484375000
