,https://roic.ai/company/CPMD,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,589783,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,111783,200327,93562,91389,97102,89568,80311,1437204,11059883,1004891,6633,532772,2851340,4509670
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,76124,111783,200327,93562,91389,97102,89568,80311,1437204,11059883,1004891,6633,532772,2851340,4509670
9,Other Expenses,- -,- -,-87133,7006356,- -,227476,-1091389,- -,- -,- -,- -,399031,- -,- -,- -,129035,- -
10,Operating Expenses,- -,- -,-11009,7118139,200327,321038,-1000000,97102,89568,80311,2026987,11458914,1004891,6633,532772,2980375,- -
11,COGS and Expenses,- -,- -,-11009,7118139,200327,321038,-585600,97102,89568,80311,2026987,11458914,1004891,6633,532772,2980375,4638175
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,1402,4248,1263,4874,10196,2559,8499,14095,3946,2724,423,- -,2140052,4473137,2293858
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3020,12031,- -,- -,- -,129035,128505
15,EBITDA,- -,- -,-76124,-14348061,-200327,-93563,585600,-97102,-89568,-80311,-2023967,-11446883,-1000827,-6633,-532709,-2851340,-4509671
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,- -,11009,-7118139,-200327,113738,- -,-97102,-89568,-80311,-3974487,- -,-1004891,-6633,-954317,-15977943,-14486172
18,Operating Income ratio,- -,- -,Infinity,-Infinity,-Infinity,Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,-1402,14232030,-1263,-4875,-10196,-2559,-8499,-14095,-3946,-284018,3641,- -,-2139989,-4473137,-5404100
20,Income Before Tax,- -,- -,9607,7113891,-201590,108863,575404,-99661,-98067,-94406,-3978433,-11742932,-1001250,-6633,-3094306,-20451080,-19890272
21,Income Before Tax Ratio,- -,- -,Infinity,Infinity,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,9607,7113891,-201590,108863,575404,-99661,-98067,-94406,-3978433,-11742932,-1001250,-6633,-3094306,-20451080,-19890272
24,Net Income ratio,- -,- -,Infinity,Infinity,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,- -,0.01,3.45,-0.09,0.05,0.24,-0.04,-0.04,-0.04,-0.36,-0.77,-0.06,-0.00,-0.17,-0.66,-0.49
26,EPS Diluted,- -,- -,0.01,3.45,-0.09,0.05,0.24,-0.04,-0.04,-0.04,-0.36,-0.77,-0.06,-0.00,-0.17,-0.66,-0.49
27,Weighted Average Shares Outstanding,- -,- -,831863,2063034,2294287,2294287,2359475,2384407,2384407,2384407,11068869,15338352,17960741,17960741,17963431,31174936,40699951
28,Weighted Average Shares Outstanding Diluted,- -,- -,831863,2063034,2294287,2294287,2359475,2384407,2384407,2384407,11068869,15338352,17960741,17960741,17963431,31174936,40699951
29,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1081938/000107258809000109/0001072588-09-000109-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1081938/000107258812000034/0001072588-12-000034-index.html,https://www.sec.gov/Archives/edgar/data/1081938/000106594913000038/0001065949-13-000038-index.html,https://www.sec.gov/Archives/edgar/data/1081938/000107258814000014/0001072588-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000119312515113552/0001193125-15-113552-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000168316818002697/0001683168-18-002697-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000168316818002736/0001683168-18-002736-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000168316818002744/0001683168-18-002744-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000168316819002603/0001683168-19-002603-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000168316820002022/0001683168-20-002022-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000168316821001389/0001683168-21-001389-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,5979,- -,- -,100,25,25,- -,1605239,2621,- -,- -,464118,1547,334969
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,5979,- -,- -,100,25,25,- -,1605239,2621,- -,- -,464118,1547,334969
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28361,551
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,198,208,- -,- -,- -,- -,- -,- -,44102,9438,1667,- -,134689,1901303,132031
37,Total Current Assets,- -,- -,198,6187,- -,- -,100,25,25,- -,1649341,12059,1667,- -,598807,1931211,467551
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97701,- -,- -,- -,1563260,1688097,1568750
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6065014,6370333,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1871000,1834176,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7936014,8204509,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4193597,6711289
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147701,- -,- -,- -,9499274,14086203,8280039
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,198,6187,- -,- -,100,25,25,- -,1797042,12059,1667,- -,10098081,16017414,8747590
48,Accounts Payable,- -,- -,1710072,94366,150390,174830,- -,24857,43511,52206,137772,456601,599575,604542,775203,1057145,2447848
49,Short-Term Debt,- -,- -,4508212,407779,241646,299685,- -,72029,142943,213934,- -,- -,19758,19758,4779183,2071202,10001065
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,1727858,89040,293131,101789,- -,2700,11199,25894,1802500,240000,340000,340000,408052,823986,5100277
53,Total Current Liabilities,- -,- -,7946142,591185,685167,576304,- -,99586,197653,292034,1940272,696601,959333,964300,5962438,3952333,17549190
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4421942,7210883,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,210000,- -,- -,- -,- -,- -,- -,145000,- -,1,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,210000,- -,- -,- -,- -,- -,- -,145000,- -,1,- -,4421942,7210883,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,199876,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,7946142,591185,685167,576304,- -,99586,197653,292034,2085272,696601,959334,964300,10384380,11163216,17549190
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000,535000,535000
63,Common Stock,- -,- -,1113,1137,1148,1148,239,239,239,239,1737,1796,1796,1796,1894,3649,4699
64,Retained Earnings,- -,- -,-24471349,-17357458,-17559048,-17450185,-16874781,-16974442,-17072509,-17166915,-21145348,-32888280,-33889530,-33896163,-36990469,-57441549,-77331820
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000,- -,- -,- -,- -,137696,-345714
66,Other Total Stockholders Equity,- -,- -,- -,16771323,16872733,16872733,16874642,16874642,16874642,16874642,20905381,32201942,32930067,32930067,36642276,61619402,68336236
67,Total Stockholders Equity,- -,- -,-7945944,-584998,-685167,-576304,100,-99561,-197628,-292034,-288230,-684542,-957667,-964300,-286299,4854198,-8801599
68,Total Liabilities And Stockholders Equity,- -,- -,198,6187,- -,- -,- -,25,25,- -,1797042,12059,1667,- -,10098081,16017414,8747591
69,Minority Interest,- -,- -,- -,- -,- -,- -,100,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1
70,Total Liabilities & Equity,- -,- -,198,6187,- -,- -,100,25,25,- -,1797042,12059,1667,- -,10098081,16017414,8747590
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1081938/000107258809000109/0001072588-09-000109-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1081938/000107258812000034/0001072588-12-000034-index.html,https://www.sec.gov/Archives/edgar/data/1081938/000106594913000038/0001065949-13-000038-index.html,https://www.sec.gov/Archives/edgar/data/1081938/000107258814000014/0001072588-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000119312515113552/0001193125-15-113552-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000168316818002697/0001683168-18-002697-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000168316818002736/0001683168-18-002736-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000168316818002744/0001683168-18-002744-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000168316819002603/0001683168-19-002603-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000168316820002022/0001683168-20-002022-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000168316821001389/0001683168-21-001389-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,9607,7113891,-201590,108863,575404,-99661,-98067,-94406,-3978433,-11742932,-1001250,-6633,-3094306,-20451080,-19890272
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3020,12031,- -,- -,- -,129035,128505
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,579565,7435004,728125,- -,27707,736186,820379
77,Change in Working Capital,- -,- -,-9607,7360946,-100169,108863,576404,-99661,-98067,-94406,1103,-393611,-273124,-6634,-4399331,3342509,-15060517
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,24440,31389,24857,18655,8694,290566,319735,7771,4966,120100,371228,1706783
81,Other Working Capital,- -,- -,-9607,-584998,-685167,-576304,100,-99561,-197628,-292034,-290931,-684542,-957666,-964300,-5363631,-2021122,-17081639
82,Other Non-Cash Items,- -,- -,- -,-14581665,239276,-286849,-1211808,187218,185221,177795,1853639,2140749,523869,13267,6524794,12448579,33438332
83,Cash Provided by Operating Activities,- -,- -,- -,-106828,-62483,-69123,-60000,-12104,-10913,-11017,-1541106,-2548759,-22380,- -,-941136,-3794771,-563573
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100721,-2078,- -,- -,- -,-46937,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,100,- -,- -,- -,-50000,50000,- -,- -,-726746,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87748,- -,- -,- -,-42163,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,100,- -,- -,- -,-150721,135670,- -,- -,-726746,-46937,- -
