,https://roic.ai/company/MRSN,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,10359000,25171000,17545000,10594000,42123000,828000,43000
2,COGS,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,828,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.0010,- -
5,Research and Development Exp.,21353000,32008000,46700000,59915000,55040000,67036000,132013000
6,General and Administrative Exp.,5347000,6984000,10462000,16334000,17283000,21902000,36888000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5347000,6984000,10462000,16334000,17283000,21902000,36888000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,26700000,38992000,57162000,76249000,72323000,88938000,168901000
11,COGS and Expenses,26700000,38992000,57162000,76249000,72323000,88938000,168901000
12,Interest Income ,2000,121000,910000,1398000,2226000,424000,65000
13,Interest Expense (Gain),- -,- -,- -,- -,234000,359000,1267000
14,Depreciation and Amortization,297000,655000,928000,1257000,1245000,1010000,855000
15,EBITDA,-16131000,-13045000,-37779000,-63000000,-26729000,-86676000,-167938000
16,EBITDA ratio,-1.5572,-0.5183,-2.1533,-5.9468,-0.6345,-104.6812,-3905.5349
17,Operating Income,-16341000,-13821000,-39617000,-65655000,-30200000,-88110000,-170060
18,Operating Income ratio,-1.5775,-0.5491,-2.2580,-6.1974,-0.7169,-106.4130,-3.9549
19,Total Other Income Expenses (Gains),-87000,121000,910000,1398000,1992000,65000,-169889940
20,Income Before Tax,-16428000,-13700000,-38707000,-64257000,-28208000,-88045000,-170060000
21,Income Before Tax Ratio,-1.5859,-0.5443,-2.2062,-6.0654,-0.6697,-106.3345,-3954.8837
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -
23,Net Income,-16428000,-13700000,-38707000,-64257000,-28208000,-88045000,-170060000
24,Net Income ratio,-1.5859,-0.5443,-2.2062,-6.0654,-0.6697,-106.3345,-3954.8837
25,EPS,-0.94,-1.01,-3.22,-2.79,-0.65,-1.43,-0.00
26,EPS Diluted,-0.94,-1.01,-3.22,-2.79,-0.65,-1.43,-0.00
27,Weighted Average Shares Outstanding,17493146,13585523,12022733,23032250,43492113,61485205,71753004
28,Weighted Average Shares Outstanding Diluted,17493146,13585523,12022733,23032250,43492113,61485205,71753004
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1442836/000155837018002479/0001558370-18-002479-index.htm,https://www.sec.gov/Archives/edgar/data/1442836/000155837019001720/0001558370-19-001720-index.htm,https://www.sec.gov/Archives/edgar/data/1442836/000155837020001726/0001558370-20-001726-index.htm,https://www.sec.gov/Archives/edgar/data/1442836/000162828021003370/0001628280-21-003370-index.htm,https://www.sec.gov/Archives/edgar/data/1442836/000162828022004101/0001628280-22-004101-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,11534000,100297000,26591000,59634000,62351000,255094000,177947000
32,Short-Term Investments,- -,- -,88143000,10497000,37439000,- -,- -
33,Cash and Short-Term Investments,11534000,100297000,114734000,70131000,99790000,255094000,177947000
34,Net Receivables,640000,1051000,784000,459000,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,580000,825000,2025000,3715000,1536000,3486000,10951000
37,Total Current Assets,12754000,102173000,117543000,74305000,101326000,258580000,188898000
38,PP&E,1284000,2483000,2319000,2694000,4762000,12666000,14857000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,10482000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,371000,431000,371000,1503000,1453000,2153000,2356000
45,Total Non-Current Assets,1655000,2914000,13172000,4197000,6215000,14819000,17213000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14409000,105087000,130715000,78502000,107541000,273399000,206111000
48,Accounts Payable,2025000,2068000,3070000,10727000,7296000,8340000,12321000
49,Short-Term Debt,- -,- -,- -,- -,667000,667000,2303000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,7054000,22731000,21635000,46196000,4815000,3987000,3944000
52,Other Current Liabilities,1656000,3587000,7176000,12502000,11292000,17009000,28955000
53,Total Current Liabilities,10735000,28386000,31881000,69425000,24070000,30003000,47523000
54,Long-Term Debt,- -,- -,- -,- -,4201000,4977000,35873000
55,Deferred Revenue,10070000,37571000,28773000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,36296000,94749000,67000,282000,952000,10332000,974000
58,Total Non-Current Liabilities,46366000,132320000,28840000,282000,5153000,15309000,36847000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,2896000,11595000,13550000
61,Total Liabilities,57101000,160706000,60721000,69707000,29223000,45312000,84370000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,3000,3000,5000,7000,7000
64,Retained Earnings,-45471000,-59171000,-97878000,-164166000,-192374000,-280419000,-450479000
65,Other Comprehensive Income/Loss,-3557000,-4212000,-5140000,-6361000,-7209000,- -,- -
66,Other Total Stockholders Equity,6335000,7763000,173009000,179319000,277896000,508499000,572213000
67,Total Stockholders Equity,-42692000,-55619000,69994000,8795000,78318000,228087000,121741000
68,Total Liabilities And Stockholders Equity,14409000,105087000,130715000,78502000,107541000,273399000,206111000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,14409000,105087000,130715000,78502000,107541000,273399000,206111000
