,https://roic.ai/company/GXO,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,6065000000,6094000000,6195000000,7940000000
2,COGS,5117000000,5112000000,5169000000,6637000000
3,Gross Profit,948000000,982000000,1026000000,1303000000
4,Gross Profit Ratio,0.1563,0.1611,0.1656,0.1641
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,537000000,515000000,658000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",537000000,515000000,658000000,714000000
9,Other Expenses,252000000,301000000,276000000,335000000
10,Operating Expenses,789000000,816000000,934000000,1049000000
11,COGS and Expenses,5906000000,5928000000,6103000000,7686000000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),30000000,33000000,24000000,21000000
14,Depreciation and Amortization,261000000,302000000,323000000,335000000
15,EBITDA,397000000,432000000,332000000,501000000
16,EBITDA ratio,0.0655,0.0709,0.0536,0.0631
17,Operating Income,143000000,150000000,16000000,151000000
18,Operating Income ratio,0.0236,0.0246,0.0026,0.0190
19,Total Other Income Expenses (Gains),-17000000,-32000000,-22000000,2000000
20,Income Before Tax,126000000,118000000,-6000000,153000000
21,Income Before Tax Ratio,0.0208,0.0194,-0.0010,0.0193
22,Income Tax expense (Gain),36000000,37000000,16000000,-8000000
23,Net Income,70000000,60000000,-31000000,153000000
24,Net Income ratio,0.0115,0.0098,-0.0050,0.0193
25,EPS,0.61,0.52,-0.27,1.40
26,EPS Diluted,0.61,0.52,-0.27,1.40
27,Weighted Average Shares Outstanding,114602061,114602061,114602061,115000000
28,Weighted Average Shares Outstanding Diluted,114602061,114602061,114602061,115000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1852244/000185224422000010/0001852244-22-000010-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,200000000,328000000,333000000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,200000000,328000000,333000000
34,Net Receivables,- -,1069000000,1224000000,1507000000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,- -,219000000,284000000,259000000
37,Total Current Assets,- -,1488000000,1836000000,2099000000
38,PP&E,- -,2200000000,2204000000,2635000000
39,Goodwill,- -,1984000000,2063000000,2017000000
40,Intangible Assets,- -,343000000,299000000,257000000
