,https://roic.ai/company/TWER,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,6296218,6883343,10656081,14915435,19645893,26494737,32279430,33433284,33036153,27905023,26895613,26212550,24604310
2,COGS,- -,1636820,2469065,4076100,3690089,4887881,8172316,16379186,22937828,24520028,10603845,15479628,15013065,20712343
3,Gross Profit,- -,4659398,4414278,6579981,11225346,14758012,18322421,15900244,10495456,8516125,17301178,11415985,11199485,3891967
4,Gross Profit Ratio,- -,0.7400,0.6413,0.6175,0.7526,0.7512,0.6915,0.4926,0.3139,0.2578,0.6200,0.4245,0.4273,0.1582
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,9028902,9076054,9948035,13020259,16877596,14832611,15132542,14383302,9635971,7932610,5543130
7,Selling and Marketing Exp.,- -,- -,- -,7692268,5545714,5088085,5328372,6134020,5779500,5570191,5864267,3936915,3883438,1966369
8,"Selling, General and Administrative Exp.",- -,3636376,11346932,16721170,14621768,15036120,18348631,23011616,20612111,20702733,20247569,13572886,11816048,7509499
9,Other Expenses,1757,1713526,1879515,3222716,4035267,5770335,9138318,13634294,15351441,13639415,9643583,10875935,6734987,- -
10,Operating Expenses,1757,5349902,13226447,19943886,18657035,20806455,27486949,36645910,35963552,34342148,29891152,24448821,18551035,7509499
11,COGS and Expenses,1757,6986722,15695512,24019986,22347124,25694336,35659265,53025096,58901380,58862176,40494997,39928449,33564100,28221842
12,Interest Income ,- -,- -,1460825,578373,26605,4411,57544,41531,2893,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,237071,974774,509593,740409,489,22058,105245,220634,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,1206250,2483666,3222716,4035267,5770335,9138318,13634294,15351441,13639415,9643583,10875935,6734988,6437050
15,EBITDA,-1757,631790,-5043285,-9645110,-3849574,167817,2253287,-7123780,-9124683,-13873803,-30876781,-9503898,-5818534,-4110001
16,EBITDA ratio,-Infinity,0.1003,-0.7327,-0.9051,-0.2581,0.0085,0.0850,-0.2207,-0.2729,-0.4200,-1.1065,-0.3534,-0.2220,-0.1670
17,Operating Income,- -,- -,-8812169,-13363905,-7431689,-6048443,-9164528,-20745666,-25468096,-25826023,-12589974,-13532836,-7351550,-3617532
18,Operating Income ratio,- -,- -,-1.2802,-1.2541,-0.4983,-0.3079,-0.3459,-0.6427,-0.7618,-0.7818,-0.4512,-0.5032,-0.2805,-0.1470
19,Total Other Income Expenses (Gains),- -,- -,-175607,-82294,-479757,441514,2257439,-117653,771338,-1687195,-6652786,-6605222,-5201972,-6929519
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-6907089,-20863319,-24696758,-27513218,-19242760,-20138058,-12553522,-10547051
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-0.2607,-0.6463,-0.7387,-0.8328,-0.6896,-0.7487,-0.4789,-0.4287
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,118018,126256,78531,78532,-37562,56663,-83840,-336598
23,Net Income,-9221,-811531,-8501725,-13377419,-8625250,-5603007,-7025107,-20989575,-24775289,-27591750,-40482802,-20436496,-12469682,-10210453
24,Net Income ratio,-Infinity,-0.1289,-1.2351,-1.2554,-0.5783,-0.2852,-0.2652,-0.6502,-0.7410,-0.8352,-1.4507,-0.7598,-0.4757,-0.4150
25,EPS,-4.09,-30.00,-435.01,-585.01,-375.01,-240.01,-225.01,-585.01,-570.01,-615.02,-900.02,-276.76,-43.01,-30.55
26,EPS Diluted,-4.09,-30.00,-435.01,-585.01,-375.01,-240.01,-225.01,-585.01,-570.01,-615.02,-900.02,-276.76,-43.01,-30.55
27,Weighted Average Shares Outstanding,2252,2966,19495,23028,23070,23750,31669,36288,43452,44534,45286,79966,334234,334234
28,Weighted Average Shares Outstanding Diluted,2252,2966,19495,23028,23070,23750,31669,36288,43452,44534,45286,79966,334234,334234
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1349437/000114420407012386/0001144204-07-012386-index.htm,https://www.sec.gov/Archives/edgar/data/1349437/000114420408016356/0001144204-08-016356-index.htm,https://www.sec.gov/Archives/edgar/data/1349437/000114420409014809/0001144204-09-014809-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000114420410014092/0001144204-10-014092-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000114420411015571/0001144204-11-015571-index.htm,https://www.sec.gov/Archives/edgar/data/1349437/000114420412014858/0001144204-12-014858-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000114420413015859/0001144204-13-015859-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000143774914004347/0001437749-14-004347-index.htm,https://www.sec.gov/Archives/edgar/data/1349437/000143774915004899/0001437749-15-004899-index.htm,https://www.sec.gov/Archives/edgar/data/1349437/000143774916028047/0001437749-16-028047-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000143774917005741/0001437749-17-005741-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000143774918006024/0001437749-18-006024-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000143774919006265/0001437749-19-006265-index.html
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,160363,40756865,24740268,14040839,23173352,44672587,15152226,28181531,38027509,15116531,12272444,7568982,4173070
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,160363,40756865,24740268,14040839,23173352,44672587,15152226,28181531,38027509,15116531,12272444,7568982,4173070
34,Net Receivables,- -,157443,184621,279399,403073,482854,592539,609302,611548,1310647,308551,505074,912333,538103
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,72225,25202,736156,319325,258307,372895,622505,943420,925587,926699,7037705,666422,242320,600482
37,Total Current Assets,72225,343008,41677642,25338992,14702219,24029101,45887631,16704948,29718666,40264855,22462787,13443940,8723635,5311655
38,PP&E,- -,3758585,8518750,12890779,13634685,15266056,27531273,41982210,38484858,33905286,21235384,15252357,13430980,10078151
39,Goodwill,- -,- -,- -,- -,- -,1724571,1674281,1674281,1674281,1674281,1674281,1674281,1674281,1674281
40,Intangible Assets,- -,350000,475000,875000,975000,3366965,7959761,4548177,3088827,2199858,1273030,3652490,2242471,963210
41,Intangible Assets,- -,350000,475000,875000,975000,5091536,9634042,6222458,4763108,3874139,2947311,5326771,3916752,2637491
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
