,https://roic.ai/company/FRSX,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,120000
2,COGS,- -,- -,- -,- -,- -,- -,- -,67000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,53000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.4417
5,Research and Development Exp.,214693,131000,902875,4089000,8638000,10210000,8563000,10170000
6,General and Administrative Exp.,32101,26000,3568606,3753000,3696000,3469000,3005000,3980000
7,Selling and Marketing Exp.,- -,- -,223314,1015000,987000,1350000,1268000,1848000
8,"Selling, General and Administrative Exp.",32101,26000,3791920,4768000,4683000,4819000,4273000,5828000
9,Other Expenses,-0,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,246794,157000,4694795,8857000,13321000,15029000,12836000,15998000
11,COGS and Expenses,246794,157000,13179431,8857000,13321000,15029000,12836000,16065000
12,Interest Income ,- -,- -,4160,39000,1569000,429000,- -,887000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,10139,49000,235000,259000,254000,159000
15,EBITDA,-246794,-157000,-13348932,-1528000,-14474000,-15046000,-12667000,-14877000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-123.9750
17,Operating Income,-246794,-157000,-13283419,-8857000,-13321000,-15029000,12836000,-15945000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-132.8750
19,Total Other Income Expenses (Gains),- -,- -,-62393,-7085000,-1336000,-410000,-28211000,909000
20,Income Before Tax,-246794,-157000,-13345812,-15942000,-14657000,-15439000,-15375000,-15036000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-125.3000
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-246794,-157000,-13345812,-15942000,-14657000,-15439000,-15375000,-15036000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-125.3000
25,EPS,-0.02,-0.02,-0.99,-0.85,-0.56,-0.50,-0.24,-0.25
26,EPS Diluted,-0.02,-0.02,-0.99,-0.85,-0.56,-0.50,-0.24,-0.25
27,Weighted Average Shares Outstanding,13601384,7176800,13462200,18880200,26387080,30929920,62552061,64271200
28,Weighted Average Shares Outstanding Diluted,13601384,7176800,13462200,18880200,26387080,30929920,62552061,64271200
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,3362710,9636000,3158000,4827000,38772000,28073000
32,Short-Term Investments,- -,- -,428950,14552000,12874000,5256000,5208000,17525000
33,Cash and Short-Term Investments,- -,- -,3791660,24188000,16032000,10083000,43980000,45598000
34,Net Receivables,- -,- -,103468,288000,264000,274000,204000,375000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,194000,207000,339000,197000,400000
37,Total Current Assets,- -,- -,3895128,24670000,16503000,10696000,44381000,46373000
38,PP&E,- -,- -,67332,289000,787000,1909000,1531000,3097000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,1252535,3076000,7568000,6729000,4011000,4011000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,1319867,3365000,8355000,8638000,5542000,7108000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,5214995,28035000,24858000,19334000,49923000,53481000
48,Accounts Payable,- -,- -,457027,330000,344000,498000,391000,253000
49,Short-Term Debt,- -,- -,- -,- -,- -,411000,427000,587000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,817000,947000,1130000,1207000,1865000
53,Total Current Liabilities,- -,- -,457027,1147000,1291000,2039000,2025000,2705000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,2143000
55,Deferred Revenue,- -,309966,394374,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,2071000,- -,1007000,853000,- -
58,Total Non-Current Liabilities,- -,309966,394374,2071000,- -,1007000,853000,2143000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,1418000,1280000,2730000
61,Total Liabilities,- -,309966,851401,3218000,1291000,3046000,2878000,4848000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,256,15273748,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-1665104,-15035616,-19297000,-33954000,-49393000,-64768000,-79804000
65,Other Comprehensive Income/Loss,- -,1354882,2198825,-63000,-295000,-485000,-733000,- -
66,Other Total Stockholders Equity,- -,-0,1926637,44177000,57816000,66166000,112546000,- -
67,Total Stockholders Equity,- -,-309966,4363594,24817000,23567000,16288000,46971000,48405000
68,Total Liabilities And Stockholders Equity,- -,- -,5214995,28035000,24858000,19334000,49849000,53253000
69,Minority Interest,- -,- -,- -,- -,- -,- -,74000,228000
70,Total Liabilities & Equity,- -,- -,5214995,28035000,24858000,19334000,49923000,53481000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-246794,-157000,-13345812,-15942000,-14657000,-15439000,-15375000,-15036000
74,Depreciation and Amortization,- -,- -,10139,49000,235000,259000,254000,159000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,1967712,2455000,2040000,- -,1162000,2464000
77,Change in Working Capital,- -,315857,757292,312000,155000,335000,-92000,221000
78,Accounts Receivable,- -,- -,-15078,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,334061,226000,14000,154000,-296000,-138000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,-315857,8178131,8053000,754000,14845000,2556000,67000
83,Cash Provided by Operating Activities,-246794,-157000,-2432538,-5073000,-11473000,- -,-11495000,-12125000
84,CAPEX,- -,- -,-72532,-271000,-733000,-103000,-50000,-235000
85,Acquisitions Net,- -,- -,-1338325,- -,-5065000,- -,- -,- -
86,Purchases of Investments,- -,- -,-454687,-11779000,-337000,- -,- -,-12347000
87,Sales/Maturities of Investments,- -,- -,127385,- -,- -,- -,135000,- -
88,Other Investing Activites,- -,- -,-0,- -,- -,7294000,- -,- -
89,Cash Used for Investing Activites,- -,- -,-1738158,-12050000,-6135000,7191000,85000,-12582000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,6261634,10745000,11208000,- -,45017000,13508000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,246794,157000,1271772,12650000,159000,6521000,263000,652000
95,Cash Used/Provided by Financing Activities,246794,157000,7533406,23395000,11367000,6521000,45280000,14160000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-237000,-182000,75000,-37000
97,Net Change In Cash,- -,- -,- -,6272000,-6478000,1669000,33945000,-10584000
98,Cash at the End of Period,- -,- -,3362710,9636000,3158000,- -,38772000,28188000
99,Cash at the Beginning of Period,- -,- -,- -,3364000,9636000,- -,4827000,38772000
100,Free Cash Flow,-246794,-157000,-2505069,-5344000,-12206000,- -,-11545000,-12360000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,
