,https://roic.ai/company/ROKU,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,319857000,398649000,512763000,742506000,1128921000,1778388000,2764584000
2,COGS,230079000,277604000,312930000,410358000,633697000,970169000,1355984000
3,Gross Profit,89778000,121045000,199833000,332148000,495224000,808219000,1408600000
4,Gross Profit Ratio,0.2807,0.3036,0.3897,0.4473,0.4387,0.4545,0.5095
5,Research and Development Exp.,50469000,76177000,107945000,170692000,265011000,355784000,461602000
6,General and Administrative Exp.,31708000,35341000,47435000,71972000,116417000,173231000,256297000
7,Selling and Marketing Exp.,45153000,52888000,64069000,102780000,178855000,299457000,455601000
8,"Selling, General and Administrative Exp.",76861000,88229000,111504000,174752000,295272000,472688000,711898000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,127330000,164406000,219449000,345444000,560283000,828472000,1173500000
11,COGS and Expenses,357409000,442010000,532379000,755802000,1193980000,1798641000,2529484000
12,Interest Income ,- -,146000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),696000,146000,1612000,346000,2366000,3432000,2980000
14,Depreciation and Amortization,2555000,5302000,5336000,8389000,15669000,87341000,73645000
15,EBITDA,-37213000,-37099000,-56246000,-598000,-42884000,72321000,313212000
16,EBITDA ratio,-0.1163,-0.0931,-0.1097,-0.0008,-0.0380,0.0407,0.1133
17,Operating Income,-37552000,-43361000,-19616000,-13296000,-65059000,-20253000,235100000
18,Operating Income ratio,-0.1174,-0.1088,-0.0383,-0.0179,-0.0576,-0.0114,0.0850
19,Total Other Income Expenses (Gains),-2912000,814000,-43578000,3963000,4140000,1801000,1487000
20,Income Before Tax,-40464000,-42547000,-63194000,-9333000,-60919000,-18452000,236587000
21,Income Before Tax Ratio,-0.1265,-0.1067,-0.1232,-0.0126,-0.0540,-0.0104,0.0856
22,Income Tax expense (Gain),147000,211000,315000,-476000,-982000,-945000,-5798000
23,Net Income,-40611000,-42758000,-63509000,-8857000,-59937000,-17507000,242385000
24,Net Income ratio,-0.1270,-0.1073,-0.1239,-0.0119,-0.0531,-0.0098,0.0877
25,EPS,-0.47,-0.51,-2.24,-0.08,-0.52,-0.14,1.83
26,EPS Diluted,-0.47,-0.51,-2.24,-0.08,-0.52,-0.14,1.71
27,Weighted Average Shares Outstanding,85710166,85590081,28308000,104618000,115218000,123978000,132710000
28,Weighted Average Shares Outstanding Diluted,85710166,85590081,28308000,104618000,115218000,123978000,141668000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1428439/000156459018004134/0001564590-18-004134-index.htm,https://www.sec.gov/Archives/edgar/data/1428439/000156459019005829/0001564590-19-005829-index.htm,https://www.sec.gov/Archives/edgar/data/1428439/000156459020007916/0001564590-20-007916-index.htm,https://www.sec.gov/Archives/edgar/data/1428439/000156459021009021/0001564590-21-009021-index.htm,https://www.sec.gov/Archives/edgar/data/1428439/000142843922000010/0001428439-22-000010-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,75748000,34562000,177250000,155564000,515479000,1092815000,2146043000
32,Short-Term Investments,- -,- -,- -,42146000,- -,- -,- -
33,Cash and Short-Term Investments,75748000,34562000,177250000,197710000,515479000,1092815000,2146043000
34,Net Receivables,53455000,79473000,120553000,183078000,332673000,523852000,752393000
35,Inventory,30312000,43568000,32740000,35585000,49714000,53895000,50276000
36,Other Current Assets,5417000,7617000,14374000,16562000,27797000,27078000,105795000
37,Total Current Assets,164932000,165220000,344917000,432935000,925663000,1697640000,3054507000
38,PP&E,7886000,9528000,14736000,25264000,386553000,421394000,523227000
39,Goodwill,- -,- -,1382000,1382000,74116000,73058000,161519000
40,Intangible Assets,- -,- -,2030000,1477000,76668000,62181000,84126000
41,Intangible Assets,- -,- -,3412000,2859000,150784000,135239000,245645000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3693000,4330000,8832000,3939000,7234000,16269000,258766000
45,Total Non-Current Assets,11579000,13858000,26980000,32062000,544571000,572902000,1027638000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,176511000,179078000,371897000,464997000,1470234000,2270542000,4082145000
48,Accounts Payable,34202000,31397000,56413000,56576000,115227000,112314000,124921000
49,Short-Term Debt,- -,- -,- -,- -,4866000,4874000,46999000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,14585000,23952000,34501000,48566000,42530000,55465000,45760000
52,Other Current Liabilities,27687000,61156000,72344000,88862000,195678000,347668000,511939000
53,Total Current Liabilities,76474000,116505000,163258000,194004000,358301000,520321000,729619000
54,Long-Term Debt,15000000,- -,- -,- -,94742000,89868000,474709000
55,Deferred Revenue,18665000,29084000,48511000,19594000,15370000,21283000,28726000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,226108000,227313000,7849000,6748000,303395000,311055000,82485000
58,Total Non-Current Liabilities,259773000,256397000,56360000,26342000,413507000,422206000,585920000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,319590000,343583000,431840000
61,Total Liabilities,336247000,372902000,219618000,220346000,771808000,942527000,1315539000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,10000,11000,12000,13000,14000
64,Retained Earnings,-177071000,-219829000,-283338000,-253896000,-313833000,-332406000,-90021000
65,Other Comprehensive Income/Loss,-4863000,-7814000,-12780000,-19680000,-32412000,29000,41000
66,Other Total Stockholders Equity,22198000,33819000,448387000,518216000,1044659000,1660379000,2856572000
67,Total Stockholders Equity,-159736000,-193824000,152279000,244651000,698426000,1328015000,2766606000
68,Total Liabilities And Stockholders Equity,176511000,179078000,371897000,464997000,1470234000,2270542000,4082145000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,176511000,179078000,371897000,464997000,1470234000,2270542000,4082145000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1428439/000156459018004134/0001564590-18-004134-index.htm,https://www.sec.gov/Archives/edgar/data/1428439/000156459019005829/0001564590-19-005829-index.htm,https://www.sec.gov/Archives/edgar/data/1428439/000156459020007916/0001564590-20-007916-index.htm,https://www.sec.gov/Archives/edgar/data/1428439/000156459021009021/0001564590-21-009021-index.htm,https://www.sec.gov/Archives/edgar/data/1428439/000142843922000010/0001428439-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-40611000,-42758000,-63509000,-8857000,-59937000,-17507000,242385000
74,Depreciation and Amortization,2555000,5302000,5336000,8389000,15669000,87341000,73645000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,5284000,8206000,10953000,37674000,85175000,134076000,187532000
77,Change in Working Capital,-4363000,132944000,57272000,328431000,609957000,1116398000,-370046000
78,Accounts Receivable,-14118000,-26492000,-41184000,-50673000,-110225000,-196046000,-221768000
79,Inventory,-3754000,-13256000,10828000,-2953000,-14129000,-4181000,3619000
80,Accounts Payable,4724000,-2808000,24315000,-98000,9409000,6410000,8428000
81,Other Working Capital,48715000,181659000,238931000,567362000,1177319000,2293717000,-7224000
