,https://roic.ai/company/ET,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,2346957000,6168798000,7859096000,6792037000,9293367000,5417295000,6598132000,8240703000,16964000000,48335000000,55691000000,42126000000,37504000000,40523000000,54087000000,54213000000,38954000000,67417000000
2,COGS,1981424000,5701069000,6991305000,5078206000,7719911000,3122056000,4895883000,6101917000,13959000000,43867000000,50113000000,36088000000,31015000000,33520000000,44517000000,42874000000,29165000000,54212000000
3,Gross Profit,365533000,467729000,867791000,1713831000,1573456000,2295239000,1702249000,2138786000,3005000000,4468000000,5578000000,6038000000,6489000000,7003000000,9570000000,11339000000,9789000000,13205000000
4,Gross Profit Ratio,0.1557,0.0758,0.1104,0.2523,0.1693,0.4237,0.2580,0.2595,0.1771,0.0924,0.1002,0.1433,0.1730,0.1728,0.1769,0.2092,0.2513,0.1959
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,200181000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,818000000
9,Other Expenses,234727000,169808000,292251000,904495000,274372000,1184841000,665520000,903967000,1645000000,2396000000,2738000000,3300000000,3503000000,3251000000,3791000000,3988000000,3929000000,3574000000
10,Operating Expenses,234727000,169808000,292251000,904495000,474553000,1184841000,665520000,903967000,1645000000,2396000000,2738000000,3300000000,3503000000,3251000000,3791000000,3988000000,3929000000,4392000000
11,COGS and Expenses,2216151000,5870877000,7283556000,5982701000,8194464000,4306897000,5561403000,7005884000,15604000000,46263000000,52851000000,39388000000,34518000000,36771000000,48308000000,46862000000,33094000000,58604000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,357541000,468420000,624887000,739811000,1018000000,1221000000,1369000000,1643000000,1832000000,1922000000,2055000000,2331000000,2327000000,2267000000
14,Depreciation and Amortization,58491000,111697000,133595000,198074000,274372000,325024000,431199000,611809000,871000000,1313000000,1724000000,2079000000,2359000000,2554000000,2859000000,3147000000,3678000000,3817000000
15,EBITDA,511500000,262840000,263750000,528825000,1010765000,1245146000,1262582000,1678314000,2247000000,2823000000,4083000000,4811000000,4969000000,3597000000,6612000000,9265000000,5594000000,11738000000
16,EBITDA ratio,0.2179,0.0426,0.0336,0.0779,0.1088,0.2298,0.1914,0.2037,0.1325,0.0584,0.0733,0.1142,0.1325,0.0888,0.1222,0.1709,0.1436,0.1741
