,https://roic.ai/company/VPRB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,6303,- -,- -,- -,- -,- -,810,340,1580680,3610380,4613300,5256140,3966777
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,150,1099820,2398240,2697940,3545170,2272925
3,Gross Profit,- -,6303,- -,- -,- -,- -,- -,- -,190,480860,1212140,1915360,1710970,1693852
4,Gross Profit Ratio,- -,1.0000,- -,- -,- -,- -,- -,- -,0.5588,0.3042,0.3357,0.4152,0.3255,0.4270
5,Research and Development Exp.,71,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,40044,3788,8471,5396,6096,- -,71855,72515,682466,- -,- -,- -,1710634
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",34634,40044,3788,8471,5396,6096,- -,91943,93643,808609,2100901,1905881,2398387,1710634
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,5328697,- -,- -,- -,- -,- -,- -
10,Operating Expenses,34705,40044,- -,- -,5396,6096,- -,5420640,93643,808609,2100901,1905881,2398387,1710634
11,COGS and Expenses,34705,40044,3788,8471,- -,- -,- -,5420640,93790,1908430,4987760,5129700,5943550,3983559
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,336973,541610,491594,546997
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,5325258,- -,25444,15690,30237,18124,- -
15,EBITDA,-34705,-40044,-3788,-8471,- -,- -,- -,-94572,-93450,-350286,-1259147,-401893,-669292,-16782
16,EBITDA ratio,-Infinity,-6.3532,-Infinity,-Infinity,- -,- -,- -,-116.7556,-274.8529,-0.2216,-0.3488,-0.0871,-0.1273,-0.0042
17,Operating Income,-34705,- -,- -,- -,-5396,-6096,- -,-5419826,-93447,-327757,-888764,9482,-687416,-16782
18,Operating Income ratio,-Infinity,- -,- -,- -,-Infinity,-Infinity,- -,-6691.1432,-274.8441,-0.2074,-0.2462,0.0021,-0.1308,-0.0042
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,-4,-3,-47973,-723046,-983222,-491594,-546997
20,Income Before Tax,- -,- -,- -,-8471,- -,- -,- -,-5419830,-93450,-375730,-1611810,-973740,-1179010,-563779
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,- -,- -,- -,-6691.1481,-274.8529,-0.2377,-0.4464,-0.2111,-0.2243,-0.1421
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-34705,-40044,-3788,-8471,- -,- -,- -,-5419830,-93450,-375730,-1611810,-973740,-1179010,-563779
24,Net Income ratio,-Infinity,-6.3532,-Infinity,-Infinity,- -,- -,- -,-6691.1481,-274.8529,-0.2377,-0.4464,-0.2111,-0.2243,-0.1421
25,EPS,-0.01,-0.01,-0.00,-0.00,- -,- -,- -,-0.37,-0.00,-0.01,-0.03,-0.01,-0.01,-0.01
26,EPS Diluted,-0.01,-0.01,-0.00,-0.00,- -,- -,- -,-0.37,-0.00,-0.01,-0.03,-0.01,-0.01,-0.01
27,Weighted Average Shares Outstanding,2219000,2625425,2625425,2625425,2625425,2625425,2740828,14589536,23824872,43648289,53077075,78594769,86971280,85975911
28,Weighted Average Shares Outstanding Diluted,2219000,2625425,2625425,2625425,2625425,2625425,2740828,14589536,23824872,43648289,53077075,78594769,86971280,85975911
