,https://roic.ai/company/PK,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,2333000000,2513000000,2688000000,2727000000,2791000000,2737000000,2844000000,852000000,1362000000
2,COGS,1593000000,1681000000,1773000000,1818000000,1835000000,1777000000,1842000000,983000000,1076000000
3,Gross Profit,740000000,832000000,915000000,909000000,956000000,960000000,1002000000,-131000000,286000000
4,Gross Profit Ratio,0.3172,0.3311,0.3404,0.3333,0.3425,0.3507,0.3523,-0.1538,0.2100
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,164000000,144000000,185000000,176000000,209000000,203000000,198000000,90000000,121000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",164000000,144000000,185000000,176000000,209000000,203000000,198000000,90000000,121000000
9,Other Expenses,246000000,248000000,287000000,300000000,351000000,350000000,342000000,334000000,330000000
10,Operating Expenses,410000000,392000000,472000000,476000000,560000000,553000000,540000000,424000000,451000000
11,COGS and Expenses,2003000000,2073000000,2245000000,2294000000,2395000000,2330000000,2382000000,1407000000,1527000000
12,Interest Income ,2000000,1000000,1000000,2000000,2000000,6000000,6000000,2000000,1000000
13,Interest Expense (Gain),162000000,174000000,186000000,171000000,124000000,127000000,140000000,213000000,258000000
14,Depreciation and Amortization,246000000,248000000,287000000,300000000,288000000,277000000,264000000,298000000,281000000
15,EBITDA,656000000,715000000,883000000,686000000,691000000,899000000,745000000,-935000000,82000000
16,EBITDA ratio,0.2812,0.2845,0.3285,0.2516,0.2476,0.3285,0.2620,-1.0974,0.0602
17,Operating Income,330000000,440000000,586000000,419000000,371000000,504000000,426000000,-1202000000,-179000000
18,Operating Income ratio,0.1414,0.1751,0.2180,0.1536,0.1329,0.1841,0.1498,-1.4108,-0.1314
19,Total Other Income Expenses (Gains),-79000000,-142000000,-169000000,-198000000,-86000000,-4000000,-75000000,-248000000,-271000000
20,Income Before Tax,251000000,298000000,417000000,221000000,285000000,500000000,351000000,-1450000000,-450000000
21,Income Before Tax Ratio,0.1076,0.1186,0.1551,0.0810,0.1021,0.1827,0.1234,-1.7019,-0.3304
22,Income Tax expense (Gain),104000000,117000000,118000000,82000000,-2346000000,23000000,35000000,-6000000,2000000
23,Net Income,144000000,176000000,292000000,133000000,2625000000,472000000,306000000,-1440000000,-459000000
24,Net Income ratio,0.0617,0.0700,0.1086,0.0488,0.9405,0.1725,0.1076,-1.6901,-0.3370
25,EPS,0.73,0.89,1.47,0.67,12.38,2.32,1.44,-6.11,-1.95
26,EPS Diluted,0.73,0.89,1.47,0.67,12.21,2.31,1.44,-6.11,-1.95
27,Weighted Average Shares Outstanding,198000000,198000000,198000000,198000000,211000000,203000000,212000000,236000000,236000000
28,Weighted Average Shares Outstanding Diluted,198000000,198000000,198000000,198000000,214000000,204000000,213000000,236000000,236000000
