,https://roic.ai/company/AUY,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,73115,70423,66221,68970,1,5840181,- -,19811377,46038669,169205047,747091270,1054607000,1183314000,1686811000,2173325000,2336762000,1842682000,1835122000,1824900000,1787700000,1803800000,1798500000,1612200000,1561000000,1815400000
2,COGS,- -,- -,- -,- -,- -,- -,3885636,10106,10916729,30370176,100004612,287639164,496766000,715816000,978121000,1073451000,831754000,900789000,1045827000,1088000000,1029000000,1042400000,1010000000,782800000,614100000,695000000
3,Gross Profit,- -,73115,- -,- -,- -,41137,1954545,-10106,8894648,15668492,69200435,459452107,557841000,467498000,708690000,1099874000,1505008000,941893000,789295000,736900000,758700000,761400000,788500000,829400000,946900000,1120400000
4,Gross Profit Ratio,- -,1.0000,- -,- -,- -,63206.4454,0.3347,-Infinity,0.4490,0.3403,0.4090,0.6150,0.5290,0.3951,0.4201,0.5061,0.6441,0.5112,0.4301,0.4038,0.4244,0.4221,0.4384,0.5145,0.6066,0.6172
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32398000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,2485925,3591549,2052844,1586316,720190,1124275,- -,- -,- -,- -,- -,70643000,101357000,109103000,121381000,145856000,135320000,122351000,118000000,100200000,113600000,91800000,79400000,85900000,74800000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,2485925,3591549,2052844,1586316,720190,1124275,1358730,4043555,- -,- -,- -,70643000,101357000,109103000,121381000,145856000,135320000,122351000,118000000,100200000,113600000,91800000,79400000,85900000,74800000
9,Other Expenses,- -,146231,70423,66221,68971,78755,2175965,58677,2435929,19085008,97065552,98481700,217081000,20438000,- -,- -,473443000,509339000,655425000,606500000,501500000,454000000,466500000,499500000,439800000,530400000
10,Operating Expenses,- -,2632156,3661972,2119065,1655287,798945,3300240,1417407,6479484,19085008,97065552,98481700,287724000,121795000,109103000,153779000,619299000,644659000,777776000,724500000,601700000,567600000,558300000,578900000,525700000,605200000
11,COGS and Expenses,- -,2632156,3661972,2119065,1655287,798945,7185876,1427513,17396213,49455184,197070164,386120864,784490000,837611000,1087224000,1227230000,1451053000,1545448000,1823603000,1812500000,1630700000,1610000000,1568300000,1361700000,1139800000,1300200000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12522000,3708000,1648000,1916000,2300000,1500000,3400000,2600000,2200000,1100000,2800000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,94617,28846767,11253159,44671000,34553000,40718000,17441000,7921000,1999000,53745000,88200000,79500000,93100000,75600000,76200000,64400000,62400000
14,Depreciation and Amortization,- -,- -,70423,66221,68970,37619,2172637,9858,2429895,6740135,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,426800000,- -,- -,- -,447900000
15,EBITDA,- -,-1608540,-5563379,-23905701,-2276019,-2353948,-9000018,-523351,4275922,-1599879,-66355613,232369190,499126000,363743000,652852000,835625000,823049000,-365138000,-970547000,-2674500000,-553300000,211600000,-88000000,386500000,554500000,953500000
16,EBITDA ratio,- -,-22.0001,-78.9995,-360.9988,-33.0001,-3616840.0350,-1.5411,-Infinity,0.2158,-0.0348,-0.3922,0.3110,0.4733,0.3074,0.3870,0.3845,0.3522,-0.1982,-0.5289,-1.4656,-0.3095,0.1173,-0.0489,0.2397,0.3552,0.5252
17,Operating Income,- -,-2559041,-6126761,-24038143,-2207049,-2326236,-9545241,-2321817,2339444,-3774338,-33725567,316379389,206949000,341833000,571104000,944962000,936351000,-388944000,-805834000,-2630300000,-473500000,-180300000,-41800000,474100000,585800000,492200000
