,https://roic.ai/company/UCLE,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,2350000,1637100,2652880,2097160,3070650,3634560,3540390,1752976
2,COGS,- -,1220000,904870,1246180,1322820,1725730,1707360,1605450,1278469
3,Gross Profit,- -,1130000,732230,1406700,774340,1344920,1927200,1934940,474507
4,Gross Profit Ratio,- -,0.4809,0.4473,0.5303,0.3692,0.4380,0.5302,0.5465,0.2707
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,10000,1160000,1036890,982390,1117910,1310470,3234790,4394840,2558553
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",10000,1160000,1036890,982390,1117910,1310470,3234790,4394840,2558553
9,Other Expenses,799309,-3177,173457,-0,-5,2,-5,4,- -
10,Operating Expenses,809309,1156823,1210347,982390,1117905,1310472,3234785,4394844,2558553
11,COGS and Expenses,10000,2380000,1941770,2228570,3682500,3036210,6026140,6508290,3837022
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),7500,4656,16839,24890,20829,24311,29490,62704,508823
14,Depreciation and Amortization,18428,3694,7331,6554,87099,142832,59536,1496,2004
15,EBITDA,-10000,-21650,-297340,430864,-1498242,177273,-2318044,-3096570,-3027276
16,EBITDA ratio,-Infinity,-0.0092,-0.1816,0.1624,-0.7144,0.0577,-0.6378,-0.8746,-1.7269
17,Operating Income,523629,-24389,-475166,424306,-1585341,34441,-2391580,-2459904,-2084046
18,Operating Income ratio,Infinity,-0.0104,-0.2902,0.1599,-0.7559,0.0112,-0.6580,-0.6948,-1.1889
19,Total Other Income Expenses (Gains),-533629,-5611,153656,-24886,-20829,-24311,-15490,-700866,-1454057
20,Income Before Tax,-10000,-30000,-321510,399420,-1606170,10130,-2407070,-3160770,-3538103
21,Income Before Tax Ratio,-Infinity,-0.0128,-0.1964,0.1506,-0.7659,0.0033,-0.6623,-0.8928,-2.0183
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-10000,-30000,-321510,399420,-1606170,10130,-2407070,-3160770,-3538103
24,Net Income ratio,-Infinity,-0.0128,-0.1964,0.1506,-0.7659,0.0033,-0.6623,-0.8928,-2.0183
25,EPS,0.05,-0.00,-0.03,0.03,-0.12,0.00,-0.15,-0.17,-0.16
26,EPS Diluted,0.05,-0.00,-0.03,0.03,-0.12,0.00,-0.15,-0.17,-0.16
