,https://roic.ai/company/CTAS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,123700000,163400000,204500000,243600000,284500000,322500000,401600000,452700000,523200000,615100000,730100000,839900000,1198300000,1751600000,1901991000,2160700000,2271052000,2686585000,2814059000,3067283000,3403608000,3706900000,3937900000,3774685000,3547339000,3810384000,4102000000,4316471000,4551812000,4476886000,4905458000,5323381000,6476632000,6892303000,7085120000,7116340000
2,COGS,70000000,90200000,114200000,137500000,159500000,177100000,223900000,246500000,278200000,333600000,393700000,452900000,653000000,976500000,1022926000,1264433000,1313682000,1567377000,1627567000,1762524000,1948816000,2125545000,2256300000,2223814000,2049522000,2201097000,2363392000,2529404000,2637426000,2555549000,2775588000,2943086000,3568109000,3763715000,3851372000,3801689000
3,Gross Profit,53700000,73200000,90300000,106100000,125000000,145400000,177700000,206200000,245000000,281500000,336400000,387000000,545300000,775100000,879065000,896267000,957370000,1119208000,1186492000,1304759000,1454792000,1581355000,1681600000,1550871000,1497817000,1609287000,1738608000,1787067000,1914386000,1921337000,2129870000,2380295000,2908523000,3128588000,3233748000,3314651000
4,Gross Profit Ratio,0.4341,0.4480,0.4416,0.4356,0.4394,0.4509,0.4425,0.4555,0.4683,0.4576,0.4608,0.4608,0.4551,0.4425,0.4622,0.4148,0.4216,0.4166,0.4216,0.4254,0.4274,0.4266,0.4270,0.4109,0.4222,0.4223,0.4238,0.4140,0.4206,0.4292,0.4342,0.4471,0.4491,0.4539,0.4564,0.4658
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,27500000,39600000,51800000,59300000,69800000,78900000,95100000,106100000,119400000,137700000,164500000,188900000,287200000,403600000,455794000,528354000,580469000,695437000,727618000,810232000,907954000,1003958000,1104145000,1082709000,1109888000,1168944000,1198981000,1221856000,1302752000,1224930000,1348122000,1527380000,1916792000,1980644000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",27500000,39600000,51800000,59300000,69800000,78900000,95100000,106100000,119400000,137700000,164500000,188900000,287200000,403600000,455794000,528354000,580469000,695437000,727618000,810232000,907954000,1003958000,1104145000,1082709000,1109888000,1168944000,1198981000,1221856000,1302752000,1224930000,1348122000,1527380000,1916792000,1980644000,2071052000,1929159000
9,Other Expenses,5300000,6500000,8200000,10100000,12300000,16400000,19400000,23100000,35100000,37700000,43100000,47700000,57200000,90200000,99513000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,32800000,46100000,60000000,69400000,82100000,95300000,114500000,129200000,154500000,175400000,207600000,236600000,344400000,493800000,555307000,528354000,580469000,695437000,727618000,810232000,907954000,1003958000,1104145000,1082709000,1109888000,1168944000,1198981000,1221856000,1302752000,1224930000,1348122000,1527380000,1916792000,1980644000,2071052000,1929159000
11,COGS and Expenses,102800000,136300000,174200000,206900000,241600000,272400000,338400000,375700000,432700000,509000000,601300000,689500000,997400000,1470300000,1578233000,1792787000,1894151000,2262814000,2355185000,2572756000,2856770000,3129503000,3360445000,3306523000,3159410000,3370041000,3562373000,3751260000,3940178000,3780479000,4123710000,4470466000,5484901000,5744359000,5922424000,5730848000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2764000,1695000,2030000,1942000,409000,229000,339000,896000,237000,1342000,1228000,988000,467000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50236000,48612000,49704000,70625000,65712000,65822000,65161000,64522000,86524000,110175000,101736000,105393000,98210000
