,https://roic.ai/company/BTTR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,48,214,- -,15577000,42590000,46006000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,5,27,- -,9717000,26491000,30638000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,43,187,- -,5860000,16099000,15368000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.8958,0.8738,- -,0.3762,0.3780,0.3340
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,33986,35039,9025,17888,23083,- -,208584,- -,- -,31159000,35529000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10138000,7892000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,33986,35039,9025,17888,23083,22464,208584,105734,292060,41297000,43421000,28507000
9,Other Expenses,- -,- -,- -,4192,4192,4192,4192,4192,2190,2190,- -,- -,- -,- -,4140000
10,Operating Expenses,- -,- -,- -,38178,39231,13217,22080,27275,24654,210774,105734,292060,41297000,43421000,32647000
11,COGS and Expenses,- -,- -,- -,38178,39231,13217,22080,27275,24654,210779,105761,292060,51014000,69912000,63285000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,243,1616,2692,72090,23962,25015,411968,203310,132892,670000,9247000,3217000
14,Depreciation and Amortization,- -,- -,- -,4192,4192,4192,4192,4192,2190,2190,- -,- -,171000,1748000,3713000
15,EBITDA,- -,- -,- -,-33986,-35039,-9025,-17888,-23083,-22464,-519603,-199902,180207,-183621000,-48340000,10354000
16,EBITDA ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-10825.0625,-934.1215,Infinity,-11.7880,-1.1350,0.2251
17,Operating Income,- -,- -,- -,-38178,-39231,-13217,-22080,-27275,-24654,-459682,-105547,-292060,-36326000,-27322000,-17279000
18,Operating Income ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-9576.7083,-493.2103,-Infinity,-2.3320,-0.6415,-0.3756
19,Total Other Income Expenses (Gains),- -,- -,- -,-243,-1616,-2692,-72090,-23962,-25015,-474079,-297665,-4120798,-148136000,-32013000,20703000
20,Income Before Tax,- -,- -,- -,-38421,-40847,-15909,-94170,-51237,-49669,-933761,-403212,-4412858,-184462000,-59335000,3424000
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-19453.3542,-1884.1682,-Infinity,-11.8419,-1.3932,0.0744
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000
23,Net Income,- -,- -,- -,-38421,-40847,-15909,-94170,-51237,-49669,-933761,-403212,-4412858,-184462000,-59335000,3387000
24,Net Income ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-19453.3542,-1884.1682,-Infinity,-11.8419,-1.3932,0.0736
25,EPS,- -,- -,- -,-104.98,-106.10,-41.32,-243.33,-0.29,-0.21,-1.56,-0.13,-1.49,-33.30,-7.26,0.41
26,EPS Diluted,- -,- -,- -,-104.98,-106.10,-41.32,-243.33,-0.29,-0.21,-1.56,-0.13,-1.49,-33.30,-7.26,0.41
27,Weighted Average Shares Outstanding,- -,- -,1146,366,385,385,387,178027,240913,451694,3015470,2996115,5539777,8180755,8180755
28,Weighted Average Shares Outstanding Diluted,- -,- -,1146,366,385,385,387,178027,240913,451694,3015470,2996115,5539777,8180755,8180755
29,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1471727/000118518512002768/0001185185-12-002768-index.htm,https://www.sec.gov/Archives/edgar/data/1471727/000118518513002588/0001185185-13-002588-index.html,https://www.sec.gov/Archives/edgar/data/1471727/000118518514003301/0001185185-14-003301-index.htm,https://www.sec.gov/Archives/edgar/data/1471727/000118518515003074/0001185185-15-003074-index.html,https://www.sec.gov/Archives/edgar/data/1471727/000118518516005898/0001185185-16-005898-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1471727/000147172721000029/0001471727-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1471727/000147172722000027/0001471727-22-000027-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,3200,59,37,38,- -,- -,- -,10197,1442,355104,2361000,3926000,21729000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,3200,59,37,38,- -,- -,- -,10197,1442,355104,2361000,3926000,21729000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,45,- -,- -,5824000,4631000,6792000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,6398,14882,9402,6580000,4869000,5245000
36,Other Current Assets,- -,- -,1800,1995,- -,- -,- -,- -,- -,- -,- -,- -,2814000,4137000,10153000
37,Total Current Assets,- -,- -,5000,2054,37,38,- -,- -,- -,16640,16324,364506,17579000,17563000,43919000
38,PP&E,- -,- -,25340,21148,16956,12764,8572,4380,2190,- -,- -,- -,1368000,597000,425000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18614000,18614000,18614000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14641000,13115000,11586000
