,https://roic.ai/company/GLOG-PA,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,8528452,39831783,66470819,68542087,157239696,328679000,415078000,466059000,525229000,618344000,664373000,674089000,809577000
2,COGS,3056026,8644057,12946061,27711305,64240868,149165000,219483000,250773000,267823000,301651000,163434000,347331000,388815000
3,Gross Profit,5472426,31187726,53524758,40830782,92998828,179514000,195595000,215286000,257406000,316693000,500939000,326758000,420762000
4,Gross Profit Ratio,0.6417,0.7830,0.8052,0.5957,0.5914,0.5462,0.4712,0.4619,0.4901,0.5122,0.7540,0.4847,0.5197
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,19653724,20333246,32903000,38671000,34723000,37670000,26196000,42683000,29537000,43313000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,19653724,20333246,32903000,38671000,34723000,37670000,26196000,42683000,29537000,43313000
9,Other Expenses,6366869,18131395,28823879,755780,1263678,1522000,1922000,2678000,2177000,15797000,4702000,17712000,- -
10,Operating Expenses,6366869,18131395,28823879,20409504,21596924,34425000,40593000,37401000,39847000,41993000,47385000,47249000,43313000
11,COGS and Expenses,9422895,26775452,41769940,48120809,85837792,183590000,260076000,288174000,307670000,343644000,210819000,394580000,432128000
12,Interest Income ,52155,121050,41679,1174361,410974,274000,427000,720000,2650000,4784000,5318000,726000,142000
13,Interest Expense (Gain),72143,5046117,9631262,11506206,27607512,68638000,90939000,132726000,136171000,164742000,-234787000,162548000,166955000
14,Depreciation and Amortization,125567,6560381,12827284,13064898,29321948,70695000,106641000,122957000,137187000,153193000,168041000,177213000,202953000
15,EBITDA,4607152,21455255,36498197,28791923,113858776,181494000,208409000,234197000,288864000,365618000,-167407000,294813000,437571000
