,https://roic.ai/company/EDN,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,1071800000,942900000,1115689233,1260520886,1378326000,1981928000,2000198000,2077860000,2173644000,3565048000,3842871000,3440691000,3598376000,3802162000,13079609000,24340002000,55953649000,89943794000,91316000000,113500000000
2,COGS,- -,439800000,- -,756662366,798751993,889885000,934660000,1003362000,1069747000,1593937000,3749907000,4105580000,4703150000,5175645000,12207547000,17654517000,42788377000,73188423000,77796000000,98912000000
3,Gross Profit,- -,503100000,- -,503858520,579574008,1092043000,1065538000,1074498000,1103897000,1971111000,92964000,-664889000,-1104774000,-1373483000,872062000,6685485000,13165272000,16755371000,13520000000,14588000000
4,Gross Profit Ratio,- -,0.5336,- -,0.3997,0.4205,0.5510,0.5327,0.5171,0.5079,0.5529,0.0242,-0.1932,-0.3070,-0.3612,0.0667,0.2747,0.2353,0.1863,0.1481,0.1285
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,93299000,120633000,136113000,552717000,815186000,1512163000,306530000,324658000,475379000,680919000,1120412000,1385905000,2446609000,3228070000,4438000000,7447000000
7,Selling and Marketing Exp.,95600000,- -,- -,- -,87930000,124656000,124378000,137388000,194236000,429930000,430403000,550554000,660855000,838053000,1626461000,2097444000,5049293000,6775835000,10017000000,11495000000
8,"Selling, General and Administrative Exp.",95600000,- -,- -,- -,181229000,245289000,260491000,690105000,1009422000,1942093000,736933000,875212000,1136234000,1518972000,2746873000,3483349000,7495902000,10003905000,14455000000,18942000000
9,Other Expenses,846800000,435400000,- -,504297326,1340361186,417553000,502132000,194001000,- -,- -,16971000,16607000,210061000,200708000,200958000,341714000,931754000,1722248000,1378000000,45000000
10,Operating Expenses,942400000,435400000,- -,504297326,1521590186,662842000,762623000,884106000,1009422000,1942093000,753904000,891819000,1346295000,1719680000,2947831000,3825063000,8427656000,11726153000,15833000000,18987000000
11,COGS and Expenses,942400000,875200000,- -,1260959693,2320342179,1552727000,1697283000,1887468000,2079169000,3536030000,4503811000,4997399000,6049445000,6895325000,15155378000,21479580000,51216033000,84914576000,93629000000,117899000000
12,Interest Income ,- -,- -,- -,12867615,13880914,13431600,9772000,16204000,62963000,24417000,56879000,241685000,195707000,96225000,196754000,272251000,671783000,1208970000,55000000,65000000
13,Interest Expense (Gain),- -,- -,- -,119382536,140569000,74532150,197105000,87739000,12484000,190961000,237178000,494541000,576504000,429899000,1441665000,1540247000,4968210000,6745059000,9265000000,26961000000
14,Depreciation and Amortization,- -,- -,- -,-178203758,178980000,174357000,170263000,175419000,178380000,239893000,222762000,212148000,237639000,281407000,351582000,430306000,2561499000,4788884000,6827000000,9559000000
15,EBITDA,-582700000,210700000,-90628553,-208221131,445433000,496331150,551657000,433112000,115697000,17905000,-656309000,1434312000,-119929000,2037479000,-138463000,3093893000,13704571000,34341930000,-5169000000,30812000000
16,EBITDA ratio,-0.5437,0.2235,-0.0812,-0.1652,0.3232,0.2504,0.2758,0.2084,0.0532,0.0050,-0.1708,0.4169,-0.0333,0.5359,-0.0106,0.1271,0.2449,0.3818,-0.0566,0.2715
17,Operating Income,129400000,67700000,- -,-438806,35906000,429201000,302915000,190392000,94475000,29018000,-713291000,1314647000,-253018000,2241687000,-656116000,2494500000,3941256000,3598125000,-19917000000,-4397000000
18,Operating Income ratio,0.1207,0.0718,- -,-0.0003,0.0261,0.2166,0.1514,0.0916,0.0435,0.0081,-0.1856,0.3821,-0.0703,0.5896,-0.0502,0.1025,0.0704,0.0400,-0.2181,-0.0387
19,Total Other Income Expenses (Gains),-712100000,143000000,- -,-148961104,89978000,-181759000,-118626000,-20438000,-169642000,-423727000,-377537000,-490896000,-681054000,-915514000,-1275594000,-1371160000,2233606000,19209862000,-1344000000,-1311000000
20,Income Before Tax,-582700000,210700000,- -,-149399910,125884000,247442000,184289000,169954000,-75167000,-394709000,-1090828000,823751000,-934072000,1326173000,-1931710000,1123340000,6174862000,22807987000,-21261000000,-5708000000
21,Income Before Tax Ratio,-0.5437,0.2235,- -,-0.1185,0.0913,0.1248,0.0921,0.0818,-0.0346,-0.1107,-0.2839,0.2394,-0.2596,0.3488,-0.1477,0.0462,0.1104,0.2536,-0.2328,-0.0503
22,Income Tax expense (Gain),- -,- -,- -,- -,-167182000,124984000,61174000,79311000,-1136000,22448000,-99779000,-44116000,-154356000,183730000,-743062000,441150000,1877396000,10673848000,-3563000000,15636000000
23,Net Income,-582700000,210700000,-90628553,-149399910,293066000,122458000,123115000,90643000,-74031000,-435397000,-1016470000,771739000,-779716000,1142443000,-1188648000,682190000,4297466000,12134139000,-17698000000,-21344000000
24,Net Income ratio,-0.5437,0.2235,-0.0812,-0.1185,0.2126,0.0618,0.0616,0.0436,-0.0341,-0.1221,-0.2645,0.2243,-0.2167,0.3005,-0.0909,0.0280,0.0768,0.1349,-0.1938,-0.1881
25,EPS,-14.01,5.07,-2.20,-3.60,7.00,2.80,2.74,2.00,-1.63,-9.70,-22.80,17.80,-17.40,25.40,-26.60,15.20,96.60,276.80,-404.60,-487.86
26,EPS Diluted,-14.01,5.07,-2.20,-3.60,7.00,2.80,2.74,2.00,-1.63,-9.70,-22.80,17.80,-17.40,25.40,-26.60,15.20,96.60,276.80,-404.60,-487.86
27,Weighted Average Shares Outstanding,41580510,41580510,41580510,41580510,41866571,43735000,44852130,44852130,45322755,44852130,44852150,43207600,44852150,44852150,44852150,44914000,44524600,43836250,43750000,43750000
28,Weighted Average Shares Outstanding Diluted,41580510,41580510,41580510,41580510,41866571,45322755,45322755,44852130,45322755,44852130,44852150,43207600,44852150,44852150,44852150,44914000,44524600,43836250,43750000,43750000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,9600000,8500000,11641984,481000,3459000,6061000,8685000,8611000,23445000,71108000,243473000,179080000,128952000,258562000,82860000,27608000,409642000,4362000000,3172000000
32,Short-Term Investments,- -,163800000,242600000,296082248,32192000,97739000,121019000,219687000,668232000,109546000,3415000,216434000,254447000,1560434000,1995426000,2908756000,4590320000,2789831000,2300000000,15694000000
33,Cash and Short-Term Investments,- -,173400000,251100000,307724231,32673000,101198000,127080000,228372000,676843000,132991000,74523000,459907000,433527000,1689386000,2253988000,2991616000,4617928000,3199473000,6662000000,18866000000
34,Net Receivables,- -,181500000,194800000,253294099,301159000,371969000,488823000,404016000,464554000,776649000,966702000,1292182000,1090560000,1993705000,4050586000,5779136000,7694394000,12640754000,15147000000,19306000000
35,Inventory,- -,17500000,13500000,13775490,13635000,23174000,16705000,14854000,12407000,22863000,85002000,83853000,73970000,120512000,230291000,351106000,1252292000,1854336000,1839000000,3441000000
36,Other Current Assets,302100000,9000000,10000000,- -,- -,- -,- -,46318000,- -,219517000,366123000,33025000,42696000,63712000,87301000,141136000,143136000,181531000,267000000,390000000
37,Total Current Assets,302100000,381400000,469400000,574793820,347467000,496341000,632608000,693560000,1153804000,1152020000,1492350000,1868967000,1640753000,3867315000,6622166000,9262994000,13707750000,17876094000,23915000000,42003000000
38,PP&E,- -,2994400000,2944100000,2885405299,2925422000,3092709000,3256258000,3482386000,3689482000,4738259000,4344599000,5189307000,6652482000,8885789000,11196990000,14812021000,62474843000,101559335000,125194000000,195374000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,-289557000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,845848000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-289557000,845848000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,400000,400000,- -,378000,390000,67609000,408000,415000,419000,422000,427000,432000,24000000,44864000,424000,8844000,11152000,250000000,14000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,87075000,- -,- -,- -,- -,87167000,50048000,1019018000,1187021000,- -,- -,280000000,425000000
44,Other Non-Current Assets,3138700000,92200000,90800000,111468893,261396000,258166000,178155000,107312000,188029000,143291000,118221000,199395000,249235000,153777000,50492000,42447000,800741000,26028000,-238000000,7000000
45,Total Non-Current Assets,3138700000,3087000000,3035300000,2996874191,3187196000,3351265000,3502022000,3677181000,3877926000,4592412000,5309090000,5389129000,6989316000,9113614000,12311364000,16041913000,63284428000,101596515000,125486000000,195820000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3440800000,3468400000,3504700000,3571668011,3534663000,3847606000,4134630000,4370741000,5031730000,5744432000,6801440000,7258096000,8630069000,12980929000,18933530000,25304907000,76992178000,119472609000,149401000000,237823000000
48,Accounts Payable,- -,- -,- -,204789364,267640000,316152000,339261000,347782000,378505000,658328000,1188532000,2481308000,3299891000,4475427000,6821061000,9195303000,14608977000,12700807000,33019000000,76177000000
49,Short-Term Debt,- -,1223300000,1525600000,1617960353,2026791,29290000,27245000,82988000,54108000,59025000,103143000,40583000,33961000,48798000,53684000,71205000,1077453000,1793413000,438000000,10530000000
50,Tax Payable,- -,73100000,75500000,- -,62192000,144545000,205808000,140301000,111080000,168993000,255564000,218301000,160483000,169747000,155205000,466683000,1552508000,3743742000,1793000000,1873000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,23914000,7377000,- -,11414000,32226000,14339000,16936000,18923000,11481000,50000000,57000000
52,Other Current Liabilities,1214400000,272300000,381100000,295755413,165934209,194123000,302572000,329503000,353886000,587315000,912591000,761170000,988107000,1121870000,2674346000,3257870000,5273294000,10077299000,8661000000,10752000000
53,Total Current Liabilities,1214400000,1495600000,1906700000,2118505129,435601000,539565000,669078000,760273000,786499000,1328582000,2211643000,3283061000,4333373000,5678321000,9563430000,12541314000,20978647000,24583000000,42168000000,97516000000
54,Long-Term Debt,- -,286000000,- -,- -,1095049863,949062000,953302000,707499000,1035113000,1189882000,1350700000,1309949000,1598442000,2460975000,2769599000,4191666000,7192467000,8197429000,8261000000,79000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264427000,33666000,109089000,153816000,199990000,194629000,275437000,270091000,1471000000,1687000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,230411000,73427000,- -,- -,- -,- -,8048300000,20054965000,23709000000,49438000000
57,Other Non-Current Liabilities,820200000,69800000,71000000,77720153,333662138,384398000,- -,720760000,1101940000,1854581000,2254971000,1381691000,2204164000,3162764000,6038679000,7316434000,9528355000,7216275000,10289000000,15409000000
58,Total Non-Current Liabilities,820200000,355800000,71000000,77720153,1428712000,1333460000,953302000,1428259000,2137053000,3044463000,4100509000,2798733000,3911695000,5777555000,9008268000,11702729000,25044559000,35738760000,43730000000,66613000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,2327288000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134177000,295000000,347000000
61,Total Liabilities,2034600000,1851400000,1977700000,2196225281,1864313000,1873025000,2043064000,2188532000,2923552000,4373045000,6312152000,6081794000,8245068000,11455876000,18571698000,24244043000,46023206000,60321760000,85898000000,164129000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,1883185000,1883185000,1883185000,897043000,1294759000,1294759000,1294759000,1294759000,1294759000,1298156000,17948919000,27384505000,37279000000,56257000000
64,Retained Earnings,- -,- -,- -,-450212186,-157684973,- -,170305000,260948000,186917000,-670751000,-899789000,-113391000,-893107000,249336000,-1188648000,-506458000,13216605000,12134139000,-17698000000,-21344000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-2040421826,-2219860748,-2394276000,-2561853000,-2731509000,-2907241000,64008000,- -,-28277000,-39862000,-42253000,56449000,45178000,15889000,20906903000,45053000000,41404000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,2599929000,2769585000,2945317000,1024218000,23211000,23211000,23211000,23211000,199272000,223988000,-212441000,-1274698000,-1736000000,-2623000000
67,Total Stockholders Equity,1406200000,1616800000,1526900000,1375442730,1670350000,1974581000,2091566000,2182209000,2108178000,1314518000,418181000,1176302000,385001000,1525053000,361832000,1060864000,30968972000,59150849000,62898000000,73694000000
68,Total Liabilities And Stockholders Equity,3440800000,3468200000,3504600000,3571668011,3534663000,3847606000,4134630000,4370741000,5031730000,5687563000,6730333000,7258096000,8630069000,12980929000,18933530000,25304907000,76992178000,119472609000,148796000000,237823000000
69,Minority Interest,- -,200000,100000,- -,- -,- -,- -,- -,- -,56869000,71107000,- -,- -,- -,- -,- -,- -,- -,605000000,- -
70,Total Liabilities & Equity,3440800000,3468400000,3504700000,3571668011,3534663000,3847606000,4134630000,4370741000,5031730000,5744432000,6801440000,7258096000,8630069000,12980929000,18933530000,25304907000,76992178000,119472609000,149401000000,237823000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-149399910,293066000,122458000,123115000,90643000,-74031000,-435397000,-1016470000,771739000,-779716000,1142443000,-1188648000,682190000,4297466000,12134139000,-17698000000,-21344000000
74,Depreciation and Amortization,- -,- -,- -,-178203758,178980000,174357000,170263000,175419000,178380000,239893000,222762000,212148000,237639000,281407000,351582000,430306000,2561499000,4788884000,6827000000,9559000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,61174000,79311000,-1136000,- -,-100200000,-44116000,-154356000,183730000,-743062000,441150000,1877396000,10673848000,-3563000000,15636000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22540000,51425000,89254000,20346000,7767000,10700000,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,12770775,127090000,58366000,259865000,284736000,417802000,328644000,498004000,1288157000,3146349000,1329285000,4323941000,-56035000,2103842000,1361275000,-2059000000,12890000000
78,Accounts Receivable,- -,- -,- -,-37050379,-62073165,-36853000,88175000,48070000,245000,-157199000,-341952000,-48471000,-55276000,-40557000,-2973819000,-1748294000,-2131406000,-3794956000,-3823000000,-2688000000
79,Inventory,- -,- -,- -,-5404883,1431939,-18377000,7384000,-3889000,-2218000,-15151000,-39677000,-42692000,9883000,-60898000,-152943000,-23185000,-819875000,-504484000,33000000,-847000000
80,Accounts Payable,- -,- -,- -,54354476,67037424,52734150,27797000,15221000,34853000,283183000,545572000,1212727000,2927145000,1850390000,2780940000,1512998000,1242870000,3775186000,-296000000,18237000000
81,Other Working Capital,- -,- -,- -,-22669639,116847088,17748000,78077000,182203000,324431000,692931000,68462000,-33903000,32128000,-8237000,-35711000,-78227000,-292233000,-142751000,1128000000,-102000000
82,Other Non-Cash Items,- -,- -,- -,496099215,-384137000,72001000,-66874000,37868000,5913000,378611000,1031019000,-666259000,-953351000,190892000,167156000,1777921000,-1229871000,-18799822000,33829000000,4607000000
83,Cash Provided by Operating Activities,- -,- -,- -,181266323,214999000,427182000,547543000,667977000,526928000,511751000,635115000,1584209000,1547990000,3217011000,2931315000,3283299000,9621032000,10158324000,17336000000,21348000000
84,CAPEX,- -,- -,- -,-124315324,-179671000,-336851000,-325380000,-404165000,-388770000,-653360000,-634732000,-1039919000,-1400140000,-2095532000,-2474600000,-3632181000,-8269359000,-9369998000,-9847000000,-14725000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-448557000,-96229000,-119255000,2976000,4272000,11975000,36315000,88529000,10274000,10000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-567600000,- -,-97399000,-64625000,-1012037000,- -,-2669496000,-2344945000,- -,- -,-10824000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,126701000,37770000,- -,- -,- -,89120000,2218926000,2312229000,4158381000,2583000000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,7435000,567600000,42043000,- -,- -,- -,- -,- -,-114889000,45294000,35000000,5000000
89,Cash Used for Investing Activites,- -,- -,- -,-124315324,-179671000,-336851000,-325380000,-404165000,-381335000,-975216000,-565462000,-1256573000,-1461789000,-3103297000,-2373505000,-4046436000,-8328435000,-5156049000,-7219000000,-25544000000
90,Debt Repayment,- -,- -,- -,- -,-310794000,-203579000,-122939000,-175453000,- -,- -,-210263000,-202511000,-424000,- -,-226712000,-283423000,-375520000,-3337492000,-5234000000,-543000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-6130000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1068784000,-599150000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37950000,-5588000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,181773000,-67893000,13614000,302878000,-42437000,50021000,25388000,-155251000,-172923000,-265950000,870900000,-652667000,-1134828000,-918000000,-895000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-310794000,-21806000,-196962000,-161839000,302878000,-80387000,-165830000,-177123000,-155675000,-172923000,-492662000,587477000,-2096971000,-5071470000,-6152000000,-1438000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36776000,10698000,5081000,9081000,64462000,-42000,155985000,438612000,-364000000,2228000000
97,Net Change In Cash,- -,- -,- -,56950999,-275466000,68525000,25201000,101973000,448471000,-543852000,-59401000,161211000,-64393000,-50128000,129610000,-175702000,-94741000,367189000,3804000000,-3410000000
98,Cash at the End of Period,- -,- -,- -,307727258,32673000,101198000,126399000,228372000,676843000,132991000,71108000,243473000,179080000,128952000,258562000,82860000,27608000,409642000,4362000000,3172000000
99,Cash at the Beginning of Period,- -,- -,- -,250776259,308139000,32673000,101198000,126399000,228372000,676843000,130509000,82262000,243473000,179080000,128952000,258562000,122349000,42453000,558000000,6582000000
100,Free Cash Flow,- -,- -,- -,56950999,35328000,90331000,222163000,263812000,138158000,-141609000,383000,544290000,147850000,1121479000,456715000,-348882000,1351673000,788326000,7489000000,6623000000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,0.3364,0.3298,0.3269,0.3175,0.2895,0.2631,0.2519,0.23234,0.20338,0.1534,0.11681,0.07726,0.06296,0.05366,0.02653,0.0167,0.01189,0.00974
