,https://roic.ai/company/CLIR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,93000,- -,61000,621000,540000,530000,- -,- -,607000
2,COGS,- -,- -,- -,- -,88000,- -,50000,485000,380000,427000,1000,279000,1059000
3,Gross Profit,- -,- -,- -,- -,5000,- -,11000,136000,160000,103000,-1000,-279000,-452000
4,Gross Profit Ratio,- -,- -,- -,- -,0.0538,- -,0.1803,0.2190,0.2963,0.1943,-Infinity,-Infinity,-0.7446
5,Research and Development Exp.,2436,- -,463076,1184000,1851000,2217000,2932000,4831000,4712000,4052000,3056000,2029000,2680000
6,General and Administrative Exp.,- -,- -,- -,3026000,3450000,5084000,5021000,6510000,5160000,5622000,5526000,4624000,5013000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,3026000,3450000,5084000,5021000,6510000,5160000,5622000,5526000,4624000,5013000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,4210000,5301000,7301000,7953000,11341000,9872000,9674000,8582000,6653000,7693000
11,COGS and Expenses,528772,395338,2979460,4210000,5389000,7301000,8003000,11826000,10252000,10101000,8583000,6932000,8752000
12,Interest Income ,- -,- -,3323,22000,11000,5000,44000,32000,32000,71000,101000,2000,1000
13,Interest Expense (Gain),- -,- -,158,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,11335,19034,27880,99000,209000,243000,200000,208000,297000,271000,240000,210000,260000
15,EBITDA,-517437,-376055,-2951580,-4111000,-5076000,-7058000,-7698000,-10965000,-9383000,-9229000,-8343000,-6722000,-7632000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-54.5806,-Infinity,-126.1967,-17.6570,-17.3759,-17.4132,-Infinity,-Infinity,-12.5733
17,Operating Income,-528772,-395338,-2979460,-4210000,-5296000,-7301000,-7942000,-11205000,-9712000,-9571000,-8583000,-6932000,-8145000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-56.9462,-Infinity,-130.1967,-18.0435,-17.9852,-18.0585,-Infinity,-Infinity,-13.4185
19,Total Other Income Expenses (Gains),- -,-249,- -,21000,11000,5000,44000,32000,32000,71000,101000,46000,253000
20,Income Before Tax,- -,- -,- -,-4189000,-5285000,-7296000,-7898000,-11173000,-9680000,-9500000,-8482000,-6886000,-7892000
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-56.8280,-Infinity,-129.4754,-17.9919,-17.9259,-17.9245,-Infinity,-Infinity,-13.0016
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-528772,-395587,-2976295,-4189000,-5285000,-7296000,-7898000,-11173000,-9680000,-9500000,-8479000,-6886000,-7892000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-56.8280,-Infinity,-129.4754,-17.9919,-17.9259,-17.9245,-Infinity,-Infinity,-13.0016
25,EPS,-0.10,-0.08,-0.67,-0.55,-0.60,-0.77,-0.63,-0.86,-0.63,-0.42,-0.32,-0.25,-0.28
26,EPS Diluted,-0.10,-0.08,-0.67,-0.55,-0.60,-0.77,-0.63,-0.86,-0.63,-0.42,-0.32,-0.25,-0.28
27,Weighted Average Shares Outstanding,5153315,5153315,4435763,7596962,8795810,9507185,12461515,12928715,15365079,22778571,26701042,27837095,27837095
28,Weighted Average Shares Outstanding Diluted,5153315,5153315,4435763,7596962,8795810,9507185,12461515,12928715,15365079,22778571,26701042,27837095,27837095
