,https://roic.ai/company/WCN,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6200000,54000000,182600000,304355000,377533000,498661000,563509000,629363000,721899000,824354000,958541000,1049603000,1191393000,1319757000,1505366000,1661618000,1928795000,2079166000,2117287000,3375863000,4630488000,4922941000,5388679000,5445990000,6151361000
2,COGS,3800000,36400000,111300000,174510000,210590000,281331000,316841000,359542000,416883000,492766000,566089000,628075000,692415000,749487000,857580000,956357000,1064819000,1138388000,1177409000,1957712000,2704775000,2865704000,3198757000,3276808000,3654074000
3,Gross Profit,2400000,17600000,71300000,129845000,166943000,217330000,246668000,269821000,305016000,331588000,392452000,421528000,498978000,570270000,647786000,705261000,863976000,940778000,939878000,1418151000,1925713000,2057237000,2189922000,2169182000,2497287000
4,Gross Profit Ratio,0.3871,0.3259,0.3905,0.4266,0.4422,0.4358,0.4377,0.4287,0.4225,0.4022,0.4094,0.4016,0.4188,0.4321,0.4303,0.4244,0.4479,0.4525,0.4439,0.4201,0.4159,0.4179,0.4064,0.3983,0.4060
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,474263000,509638000,524388000,546278000,537632000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,474263000,509638000,524388000,546278000,537632000,612337000
9,Other Expenses,1800000,9600000,30700000,52611000,73024000,86343000,101714000,119502000,136967000,160202000,185443000,209172000,268303000,297887000,329067000,391038000,466403000,487418000,506918000,463912000,632484000,680487000,743918000,- -,813009000
10,Operating Expenses,1800000,9600000,30700000,52611000,73024000,86343000,101714000,119502000,136967000,160202000,185443000,209172000,268303000,297887000,329067000,391038000,466403000,487418000,506918000,938175000,1142122000,1204875000,1290196000,537632000,1425346000
11,COGS and Expenses,5600000,46000000,142000000,227121000,283614000,367674000,418555000,479044000,553850000,652968000,751532000,837247000,960718000,1047374000,1186647000,1347395000,1531222000,1625806000,1684327000,2895887000,3846897000,4070579000,4488953000,3814440000,5079420000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1413000,590000,530000,773000,- -,- -,- -,- -,5173000,7170000,9777000,5253000,2916000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49161000,40134000,44520000,53037000,73579000,64674000,64236000,92709000,125297000,132104000,147368000,162375000,162796000
14,Depreciation and Amortization,1200000,4300000,15000000,27195000,37730000,41172000,49750000,60632000,67039000,81103000,87810000,97429000,130758000,147456000,167100000,193584000,243864000,257944000,269434000,463912000,632484000,680487000,743918000,752404000,813009000
15,EBITDA,-4200000,8500000,35100000,74694000,88190000,129751000,152579000,174651000,199048000,206855000,246808000,261385000,354309000,412028000,483817000,511157000,638014000,707478000,206314000,917205000,1265688000,1519448000,1597337000,1068849000,1746105000
16,EBITDA ratio,-0.6774,0.1574,0.1922,0.2454,0.2336,0.2602,0.2708,0.2775,0.2757,0.2509,0.2575,0.2490,0.2974,0.3122,0.3214,0.3076,0.3308,0.3403,0.0974,0.2717,0.2733,0.3086,0.2964,0.1963,0.2839
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,316147000,394720000,449269000,-61532000,452298000,627098000,832244000,837778000,412428000,1039625000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1903,0.2046,0.2161,-0.0291,0.1340,0.1354,0.1691,0.1555,0.0757,0.1690
19,Total Other Income Expenses (Gains),-6000000,-2800000,-20500000,-29735000,-43274000,-42408000,-42407000,-36061000,-35461000,-45634000,-48011000,-48400000,-55299000,-46907000,-45590000,-51044000,-73799000,-63607000,-64754000,-90933000,-118588000,-125104000,-131887000,-158514000,-268883000
20,Income Before Tax,-5400000,5200000,20100000,47499000,50645000,88579000,102547000,114258000,132588000,125752000,158998000,163956000,175376000,225476000,273129000,265103000,320921000,385662000,-126286000,361365000,508510000,707140000,705891000,253914000,770742000
