,https://roic.ai/company/AIRI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5404253,5365332,3567848,6552206,6342588,2777409,33044996,46068645,38694000,- -,48600000,53745000,64215000,62833000,64331000,80442000,66915000,49869000,46309000,54573000,50097000,58939000
2,COGS,1472528,1903755,1511826,2514758,2758395,2539433,28002942,33337999,29633000,- -,41130000,42817000,49357000,47598000,50233000,63161000,60195000,45002000,40895000,45431000,43585000,48686000
3,Gross Profit,3931725,3461577,2056022,4037448,3584193,237976,5042054,12730646,9061000,- -,7470000,10928000,14858000,15235000,14098000,17281000,6720000,4867000,5414000,9142000,6512000,10253000
4,Gross Profit Ratio,0.7275,0.6452,0.5763,0.6162,0.5651,0.0857,0.1526,0.2763,0.2342,- -,0.1537,0.2033,0.2314,0.2425,0.2191,0.2148,0.1004,0.0976,0.1169,0.1675,0.1300,0.1740
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2201478,2400680,1524678,2113918,2620491,809388,4390598,9894619,- -,- -,- -,- -,- -,- -,11960000,16557000,17509000,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,1617092,2406484,425349,1428838,2121575,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3818570,4807164,1950027,3542756,4742066,809388,4390598,9894619,- -,- -,- -,- -,- -,- -,11960000,16557000,17509000,- -,- -,- -,- -,- -
9,Other Expenses,28951,31616,30466,21760,31293,- -,- -,-25200000,10018000,- -,6920000,6549000,8874000,10622000,- -,- -,- -,11452000,8839000,8539000,7951000,7766000
10,Operating Expenses,3847521,4838780,1980493,3564516,4773359,809388,4390598,-15305381,10018000,- -,6920000,6549000,8874000,10622000,11960000,16557000,17509000,11452000,8839000,8539000,7951000,7766000
11,COGS and Expenses,5320049,6742535,3492319,6079274,7531754,3348821,32393540,18032618,39651000,- -,48050000,49366000,58231000,58220000,62193000,79718000,77704000,56454000,49734000,53970000,51536000,56452000
12,Interest Income ,2060,5902,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),21152,23347,47923,46518,25353,178292,1040108,1578377,2780000,- -,-3790000,2102000,1843000,1340000,1295000,1858000,2596000,3378000,3921000,3561000,1491000,460000
14,Depreciation and Amortization,28951,31616,30466,21760,31293,78659,714168,1300019,2262000,- -,1940000,2387000,2761000,2872000,3527000,4352000,4626000,3396000,2877000,3472000,3052000,2803000
15,EBITDA,112777,-1336682,105995,764637,-1157873,-492753,1907676,4117969,-12245000,- -,-4760000,6793000,8599000,7781000,5121000,5092000,-6289000,-15974000,-4191000,4338000,4227000,4890000
16,EBITDA ratio,0.0209,-0.2491,0.0297,0.1167,-0.1826,-0.1774,0.0577,0.0894,-0.3165,- -,-0.0979,0.1264,0.1339,0.1238,0.0796,0.0633,-0.0940,-0.3203,-0.0905,0.0795,0.0844,0.0830
17,Operating Income,84204,-1377203,75529,472932,-1189166,-571412,651456,28036027,-5612000,- -,550000,4379000,5984000,4613000,1735000,626000,-10789000,-12758000,-5963000,328000,-1439000,2487000
18,Operating Income ratio,0.0156,-0.2567,0.0212,0.0722,-0.1875,-0.2057,0.0197,0.6086,-0.1450,- -,0.0113,0.0815,0.0932,0.0734,0.0270,0.0078,-0.1612,-0.2558,-0.1288,0.0060,-0.0287,0.0422
19,Total Other Income Expenses (Gains),-21530,-14442,-47923,223427,-25353,- -,-498056,-26796454,-2599000,- -,-3800000,-2075000,-1989000,-1044000,-1436000,-1744000,-2722000,-3312000,-3643000,-2889000,1353000,-860000
20,Income Before Tax,62674,-1391645,27606,696359,-1214519,- -,153400,1239573,-8211000,- -,-3250000,2304000,3995000,3569000,299000,-1118000,-13511000,-16070000,-9606000,-2561000,-86000,1627000
21,Income Before Tax Ratio,0.0116,-0.2594,0.0077,0.1063,-0.1915,- -,0.0046,0.0269,-0.2122,- -,-0.0669,0.0429,0.0622,0.0568,0.0046,-0.0139,-0.2019,-0.3222,-0.2074,-0.0469,-0.0017,0.0276
22,Income Tax expense (Gain),-7888,7888,- -,- -,- -,- -,489969,611673,-744000,- -,- -,57000,1447000,-170000,-368000,-286000,2112000,-197000,3000,37000,-1412000,- -
23,Net Income,70562,-1399533,27606,696359,-1214519,-749704,-336569,627900,-16543000,- -,-2910000,2247000,2548000,3739000,667000,-832000,-15623000,-22551000,-10992000,-2732000,1096000,1627000
24,Net Income ratio,0.0131,-0.2608,0.0077,0.1063,-0.1915,-0.2699,-0.0102,0.0136,-0.4275,- -,-0.0599,0.0418,0.0397,0.0595,0.0104,-0.0103,-0.2335,-0.4522,-0.2374,-0.0501,0.0219,0.0276
25,EPS,9.99,-194.85,5.00,94.93,-159.88,-24.00,-8.00,3.84,-100.00,- -,-1.80,0.63,0.54,0.65,0.10,-0.11,-2.06,-1.70,-0.41,-0.09,0.03,0.05
26,EPS Diluted,9.99,-194.85,5.00,94.93,-159.88,-24.00,-8.00,3.70,-100.00,- -,-1.80,0.63,0.54,0.63,0.10,-0.11,-2.06,-1.70,-0.41,-0.09,0.03,0.05
27,Weighted Average Shares Outstanding,7225,7230,7265,7435,7665,31805,80520,163506,175730,- -,1620000,3579114,4680581,5739014,6591755,7478223,7579419,13230775,26897639,28851816,30742154,30620990
28,Weighted Average Shares Outstanding Diluted,7225,7230,7265,7451,7665,31805,80520,169652,175730,- -,1620000,3579254,4759246,5932726,6915688,7478223,7579419,13230775,26900952,28851816,36747083,30620990
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1009891/000111650204000916/0001116502-04-000916-index.htm,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1009891/000119380513000723/0001193805-13-000723-index.html,- -,https://www.sec.gov/Archives/edgar/data/1009891/000119380515000450/0001193805-15-000450-index.htm,https://www.sec.gov/Archives/edgar/data/1009891/000119380516003163/0001193805-16-003163-index.htm,https://www.sec.gov/Archives/edgar/data/1009891/000119380517000719/0001193805-17-000719-index.htm,https://www.sec.gov/Archives/edgar/data/1009891/000119380518000599/0001193805-18-000599-index.htm,https://www.sec.gov/Archives/edgar/data/1009891/000121390019005550/0001213900-19-005550-index.html,https://www.sec.gov/Archives/edgar/data/1009891/000121390020007657/0001213900-20-007657-index.html,https://www.sec.gov/Archives/edgar/data/1009891/000121390021018136/0001213900-21-018136-index.htm,https://www.sec.gov/Archives/edgar/data/1009891/000121390022015031/0001213900-22-015031-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,125585,81932,14778,7406,127296,1058416,180000,910000,164000,- -,600000,577000,490000,561000,1418000,529000,1304000,630000,2012000,1294000,2505000,627000
